"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"INGENIERO RESIDENTE EN OBRA","Importante empresa","Profesional","Construcción - Arquitectura","Hace 2 semanas ","Dirigir trabajos de ejecución de movimientos de suelos, tratamientos y ejecución de carpeta afáltica Supervisar equipos de trabajo Full time","durazno","/anuncio/ingeniero-residente-en-obra-hh3jp",2019-02-06 21:36:46
"ACOMPAÑANTES PARA CERRO LARGO (MELO)","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Requisitos: o	Ciclo básico con tercer año aprobado o	Experiencia en cuidados. o	Se valorará título en Aux de enfermería Nuestra propuesta: La mejor remuner ...","cerro-largo","/anuncio/acompanante-qaypu",2019-02-06 21:36:46
"INGENIERO ELÉCTRICO","Para compañía industrial multinacional referente en su ámbito","Profesional","Producción","Hace 1 mes ","¿Quieres el desafío? El puesto tendrá a su cargo la planificación y programación de las actividades de mantenimiento correctivo y preventivo para el área  ...","interior","/anuncio/ingeniero-electrico-zh3jz",2019-02-06 21:36:46
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-sz4at",2019-02-06 21:36:46
"ENCARGADO DE SECCION EN TACUAREMBO","Importante empresa","Supervisor / Encargado","Producción","Hace 1 mes ","ENCARGADO PARA TAREAS VARIAS PERSONAL A CARGO","tacuarembo","/anuncio/encargado-de-seccion-en-tacuarembo-d2aup",2019-02-06 21:36:46
"ANALISTA DE PLANIFICACIÓN Y CONTROL DE GESTIÓN ( RADICACION EN MERCEDES)",NA,"Analista","Administración - Secretariado","Hace 1 semana ","Auren Capital Humano selecciona Analista de Planificación y Control de Gestión para importante empresa del sector Agropecuario.  (Radicación en Mercedes)  ...","soriano","/anuncio/analista-de-planificacion-y-control-de-gestion-radicacion-en-mercedes-t23bq",2019-02-06 21:36:46
"TRABAJA PARA TI , EMPRESA AMERICANA CON 18 AÑOS EN EL MERCADO.","EMPRESA AMERICANA DA EXCELENTE OPORTUNIDAD  INTERNACIONAL DE NEGOCIO.","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 hora ","EXELENTE OPORTUNIDAD DE NEGOCIO  ONLINE.  AREA TURISMO, EXPANDIENDOSE A LATINOAMERICA Y EUROPA,... EXCELENTE MOMENTO DE SUMARTE Y COMENZAR... VACACIONES, V ...","colonia","/anuncio/trabaja-para-ti-empresa-americana-con-18-anos-en-el-mercado-7tbje",2019-02-06 21:36:46
"ENCARGADA PARA SHOPPING EN COLONIA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de la tienda. Seleccionamos Encargadas para trabajar en Shopping en el Departamento de Colonia.  La posición tiene como principal respons ...","colonia","/anuncio/encargada-para-shopping-en-colonia-m4b3e",2019-02-06 21:36:46
"ENCARGADO DE SEGURIDAD","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 7 horas ","Importante empresa de seguridad selecciona: ENCARGADO DE SEGURIDAD  que residan en la ciudad de lIBERTAD o cercanías (DEPARTAMENTO DE SAN JOSÉ) Se ofrece  ...","san-jose","/anuncio/encargado-de-seguridad-bhr6h",2019-02-06 21:36:46
"LIC. EN FISIOTERAPIA","APR SALUD","Técnico / Especialista","Salud","Hace 2 días ","Fisioterapeuta para brindar tratamientos en prevención y rehabilitación de los ptes. La correcta rehabilitación y recuperación de los pacientes mediante el ...","san-jose","/anuncio/lic-en-fisioterapia-a2q8u",2019-02-06 21:36:46
