"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"INGENIERO RESIDENTE EN OBRA","Importante empresa","Profesional","Construcción - Arquitectura","Hace 1 mes ","Dirigir trabajos de ejecución de movimientos de suelos, tratamientos y ejecución de carpeta afáltica Supervisar equipos de trabajo Full time","durazno","/anuncio/ingeniero-residente-en-obra-hh3jp",2019-02-20 00:14:17
"ACOMPAÑANTES PARA CERRO LARGO (MELO)","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Requisitos: o	Ciclo básico con tercer año aprobado o	Experiencia en cuidados. o	Se valorará título en Aux de enfermería Nuestra propuesta: La mejor remuner ...","cerro-largo","/anuncio/acompanante-qaypu",2019-02-20 00:14:17
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-sz4at",2019-02-20 00:14:17
"ENCARGADO DE SEGURIDAD","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 1 semana ","Importante empresa de seguridad selecciona: ENCARGADO DE SEGURIDAD  que residan en la ciudad de lIBERTAD o cercanías (DEPARTAMENTO DE SAN JOSÉ) Se ofrece  ...","san-jose","/anuncio/encargado-de-seguridad-bhr6h",2019-02-20 00:14:17
"LIC. EN FISIOTERAPIA","APR SALUD","Técnico / Especialista","Salud","Hace 2 semanas ","Fisioterapeuta para brindar tratamientos en prevención y rehabilitación de los ptes. La correcta rehabilitación y recuperación de los pacientes mediante el ...","san-jose","/anuncio/lic-en-fisioterapia-a2q8u",2019-02-20 00:14:17
"TRABAJA PARA TI , EMPRESA AMERICANA CON 18 AÑOS EN EL MERCADO.","EMPRESA AMERICANA DA EXCELENTE OPORTUNIDAD  INTERNACIONAL DE NEGOCIO.","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 semana ","EXELENTE OPORTUNIDAD DE NEGOCIO  ONLINE.  AREA TURISMO, EXPANDIENDOSE A LATINOAMERICA Y EUROPA,... EXCELENTE MOMENTO DE SUMARTE Y COMENZAR... VACACIONES, V ...","colonia","/anuncio/trabaja-para-ti-empresa-americana-con-18-anos-en-el-mercado-7tbje",2019-02-20 00:14:17
"ENCARGADA PARA SHOPPING EN COLONIA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de la tienda. Seleccionamos Encargadas para trabajar en Shopping en el Departamento de Colonia.  La posición tiene como principal respons ...","colonia","/anuncio/encargada-para-shopping-en-colonia-m4b3e",2019-02-20 00:14:17
"COMERCIAL DE NEGOCIOS","ANDREA SOCA","Ejecutivo Comercial","Ventas - Comercial","Hace 6 días ","BUSCAS GENERAR INGRESOS EXTRAS DESDE LAS REDES SOCIALES, DESDE TU CASA? TE INTERESA TENER UN NEGOCIO INTERNACIONAL? TE INTERESA GANARTE VACACIONES PAGAS PO ...","soriano","/anuncio/comercial-de-negocios-nujg7",2019-02-20 00:14:17
"ANALISTA DE PLANIFICACIÓN Y CONTROL DE GESTIÓN ( RADICACION EN MERCEDES)",NA,"Analista","Administración - Secretariado","Hace 3 semanas ","Auren Capital Humano selecciona Analista de Planificación y Control de Gestión para importante empresa del sector Agropecuario.  (Radicación en Mercedes)  ...","soriano","/anuncio/analista-de-planificacion-y-control-de-gestion-radicacion-en-mercedes-t23bq",2019-02-20 00:14:17
"SUPERVISORES Y ENCARGADOS DE CUADRILLAS","Zafrales","Supervisor / Encargado","Producción","Hace 6 horas ","Supervisores y Encargados de grandes cantidades de trabajadores a su cargo para trabajos operativos en diversos sectores de producción agropecuaria como vi ...","maldonado","/anuncio/supervisores-y-encargados-de-cuadrillas-2gdev",2019-02-20 00:14:17
"CASEROS","Chacra en Jose Ignacio","Auxiliar","Seguridad - Vigilancia","Hace 5 días ","Caseros Se necesita pareja de caseros para chacra en Jose Ignacio. El: cuidado del parque y conocimiento de caballos. Ella: cuidado de la casa y desempeño  ...","maldonado","/anuncio/caseros-39jb3",2019-02-20 00:14:17
"ACOMPAÑANTE MALDONADO","Importante empresa","Auxiliar","Salud","Hace 2 semanas ","Seleccionamos Acompañantes  ¿Quieres ser un acompañante profesional?  ¡Sé parte de nuestro equipo!  Seleccionamos personal para el cargo de acompañantes.  ...","maldonado","/anuncio/acompanante-ttjn4",2019-02-20 00:14:17
