"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"AUXILIAR DE CRÉDITOS Y CAJERA/O","Possum Consulting","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","eleccionamos para empresa líder en servicios financieros. La posición: Implica gestionar todos los productos financieros , la presentación y diferentes p ...","florida","/anuncio/auxiliar-de-creditos-y-cajera-o-7uuse",2019-04-14 15:16:16
"TÉCNICO ELÉCTRICO","Buscamos para Andritz","Técnico / Especialista","Tecnologías de la información","Hace 3 semanas ","¿Quieres el desafío? Implica configurar, diagnosticar, reparar y realizar mejoras en equipamientos eléctricos, en forma segura, respetando el medio ambien ...","colonia","/anuncio/tecnico-electrico-sm3sm",2019-04-14 15:16:16
"DISTRIBUIDOR","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 semana ","Ventas en todos los departamentos del país Incorporar nuestros productos en su cartera de clientes . Cobranza.","interior","/anuncio/distribuidor-ea6uu",2019-04-14 15:16:16
"ESPECIALISTA EN ENTRENAMIENTO","UPM Forestal Oriental","Supervisor / Encargado","Producción","Hace 1 mes ","UPM Forestal Oriental selecciona profesional universitario para ocupar la posición de Especialista en Entrenamiento: Información Importante -          Rég ...","paysandu","/anuncio/especialista-en-entrenamiento-5bhbb",2019-04-14 15:16:16
"EJECUTIVO DE VENTAS MERCEDES","CertuS","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Consultora Certus selecciona EJECUTIVO DE VENTAS  para empresa de seguridad ubicada en Mercedes. Enfocamos nuestra búsqueda a personas de la zona, con expe ...","soriano","/anuncio/ejecutivo-de-ventas-mercedes-9sn82",2019-04-14 15:16:16
"ENCARGADA/O DE TIENDA PARA RIVERA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de la tienda. La posición tiene como principal responsabilidad el gestionar de forma integral la tienda. Orientamos nuestra búsqueda a pe ...","rivera","/anuncio/encargada-o-de-tienda-para-rivera-qnpvz",2019-04-14 15:16:16
"VENDEDOR EN MINAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Buscamos personas para productos de muy buena rotación y uso diario en el hogar. Ganancias hasta de un 40% en ventas directas. Ganancias quincenales en la  ...","lavalleja","/anuncio/vendedor-en-minas-54tny",2019-04-14 15:16:16
"PEÓN RURAL","Fundación La Muralla","Peon","Servicios - Oficios","Hace 1 semana ","Realizar tareas varias y prácticas en apoyo al equipo de trabajo. Realizar pinturas simples, mover equipamientos, poda y desmalezado, uso de motosierra. In ...","lavalleja","/anuncio/peon-rural-aus4r",2019-04-14 15:16:16
"VENDEDOR/A DE SERVICIOS - SALTO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Empresa de ventas de servicios veterinarios en la ciudad de SALTO selecciona: Vendedor/a de servicios. Buscamos un perfil con amplia vocación y experienci ...","salto","/anuncio/vendedor-a-de-servicios-v754d",2019-04-14 15:16:16
"RESPONSABLE DE RECURSOS HUMANOS - SALTO","Importante empresa","Supervisor / Encargado","Recursos Humanos","Hace 2 semanas ","Empresa líder de servicios en SALTO selecciona: Responsable de RRHH. El cargo reporta a Dirección y tiene como objetivo diseñar, planificar y ejecutar la ...","salto","/anuncio/responsable-de-recursos-humanos-6tqhq",2019-04-14 15:16:16
