"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 1 semana ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-sz4at",2019-01-14 00:30:37
"ACOMPAÑANTES PARA CERRO LARGO (MELO)","Importante empresa","Auxiliar","Salud","Hace 1 semana ","Requisitos: o	Ciclo básico con tercer año aprobado o	Experiencia en cuidados. o	Se valorará título en Aux de enfermería Nuestra propuesta: La mejor remuner ...","cerro-largo","/anuncio/acompanante-qaypu",2019-01-14 00:30:37
"INGENIERO ELÉCTRICO","Para compañía industrial multinacional referente en su ámbito","Profesional","Producción","Hace 4 semanas ","¿Quieres el desafío? El puesto tendrá a su cargo la planificación y programación de las actividades de mantenimiento correctivo y preventivo para el área  ...","interior","/anuncio/ingeniero-electrico-zh3jz",2019-01-14 00:30:37
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 1 mes ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose","/anuncio/psicopedagogo-a-fonoaudilogo-a-psicomotricista-32utq",2019-01-14 00:30:37
"ENCARGADO DE SECCION EN TACUAREMBO","Importante empresa","Supervisor / Encargado","Producción","Hace 3 semanas ","ENCARGADO PARA TAREAS VARIAS PERSONAL A CARGO","tacuarembo","/anuncio/encargado-de-seccion-en-tacuarembo-d2aup",2019-01-14 00:30:37
"JEFE DE ADMINISTRACIÓN","SALINAS DEL ALMIRON RESORT TERMAL","Jefe","Administración - Secretariado","Hace 5 días ","•	Analizar e interpretar los resultados financieros y presupuestos operacionales. •	Elaborar informes de Estado de situación Patrimonial y Estado de Result ...","paysandu","/anuncio/jefe-de-administracion-ags83",2019-01-14 00:30:37
"EJECUTIVO DE CUENTAS","ADVICE","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Será responsable por: El desarrollo de su cartera de clientes para maximizar las oportunidades de venta tanto con clientes actuales como nuevos para alcanz ...","paysandu","/anuncio/ejecutivo-de-cuentas-g3tme",2019-01-14 00:30:37
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha","/anuncio/alquile-o-administre-el-restaurante-2eqhu",2019-01-14 00:30:37
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 1 mes ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha","/anuncio/manager-de-mantenimiento-552rd",2019-01-14 00:30:37
"DIRECTOR GENERAL","Centro Educativo Privado en el Departamento de Colonia","Gerente","Directivos - Ejecutivos","Hace 1 mes ","Para liderar el proyecto educativo de la institución, buscamos:  •	 Personas con título docente y acentuada vocación por la enseñanza •	 Formación y experi ...","colonia","/anuncio/director-general-nh774",2019-01-14 00:30:37
