"puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping"
"LICENCIADO EN TRABAJO SOCIAL - RECIÉN RECIBIDO (DURAZNO, COLONIA, MALDONADO, CANELONES Y RIVERA)","CONEBAN","Asistente","Trabajo Social – Pasantías","Hace 1 mes ","Nos encontramos en la búsqueda de Licenciados en Trabajo Social para desempeñarse en proyecto de inclusión social en las localidades de: DURAZNO, COLONIA,  ...","durazno",2018-12-11 20:23:07
"ARQUITECTO SOBRESTANTE OBRA FLORIDA","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 4 semanas ","SOBRESTANTE PARA OBRA FLORIDA  Excluyente titulo de Arquitecto Dedicación Part- Time (4hs mínimo) Con radicación en la ciudad o a no mas de 50km de la mism ...","florida",2018-12-11 20:23:07
"COORDINADOR LOGÍSTICO","Importante empresa","Jefe","Logística - Distribución","Hace 1 mes ","Nuestro cliente – una importante multinacional agroindustrial – busca incorporar para su operación en Salto, Uruguay a un profesional con experiencia en Co ...","salto",2018-12-11 20:23:07
"ENCARGADA DE TIENDA - MERCEDES SORIANO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","soriano",2018-12-11 20:23:07
"INGENIERO INDUSTRIAL MECÁNICO","Andritz","Profesional","Producción","Hace 4 semanas ","¿Quieres el desafío? Responsable de planificar la realización de los trabajos del área (preventivos, predictivos y correctivos), teniendo en cuenta dispon ...","rio-negro",2018-12-11 20:23:07
"SUPERVISOR DE CALDERAS","Buscamos para Andritz","Jefe","Producción","Hace 1 mes ","¿Es tu perfil? Nuestra búsqueda se orienta a Tecnólogos Mecánicos con formación previa en mecánica industrial o automotriz, Mecánicos Aeronavales, Ingenie ...","rio-negro",2018-12-11 20:23:07
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha",2018-12-11 20:23:07
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 1 semana ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha",2018-12-11 20:23:07
"OPERARIO PRÁCTICO ELEVADORISTA PARA SUPLENCIA","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","EN LA CIUDAD DE ROCHA - DEPARTAMENTO DE ROCHA. - Acondicionamiento y empaque de materiales. - Carga, descarga y acarreo de mercancías y materiales varios,  ...","rocha",2018-12-11 20:23:07
" DOCENTE / LICENCIADO EN ENFERMERÍA","CEHS (Centro de Educación Humanizada para la Salud)","Técnico / Especialista","Salud","Hace 1 mes ","La búsqueda se orienta a Licenciados en Enfermería para docencia en Escuela de Enfermería. Requisitos : poseer título validado por MEC y MSP. Disponibilida ...","san-jose",2018-12-11 20:23:07
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 6 días ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose",2018-12-11 20:23:07
"SEGURIDAD","EMSUR","Auxiliar","Seguridad - Vigilancia","Hace 4 semanas ","Control de materiales existentes al tomar el turno control de accesos cerrados ( puertas y ventanas) Luces y bombas de agua en funcionamiento Correcto port ...","san-jose",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA CIUDAD DEL PLATA","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en CIUDAD DEL PLATA, para lo que busca mecánicos preferentemente con taller de motos propio, con de ...","san-jose",2018-12-11 20:23:07
"DIRECTOR GENERAL","Centro Educativo Privado en el Departamento de Colonia","Gerente","Directivos - Ejecutivos","Hace 1 semana ","Para liderar el proyecto educativo de la institución, buscamos:  •	 Personas con título docente y acentuada vocación por la enseñanza •	 Formación y experi ...","colonia",2018-12-11 20:23:07
"ENCARGADO GENERAL TAMBO/AGRICULTURA/GANADERÍA","Bolsa de Trabajo Rural del Uruguay","Supervisor / Encargado","Producción","Hace 3 semanas ","Sera el responsable de la coordinación de todos los trabajos de campo, supervisión y registros. Tendrá un grupo de 15 personas a su cargo. Deberá tener bue ...","colonia",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","cumplir funciones de administrativas cumplir funciones de administrativas","colonia",2018-12-11 20:23:07
"EMPRESA = OPORTUNIDAD","OPORTUNIDAD ONLINE","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 semana ","ATENCION!! Empresa De Turismo, 18 Años de Trayectoria Da  Oportunidad Única, Tiempo Limitado. Emprende Tu Propio Negocio! Acceso Super Accesible!! Pasajes  ...","colonia",2018-12-11 20:23:07
"ENCARGADO DE RESATURANT","Importante empresa en Colonia","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","Encargado de personal  Encargado de funcionamiento  Manejo de efectivo Puesto vacante para llevar la organización de Restaurant, y administracion !! Dispon ...","colonia",2018-12-11 20:23:07
"DELIVERY CON MOTO PARA PUNTA DEL ESTE","Logistica21","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas ","Horario de 12 a 16 y de 20 a 24. Puesto fijo, trabajo para todo el año. Pago por semana. Se necesita Delivery con MOTO propia, en condiciones y documentos  ...","maldonado",2018-12-11 20:23:07
"ADMINISTRATIVO CONTABLE ( PARA TRABAJAR EN MALDONADO)","AUREN","Auxiliar","Administración - Secretariado","Hace 1 mes ","Auren Capital Humano selecciona para empresa ubicada en MALDONADO,  vinculada a la construcción un Administrativo Contable.  Orientamos nuestra búsqueda a ...","maldonado",2018-12-11 20:23:07
"VENDEDOR PARA IMPORTANTE CONCESIONARIA DE AUTOMÓVILES EN PUNTA DEL ESTE","AGLH Consultores","Ejecutivo Comercial","Ventas - Comercial","Hace 4 días ","Orientamos la búsqueda a profesionales en el área de ventas, con sólido perfil comercial y experiencia en ventas y atención a clientes. Es requisito residi ...","maldonado",2018-12-11 20:23:07
"COCINERA PARA PUNTA DEL ESTE POR TEMPORADA","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Seleccionamos: Cocinera con experiencia para casa de familia para trabajar por la temporada en Punta del Este, desde el 20/12/2018 al 4/ 03/2019. Sexo Feme ...","maldonado",2018-12-11 20:23:07
"TÉCNICO DE MANTENIMIENTO PARA PLANTA LÁCTEA EN MALDONADO","  ","Técnico / Especialista","Producción","Hace 3 semanas ","Velar por el buen funcionamiento electromecánico de la planta. Será responsable por el buen funcionamiento electromecánico de su turno de producción.","maldonado",2018-12-11 20:23:07
"EMPRENDEDOR VENDEDOR","Lpasociados","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Se integran personas que esten en la busqueda de trabajo independiente. VENTAS y LIDERAZGO con facilidad de palabra para contacto en frio o por internet co ...","maldonado",2018-12-11 20:23:07
"AUXILIAR ESTUDIO CONTABLE","Asesoria Contable","Auxiliar","Administración - Secretariado","Hace 1 mes ","Liquidacion de sueldos IyC y construcción  Confeccion de nominas Secretaria Liquidacion de sueldos","maldonado",2018-12-11 20:23:07
"RESPONSABLE DE OBRA","ejd costructora","Profesional","Construcción - Arquitectura","Hace 1 mes ","responsable de obra y de proyectos estamos en la busqueda de arquitectos con ganas de progresar y crecer a nivel profecional y economico . con muchas oport ...","maldonado",2018-12-11 20:23:07
"ENCARGADO/A DE TIENDA-MALDONADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","maldonado",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA MALDONADO","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en Maldonado para lo que busca mecánicos preferentemente con taller de motos propio, con  deseos de ...","maldonado",2018-12-11 20:23:07
"DONEA PARA FARMACIA HOMEOPÁTICA","Importante empresa","Técnico / Especialista","Salud","Hace 1 mes ","Atención al publico, tareas administrativas, manejo de caja, mantener orden y limpieza del local. Puntualidad, responsabilidad, compañerismo, honestidad y  ...","canelones",2018-12-11 20:23:07
"COCINERA PARA HOTEL","HOTEL BAHAMAS","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 días ","Todo lo relacionado al puesto de trabajo, cocinar para grupos y a la carta, repostería para desayunos. Turno Nocturno de 16 a 00 Capacidad de trabajar en e ...","canelones",2018-12-11 20:23:07
"VENDEDORA","Importante Empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Vendedora para SHOPPING COSTA URBANA. Disponibilidad horaria Ventas en el salon comercial y eventual manejo de caja.","canelones",2018-12-11 20:23:07
"VENDEDOR","aromas","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","preventa levantar pedidos visitas planificadas a los clientes seguimiento y reposición de los productos","canelones",2018-12-11 20:23:07
"CHOFER","Importante empresa","Peon","Servicios - Oficios","Hace 2 semanas ","CHOFER para empresa en C.de la Costa. Libreta profesional categoría C o D.Requisito Excluyente experiencia mínima 3 años. Buena presencia. Carga y descarga ...","canelones",2018-12-11 20:23:07
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Elaborar y preparar platos de la carta, así como preparaciones, salsas, mise en place y todo lo necesario . Carnes, pescados, mariscos, pastas, ensaladas,  ...","canelones",2018-12-11 20:23:07
"AUXILIAR PARA DEPOSITO CON TAREAS DE MANTENIMIENTO","Importante empresa","Auxiliar","Logística - Distribución","Hace 2 semanas ","Tareas relacionadas a logística de la empresa y tareas de mantenimiento Recibir y controlar mercadería de proveedores Preparar pedidos Ordenar el depósito  ...","canelones",2018-12-11 20:23:07
"VENDEDOR PARA DISTINTAS ZONAS DE CANELONES","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Se necesita vendedor con experiencia para distintas zonas de el departamento de Canelones   Deberá hacerse cargo de la venta y el posterior seguimiento de  ...","canelones",2018-12-11 20:23:07
"LICENCIADO/A EN ENFERMERIA","","Técnico / Especialista","Salud","Hace 3 semanas ","Aspirantes para cobertura de cargos Licenciado/as en Enfermería Requisitos:  - Título habilitado por M.S.P  - Disponibilidad horaria. Presentar Currículu ...","canelones",2018-12-11 20:23:07
"INSTRUCTOR DE COCHE ESCUELA CON AUTO ","Escuela de conducir en Canelones","Técnico / Especialista","Educación - Recreación - Deportes","Hace 3 semanas ","instructor de manejo de autos, categoría A Coordinar agenda con alumnos, cumplir con los horarios pactados, presentar exámenes en los municipios correspond ...","canelones",2018-12-11 20:23:07
"ADMINISTRATIVA/O PARA LAS PIEDRAS","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Administrativo. Administrativo.","canelones",2018-12-11 20:23:07
"GUARDIA DE SEGURIDAD PARA PANDO","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Guardia de seguridad en Barrio Privado de la Zona Requisitos Excluyentes: Masculino de 20 a 60 años Libreta de Moto Disponibilidad Horaria para turnos Rot ...","canelones",2018-12-11 20:23:07
"AYUDANTE PASTERO","Empanadas Don Pedro","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Ayudante pastero, horario de la mañana de martes a Domingo zona Ciudad de la costa. Con experiencia en el rubro fabrica de pastas o panaderia Responsable,  ...","canelones",2018-12-11 20:23:07
"ODONTOLOGO/A","Consultorio Odontológico","Profesional","Salud","Hace 1 mes ","Atención Ontológica pacientes , odontología en general. Ortodoncia. Ortopedia Necesitamos Odontologos/as para los Lunes y Martes en Pando y de Miércoles a  ...","canelones",2018-12-11 20:23:07
"AUXILIAR ADMINISTRATIVO CONTABLE","Importante empresa","Asistente","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Tareas administrativas dentro de la administración de la empresa. Auxiliar Administrativa con conocimientos contables (Excluyente) Buen manejo de Office Ex ...","canelones",2018-12-11 20:23:07
"AUXILIAR DE DEPÓSITO PARA LAS PIEDRAS","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","Funciones - Soporte en la carga y descarga de mercadería. - Armado de pedidos para futura distribución. -  Movimiento de mercadería para configuración de a ...","canelones",2018-12-11 20:23:07
"VENDEDOR PARA LAS PIEDRAS- CANELONES.","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedor para Las Piedras de Lunes a Viernes de 9:00 a 18:00 horas. Vendedor para Las Piedras de Lunes a Viernes de 9:00 a 18:00 horas.","canelones",2018-12-11 20:23:07
"ATENCIÓN AL PÚBLICO Y TAREAS VARIAS","Importante empresa de quesos","Auxiliar","Servicios - Oficios","Hace 1 mes ","Atención al público persona simpática y con buenos modales. También tareas varias dentro del local. Fiambreria. Mantener buen trato con el público.","canelones",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA LA CIUDAD DE LAS PIEDRAS","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upa.motos está buscando ampliar sus servicios de auxilio para motos en la ciudad de LAS PIEDRAS  y zonas cercanas,  para lo que busca mecánicos preferentem ...","canelones",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA LA CIUDAD DE PANDO","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en la Ciudad de Pando y aledaños, para lo que busca mecánicos preferentemente con taller de motos p ...","canelones",2018-12-11 20:23:07
"MECÁNICO DE MOTOS PARA ATLANTIDA.","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en la ciudad de Atlántida y aledaños,  para lo que busca mecánicos preferentemente con taller de mo ...","canelones",2018-12-11 20:23:07
"FIAMBRERA SUPERMERCADO EN ZONA PINAMAR, CON EXPERIENCIA COMPROBABLE","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 6 días ","ATENCIÓN AL PUBLICO, ENVASADO, REPOSICIÓN DE LÁCTEOS Y CONGELADOS, LIMPIEZA DE SECTOR. ATENCIÓN AL PUBLICO, ENVASADO, REPOSICIÓN DE LÁCTEOS Y CONGELADOS, L ...","canelones",2018-12-11 20:23:07
"OFICIAL MECANICO AUTOMOTRIZ CON EXPERIENCOA / AIRE ACONDICIONADO AUTOMOTRIZ  / ARMADOR DESARMADOR","Apunto Aeropuerto ( Zona Aeropuerto)","Técnico / Especialista","Producción","Hace 1 semana ","Servicios / Diagnotico / Suspension / Frenos / Electricidad/ Cajas/ Ajustes Las del Puesto","canelones",2018-12-11 20:23:07
"AUXILIAR CONTABLE CALIFICADO","Empresa de Transporte","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 semana ","Auxiliar Contable Calificado para empresa de transporte de carga, cita en San Jacinto, Canelones. Full time.  Orientamos nuestra búsqueda a persona dinámic ...","canelones",2018-12-11 20:23:07
"AUXILIARES ADMINISTRATIVOS","Las Piedras Shopping","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 semana ","Requisitos: •	Estudiante de Ciencias Económicas /  estudiante o egresado EDA / egresado UTU •	Radicado en Las Piedras •	Buena escolaridad •	Proactivo, Ord ...","canelones",2018-12-11 20:23:07
"INSTRUCTOR","AbySa Academia de Choferes","Peon","Servicios - Oficios","Hace 1 semana ","Estamos incorporando a nuestro equipo instructor de manejo preferentemente con experiencia.  (Medio horario) Es indispensable contar con muy buen trato, pa ...","canelones",2018-12-11 20:23:07
"OPERARIO DE REPOSICIÓN Y DEPÓSITO","BRITT SHOP URUGUAY SA","Auxiliar","Ventas - Comercial","Hace 1 semana ","Empresa del rubro de Retail busca Operario de Reposición y Depósito:  - Manejo de camión con mercadería debe contar con licencia B, C o D.  - Reponer merc ...","canelones",2018-12-11 20:23:07
"ASISTENTE EN TURISMO - INGLES EXCLUYENTE","Bodega Pizzorno","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Aptitudes y actitudes para el cargo: Manejo de idiomas, capacidad de adaptación, lealtad a la empresa, polivalente, proactividad, capacidad de trabajo en e ...","canelones",2018-12-11 20:23:07
"CHAPISTA OFICIAL","Apunto Aeropuerto","Técnico / Especialista","Servicios - Oficios","Hace 1 semana ","oficial chapista con experiencia probada para taller en zona del aeropuerto de carrasco de lunes a viernes las del puesto","canelones",2018-12-11 20:23:07
"ADMINISTRATIVO ESTACIÓN DE SERVICIO LAGOMAR","Importante empresa","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Nos orientamos a la búsqueda de personas responsables, confiables y proactivas,para tareas administrativas en estación de servicio ubicada en LAGOMAR. Se r ...","canelones",2018-12-11 20:23:07
"ASESOR EN BIENESTAR","Monica Coli","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","PRIMER PLATAFORMA PARA EMPRENDEDORES.  Totalmente en español. Buscamos 5 personas para desarrollar SU PROPIO NEGOCIO EN INTERNET. Trabajando en REDES SOCIA ...","canelones",2018-12-11 20:23:07
"MANTENIMIENTO","El Descubrimiento Resort Club","Supervisor / Encargado","Producción","Hace 4 semanas ","Tareas de mantenimiento en general. Necesitamos personas proactivas con ganas de trabajar y dispuestas a solucionar problemas. Debe poseer conocimientos de ...","canelones",2018-12-11 20:23:07
"AUXILIAR DE VENTAS","Importante empresa","Auxiliar","Atención al cliente","Hace 1 mes ","Importante empresa textil ubicada en Costa Urbana Shopping busca Auxiliar de Ventas para incorporar a su staff. El horario es de 6 horas diarias con día de ...","canelones",2018-12-11 20:23:07
"REPOSICIÓN Y TAREAS DE DEPÓSITO EN SUPERMERCADO (ZONA PINAMAR)","","Auxiliar","Ventas - Comercial","Hace 1 mes ","Solamente se tomará en cuenta currículum con experiencia comprobable en supermercado. + Reposición del salón + Tareas de depósito, carga, descarga, etc. ...","canelones",2018-12-11 20:23:07
"GUARDIA CON LOCOMOCIÓN SOLYMAR","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Guardia de seguridad en Barrio Privado de la zona Requisitos Excluyentes: Masculino de 20 a 60 años Libreta de Moto Disponibilidad Horaria para turnos Rot ...","canelones",2018-12-11 20:23:07
"ENCARGADO PUESTO DE FRUTAS Y VERDURAS CON EXPERIENCIA COMPROBABLE, ZONA PINAMAR","SUPERMERCADO IMPERIO DEL ESTE","Auxiliar","Servicios - Oficios","Hace 1 mes ","ENCARGADO DEL PUESTO DE FRUTAS Y VERDURAS. EXPERIENCIA COMPROBABLE EN EL CARGO. SE ENCARGARÁ DE TODO LO RELACIONADO CON EL PUESTO EXCEPTUANDO LAS COMPRAS","canelones",2018-12-11 20:23:07
"CAJERA PARA SUPERMERCADO, EN ZONA PINAMAR (CANELONES), CON EXPERIENCIA COMPROBABLE","","Auxiliar","Ventas - Comercial","Hace 1 mes ","- CAJERA - CON EXPERIENCIA COMPROBABLE EN CAJAS - DISPONIBILIDAD HORARIA SE VALORARÁ EXPERIENCIA EN SISTEMA SCANNTECH","canelones",2018-12-11 20:23:07
"IDÓNEO EN FARMACIAS CON EXPERIENCIA DE VENDEDOR-CAJERO- EXCLUYENTE TENER TITULO DE IDÓNEO EN FARMACIAS Y EXPERIENCIA","","Técnico / Especialista","Salud","Hace 1 mes ","Todas las inherentes al cargo. Días y horarios: Lunes a Sábados con horario a coordinar con el postulante. Disponibilidad de realizar horas extras y posibl ...","canelones",2018-12-11 20:23:07
"INSTALADOR DE ALARMAS RESIDENCIALES, COMERCIALES Y CCTV","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Instalación y Mantenimiento de Sistemas de Alarmas y Cámaras de Seguridad. Nuestra empresa le brinda el servicio de instalación a reconocidas empresas en e ...","canelones",2018-12-11 20:23:07
"BARMAN, MOZO, MOZO DE BARRA.","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Seleccionamos colaboradores para cubrir vacantes en el puesto de Mozo, mozo de barra y comis de mozo en nuestro Restaurante. Las vacantes son para todo el  ...","canelones",2018-12-11 20:23:07
"CARNICERO CORTADOR CON EXPERIENCIA, ZONA PINAMAR, CANELONES","","Auxiliar","Servicios - Oficios","Hace 1 mes ","CORTAR DESARMAR LIMPIEZA ATENCIÓN AL PÚBLICO SELECCIONAMOS CARNICERO CORTADOR CON EXPERIENCIA Y REFERENCIAS COMPROBABLES","canelones",2018-12-11 20:23:07
".VENDEDOR  - BARRACAS - FERRETERIAS - CONSTRUCTORAS - (NO EXCLUSIVO)","bolsamax","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","VENDEDOR NO EXCLUSIVO  Barracas - Ferreterias - Constructoras Montevideo y Ciudad de la Costa Potenciar la cartera de clientes de la empresa en rubro Barra ...","montevideo",2018-12-11 20:23:07
"MOZA DE SALÓN","Parrillada Tintos y Rubias","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Atención al público, orden y limpieza del salón. Buena presencia, puntualidad, preparación del salón para el turno de trabajo, orden y limpieza del mismo,  ...","montevideo",2018-12-11 20:23:07
"COCINERA","Importante Empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Autoservice necesita cocinera para sección Rotiseria con experiencia. Autoservice necesita cocinera para sección Rotisería con experiencia.","montevideo",2018-12-11 20:23:07
"GESTOR DE COBRANZA PARA CALL CENTER","Importante empresa","Auxiliar","Teleoperadores - Call Center","Hace 1 mes ","Estamos en la búsqueda de personas con experiencia en cobranzas que sean dinámicas, orientadas a resultados y con buen nivel de comunicación para incorpora ...","montevideo",2018-12-11 20:23:07
"PAYROLL OPERATIONS ANALYST","ADVICE","Analista","Administración - Secretariado","Hace 1 mes ","Syngenta is a world-leading agribusiness company committed to improve global food security. If you are interested in professional development in the financ ...","montevideo",2018-12-11 20:23:07
"CAJERA/O","Gadager","Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajero con experiencia turno vespertino para supermercado","montevideo",2018-12-11 20:23:07
"MOZOS/AS, COCINEROS/AS, BARMAN Y BACHEROS","Ramona","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Ramona busca personal capacitado, con conocimiento y  buena actitud. Entregar curriculum en Ramona Pocitos Luis de la torre 701 Trabajo en equipo.","montevideo",2018-12-11 20:23:07
"AUXILIAR EN VENTAS","","Auxiliar","Atención al cliente","Hace 1 mes ","Mayor de 25 años, excluyente, sexo masculino, flexibilidad horaria. Se desempeñará en todo lo inherente a la atención al público, armado o desarmado de vit ...","montevideo",2018-12-11 20:23:07
"INGENIERO VIAL","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 1 mes ","INGENIERO VIAL Experiancia comprobable de minimo 5 años en el rubro. Full Time - Posibilidad de viajar a todo el pais.","montevideo",2018-12-11 20:23:07
"VENTAS-CARNICERIA","","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Cortador para Carnicería Inherentes al cargo","montevideo",2018-12-11 20:23:07
"PERSONAS","Susanne","Otros","Llamados - Concursos","Hace 1 mes ","Entiendes de negocios? Te identificas con las ventas? Manejas redes sociales? Puedes invertir tiempo y dinero? Compartes con la familia y los amigos?  Pers ...","montevideo",2018-12-11 20:23:07
"PERSONAS","Importante empresa","Otros","Llamados - Concursos","Hace 1 mes ","Sabías que puedes ganar hasta U$D2000 en 6 semanas vendiendo páginas web autogestionables?  Disponer de tiempo y dicción impecable.","montevideo",2018-12-11 20:23:07
"CORTADOR AYUDANTE DE PIZZERIA CON CONOCIMIENTO DE ELABORACION EN HORNO A LEÑA","la barra","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","cortador de pizzeria  ,  pizzero auxiliar para viernes y sabados cortador pizzeria ,o pizzero auxiliar","montevideo",2018-12-11 20:23:07
"AUXILIAR DE DEPOSITO","Abiler","Auxiliar","Logística - Distribución","Hace 1 mes ","Carga y descarga de mercadería, reposición de mercadería a sucursales, orden y limpieza de depósito Lunes a sábados, 44 horas semanales, 20 a 25 años, cicl ...","montevideo",2018-12-11 20:23:07
"INTEGRADOR","INTERFAX LTDA","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","Asistencia y soporte técnico en instalaciones existentes. Asistencia técnica en montaje y puesta en funcionamiento de nuevas instalaciones. Sistemas análog ...","montevideo",2018-12-11 20:23:07
"CHOFER","TRANSHOTEL","Medio Oficial","Producción","Hace 1 mes ","Chófer Profesional con experiencia comprobable,trabajo con contrato a termino por 30 días aproximadamente enviar curriculum  con foto. Montevideano/Punta d ...","montevideo",2018-12-11 20:23:07
"DISEÑADOR - PROGRAMADOR WEB","Importante empresa","Asistente","Tecnologías de la información","Hace 1 mes ","Actualización de página web Manejo de PHP excluyente Freelance -","montevideo",2018-12-11 20:23:07
"ANALISTA SEO","Importante empresa","Analista","Tecnologías de la información","Hace 1 mes ","Actividades centrales: •	Keyword Research SEO. •	Creación de informes SEO de demanda. •	Crear presentaciones de resultados y posicionamiento. Experiencia  ...","montevideo",2018-12-11 20:23:07
"VENDEDOR/A MINIMERCADO DE 18HS A 00HS","","Auxiliar","Atención al cliente","Hace 1 mes ","Miércoles a Sábados de 18 a 00hs  Domingo de 9 a 15hs Días Libres: Lunes y Martes Tareas: Atención al público, reposición de mercadería y orden del local  ...","montevideo",2018-12-11 20:23:07
"PEONES, 1/2 OFICIAL Y OFICIALES","Importante empresa","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","Se solicita peones,  1/2 oficial y oficiales electricista para obras en Montevideo. Realización de su tarea de acuerdo al cargo que ocupa","montevideo",2018-12-11 20:23:07
"TELEFONISTA CON EXPERIENCIA.","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Telefonista. Telefonista.","montevideo",2018-12-11 20:23:07
"DOCENTE DE DERECHO","Importante empresa","Profesional","Legal","Hace 1 mes ","Centro de Capacitación PIRÁMIDE selecciona: Abogado con formación específica en las áreas de Derecho Penal, Derecho Constitucional y Derecho Procesal Pena ...","montevideo",2018-12-11 20:23:07
"ELECTRICISTAS Y AYUDANTES CON CONOCIMIENTOS EN ELECTRICIDAD","--------------------","Técnico / Especialista","Construcción - Arquitectura","Hace 1 mes ","- Electricistas: * Poseer conocimientos básicos de electricidad - Ayudantes: * Brindar apoyo en las tareas del electricista Trabajo a realizar en Montevid ...","montevideo",2018-12-11 20:23:07
"MÉDICO DE RADIO (A DOMICILIO)","Insignis Medical Group SRL","Profesional","Salud","Hace 1 mes ","Empresa de servicios médicos solicita: Médico para llamados de radio a domicilio de 8 a 20 hs. en Montevideo. Vehículo excluyente. Las inherentes a la func ...","montevideo",2018-12-11 20:23:07
"VENDEDOR DE SERVICIOS PARA MONTEVIDEO","UPA.MOTOS auxilio","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","UPA.MOTOS necesita vendedor de plaza con experiencia comprobada en venta de servicios. Mayor de 25 años. Sexo masculino. Buena presencia. Se valorará que c ...","montevideo",2018-12-11 20:23:07
"VOLANTERO/AS","UPA.MOTOS auxilio","Auxiliar","Ventas - Comercial","Hace 1 mes ","Entregar volantes en puntos fijos predeterminados. Cuatro horas diarias. Chicas y chicos entre 18 y 22 años. Se valorará experiencia y buena presencia. Cic ...","montevideo",2018-12-11 20:23:07
"ENCUESTADOR EN VÍA PUBLICA","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 1 mes ","Realizar encuestas en vía publica para una importante empresa educativa. Realizar encuestas.","montevideo",2018-12-11 20:23:07
