"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"VENDEDOR EN MINAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Buscamos personas para productos de muy buena rotación y uso diario en el hogar. Ganancias hasta de un 40% en ventas directas. Ganancias quincenales en la  ...","lavalleja","/anuncio/vendedor-en-minas-54tny",2019-03-28 16:38:26
"AUXILIAR DE CRÉDITOS Y CAJERA/O","Possum Consulting","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas ","eleccionamos para empresa líder en servicios financieros. La posición: Implica gestionar todos los productos financieros , la presentación y diferentes p ...","florida","/anuncio/auxiliar-de-creditos-y-cajera-o-7uuse",2019-03-28 16:38:26
"ENCARGADA/O DE TIENDA PARA RIVERA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","Gestión integral de la tienda. La posición tiene como principal responsabilidad el gestionar de forma integral la tienda. Orientamos nuestra búsqueda a pe ...","rivera","/anuncio/encargada-o-de-tienda-para-rivera-qnpvz",2019-03-28 16:38:26
"TÉCNICO ELÉCTRICO","Buscamos para Andritz","Técnico / Especialista","Tecnologías de la información","Hace 5 días ","¿Quieres el desafío? Implica configurar, diagnosticar, reparar y realizar mejoras en equipamientos eléctricos, en forma segura, respetando el medio ambien ...","colonia","/anuncio/tecnico-electrico-sm3sm",2019-03-28 16:38:26
"TRABAJA PARA TI , EMPRESA AMERICANA CON 18 AÑOS EN EL MERCADO.","EMPRESA AMERICANA DA EXCELENTE OPORTUNIDAD  INTERNACIONAL DE NEGOCIO.","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 mes ","EXELENTE OPORTUNIDAD DE NEGOCIO  ONLINE.  AREA TURISMO, EXPANDIENDOSE A LATINOAMERICA Y EUROPA,... EXCELENTE MOMENTO DE SUMARTE Y COMENZAR... VACACIONES, V ...","colonia","/anuncio/trabaja-para-ti-empresa-americana-con-18-anos-en-el-mercado-7tbje",2019-03-28 16:38:26
"CONFITERO REPOSTERO","Importante empresa en la paloma","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Buscamos confitero/a - responderle/a para trabajar en la paloma, algunos días de la semana. Horario flexible, pago pasajes. Elaboración de postres y masas. ...","rocha","/anuncio/confitero-repostero-ndm8e",2019-03-28 16:38:26
"CONFITERO RESPOSTERO","ChinoyNacho","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Elaboración de masas finas y postres para mostrador Trabajo jornalero en la paloma Rocha, elaboración de productos de mostrador y pedidos.","rocha","/anuncio/confitero-respostero-4mhga",2019-03-28 16:38:26
"ESPECIALISTA EN ENTRENAMIENTO","UPM Forestal Oriental","Supervisor / Encargado","Producción","Hace 1 mes ","UPM Forestal Oriental selecciona profesional universitario para ocupar la posición de Especialista en Entrenamiento: Información Importante -          Rég ...","paysandu","/anuncio/especialista-en-entrenamiento-5bhbb",2019-03-28 16:38:26
"SOUS CHEF","SALINAS DEL ALMIRON RESORT TERMAL","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Responsabilidad, puntualidad y Pro-actividad Liderazgo Manejo de recursos humanos  Control de procesos internos Control de inventarios Diseño y elaboración ...","paysandu","/anuncio/sous-cheff-8nj4p",2019-03-28 16:38:26
"EJECUTIVO DE VENTAS MERCEDES","CertuS","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","Consultora Certus selecciona EJECUTIVO DE VENTAS  para empresa de seguridad ubicada en Mercedes. Enfocamos nuestra búsqueda a personas de la zona, con expe ...","soriano","/anuncio/ejecutivo-de-ventas-mercedes-9sn82",2019-03-28 16:38:26
"COMERCIAL DE NEGOCIOS","ANDREA SOCA","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","BUSCAS GENERAR INGRESOS EXTRAS DESDE LAS REDES SOCIALES, DESDE TU CASA? TE INTERESA TENER UN NEGOCIO INTERNACIONAL? TE INTERESA GANARTE VACACIONES PAGAS PO ...","soriano","/anuncio/comercial-de-negocios-nujg7",2019-03-28 16:38:26
"VENDEDOR/A DE SERVICIOS - SALTO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 días ","Empresa de ventas de servicios veterinarios en la ciudad de SALTO selecciona: Vendedor/a de servicios. Buscamos un perfil con amplia vocación y experienci ...","salto","/anuncio/vendedor-a-de-servicios-v754d",2019-03-28 16:38:26
