"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"VENDEDOR/A DEPARTAMENTO DURAZNO","FORTER S.A","Ejecutivo Comercial","Ventas - Comercial","Hace 5 días ","NO POSTULARSE SI NO VIVE EN DURAZNO! Nos encontramos en la búsqueda de vendedores y cajeros con experiencia en el rubro indumentaria para nuestro local ub ...","durazno","/anuncio/vendedor-a-g6pst",2019-05-05 19:55:55
"ENCARGADA/O DE TIENDA PARA RIVERA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Gestión integral de la tienda. La posición tiene como principal responsabilidad el gestionar de forma integral la tienda. Orientamos nuestra búsqueda a pe ...","rivera","/anuncio/encargada-o-de-tienda-para-rivera-qnpvz",2019-05-05 19:55:55
"TÉCNICO ELÉCTRICO","Buscamos para Andritz","Técnico / Especialista","Tecnologías de la información","Hace 1 mes ","¿Quieres el desafío? Implica configurar, diagnosticar, reparar y realizar mejoras en equipamientos eléctricos, en forma segura, respetando el medio ambien ...","colonia","/anuncio/tecnico-electrico-sm3sm",2019-05-05 19:55:55
"JEFE DE OPERACIONES","AUREN","Jefe","Logística - Distribución","Hace 1 semana ","Auren Capital Humano selecciona Jefe de Operaciones para importante empresa de transporte de carga en el departamento de Colonia. Orientamos nuestra búsqu ...","colonia","/anuncio/jefe-de-operaciones-qrgbp",2019-05-05 19:55:55
"COORDINADOR GENERAL","CALAI","Supervisor / Encargado","Ventas - Comercial","Hace 1 semana ","-Planificar, dirigir y coordinar la gestión de servicios prestados por la empresa a sus productores. -Coordinación continua con los responsables de cada ár ...","interior","/anuncio/coordinador-general-9mjjb",2019-05-05 19:55:55
"DISTRIBUIDOR","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","Ventas en todos los departamentos del país Incorporar nuestros productos en su cartera de clientes . Cobranza.","interior","/anuncio/distribuidor-ea6uu",2019-05-05 19:55:55
"ENCARGADO PARA ESTABLECIMIENTO AGRÍCOLA- GANADERO EN ZONA DE SARANDÍ DEL YÍ","Importante empresa","Técnico / Especialista","Agroindustria","Hace 2 semanas ","La persona será responsable de la ejecución del proyecto agrícola-ganadero con sistemas de producción intensiva con terminación en feedlot. - Profesionales ...","florida","/anuncio/encargado-para-establecimiento-agricola-ganadero-en-zona-de-sarandi-del-yi-6vu7m",2019-05-05 19:55:55
"AUXILIAR DE CRÉDITOS Y CAJERA/O","Possum Consulting","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","eleccionamos para empresa líder en servicios financieros. La posición: Implica gestionar todos los productos financieros , la presentación y diferentes p ...","florida","/anuncio/auxiliar-de-creditos-y-cajera-o-7uuse",2019-05-05 19:55:55
"VENDEDOR/A DE SERVICIOS - SALTO","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Empresa de ventas de servicios veterinarios en la ciudad de SALTO selecciona: Vendedor/a de servicios. Buscamos un perfil con amplia vocación y experienci ...","salto","/anuncio/vendedor-a-de-servicios-v754d",2019-05-05 19:55:55
"RESPONSABLE DE RECURSOS HUMANOS - SALTO","Importante empresa","Supervisor / Encargado","Recursos Humanos","Hace 1 mes ","Empresa líder de servicios en SALTO selecciona: Responsable de RRHH. El cargo reporta a Dirección y tiene como objetivo diseñar, planificar y ejecutar la ...","salto","/anuncio/responsable-de-recursos-humanos-6tqhq",2019-05-05 19:55:55
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 1 semana ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-8d4e9",2019-05-05 19:55:55
"PEÓN RURAL","Fundación La Muralla","Peon","Servicios - Oficios","Hace 1 mes ","Realizar tareas varias y prácticas en apoyo al equipo de trabajo. Realizar pinturas simples, mover equipamientos, poda y desmalezado, uso de motosierra. In ...","lavalleja","/anuncio/peon-rural-aus4r",2019-05-05 19:55:55
"GUARDIAS DE SEGURIDAD (LIBERTAD - CIUDAD DEL PLATA)","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Importante empresa de seguridad selecciona: GUARDIAS DE SEGURIDAD (ÚNICAMENTE HOMBRES) que residan en las ciudades de Libertad y Ciudad del Plata. Se ofre ...","san-jose","/anuncio/guardias-de-seguridad-libertad-ciudad-del-plata-77qn6",2019-05-05 19:55:55
"CAPATAZ","COVIECILDA","Supervisor / Encargado","Construcción - Arquitectura","Hace 1 mes ","CAPATAZ para cooperativa de ayuda mutua de 48 viviendas de una planta y dúplex en Ecilda Paullier, San José a iniciarse en mayo-junio. Curriculums contenie ...","san-jose","/anuncio/capataz-ajhv6",2019-05-05 19:55:55
"VIGILANCIA.","RECAITE LETICIA","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Guardia de seguridad para el departamento de San Jose, Libertad. Vigilancia.","san-jose","/anuncio/vigilancia-apzbj",2019-05-05 19:55:55
"TECNICO COMERCIAL","NETUY","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Prospección y búsqueda de nuevos clientes, asesorar sobre consultas por nuevos servicios a adquirir. Mantenimiento de cartera actual. Encargase de todo el  ...","maldonado","/anuncio/tecnico-comercial-evnq8",2019-05-05 19:55:55
"ASISTENTE DE DIRECCION","NETUY","Asistente","Administración - Secretariado","Hace 2 semanas ","Contestar teléfono, emails, organizar,  seguimiento de tareas, seguimiento de proyectos. Se busca un profesional técnico, calificado, con conocimientos en  ...","maldonado","/anuncio/asistente-de-direccion-ndz8a",2019-05-05 19:55:55
"ENCARGADO DE INFRAESTRUCTURA (MALDONADO)","NETUY","Supervisor / Encargado","Tecnologías de la información","Hace 3 semanas ","Coordinar y ejecutar todas las tareas inherentes al área de infraestructura física, sistemas operativos (instalación, configuración, mantenimiento, Linux y ...","maldonado","/anuncio/encargado-de-infraestructura-2pdv8",2019-05-05 19:55:55
"ATENCIÓN TECNICA AL CLIENTE (MALDONADO)","NETUY","Técnico / Especialista","Tecnologías de la información","Hace 3 semanas ","Soporte al cliente mediante vías de comunicación (chat, tickets de soporte y teléfono) Asistencia al cliente en el uso y funcionamiento de los servicios ad ...","maldonado","/anuncio/atencion-tecnica-al-cliente-6qd58",2019-05-05 19:55:55
"PUNTA SHOPPING APRENDIZ DE VENTAS - APRENDIZ DE CAJAS","MOSCA","Auxiliar","Ventas - Comercial","Hace 1 mes ","Buscamos personas con gusto por la atención al cliente y ventas, para trabajar en tienda ubicada en PUNTA SHOPPING. Si tenés más de 18 años, sos estudiant ...","maldonado","/anuncio/aprendiz-de-ventas-aprendiz-de-cajas-nv4ye",2019-05-05 19:55:55
"DIRECTOR ADMINISTRATIVO","CEREMA","Gerente","Directivos - Ejecutivos","Hace 1 mes ","Coordinar las actividades del  área administrativa Trabajará con el Director Técnico y la Comisión Directiva del centro Resolver o contribuir a la solución ...","maldonado","/anuncio/director-administrativo-8q7rq",2019-05-05 19:55:55
"VENDEDOR DE CALLE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Buscamos jóvenes carismáticos para la venta en calle de productos de telefonía móvil para todo Maldonado. Los postulantes deben residir en Maldonado, deben ...","maldonado","/anuncio/vendedor-de-calle-z5mnd",2019-05-05 19:55:55
"VENDEDOR DE CALLE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Buscamos vendedores de calle para trabajar en el rubro de Telefonía móvil, visitando clientes, kioscos y almacenes de la zona de Maldonado. Se necesita que ...","maldonado","/anuncio/vendedor-de-calle-p92v4",2019-05-05 19:55:55
"VENDEDOR DE CALLE","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Buscamos jóvenes carismáticos para vender productos de telefonía móvil en la calle, en todo Maldonado. Necesitamos gente que viva en Maldonado, tenga buena ...","maldonado","/anuncio/vendedor-de-calle-v6ras",2019-05-05 19:55:55
"VENDEDOR/A CON VEHÍCULO","Guía en Movimiento","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Somos una empresa en crecimiento en el rubro de las comunicaciones y publicidad. Buscamos persona que le interese integrarse de forma permanente en el sect ...","maldonado","/anuncio/vendedor-a-con-vehiculo-mg7bn",2019-05-05 19:55:55
"ODONTOLOGO GRAL CON ESTUDIOS EN ORTODONCIA","Consultorio Odontologico","Profesional","Salud","Hace 1 semana ","Odontología gral - Armado, control y seguimiento de ortodoncia Odontología gral - diagnostico, tratamiento y seguimiento del paciente Ortodoncia - diagnost ...","maldonado","/anuncio/odontologo-gral-con-estudios-en-ortodoncia-b4hd9",2019-05-05 19:55:55
"MARKETING INDEPENDIENTE","Porvenir","Asistente","Marketing - Publicidad","Hace 1 mes ","Estar abierto a aprender técnicas de marketing actualizadas, capacitarse, liderar equipos Aprender y liderar","maldonado","/anuncio/marketing-independiente-9th87",2019-05-05 19:55:55
"ACOMPAÑANTE DE SERVICIO PARA SUC MALDONADO","Amec Amec Amec","Auxiliar","Salud","Hace 1 mes ","Requisitos: •	Secundaria: Ciclo básico con tercer año aprobado •	Se valorará experiencia en la tarea. •	Se valorará formación en cuidados.  Te brindamos:  ...","maldonado","/anuncio/acompanante-de-servicio-rvmaq",2019-05-05 19:55:55
"EJECUTIVO DE CUENTAS","Importante empresa constructora","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Atención de la relación con clientes, pre-venta, venta y pos venta. Sus principales responsabilidades son las propias del puesto, fundamentalmente la atenc ...","maldonado","/anuncio/ejecutivo-de-cuentas-uydde",2019-05-05 19:55:55
"ASISTENTE",NA,"Auxiliar","Producción","Hace 1 mes ","Curtiembre en Las Piedras selecciona Asistente de Laboratorio y Depósito para Dpto Técnico Nos enfocamos en la búsqueda de mujeres entre 20 y 30 años cono ...","canelones","/anuncio/asistente-5dpb3",2019-05-05 19:55:55
"ELEVADORISTA PARA LAS PIEDRAS","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","Funciones - Soporte en la carga y descarga de mercadería. - Armado de pedidos para futura distribución. - Control e ingreso de mercadería.  - Organización  ...","canelones","/anuncio/elevadorista-para-las-piedras-adzq8",2019-05-05 19:55:55
"ESTUDIANTE DE QUIMICA","drogueriapina","Profesional","Producción","Hace 1 mes ","Importante empresa en el area de produccion y formulacion quimica se encuentra en la busqueda de estudiante o egresado quimico con conocimientos en elabora ...","canelones","/anuncio/estidiante-de-quimica-snpy2",2019-05-05 19:55:55
"ACOMPAÑANTE DE CHOFER - ZONA LAS PIEDRAS","AGLH Consultores","Auxiliar","Logística - Distribución","Hace 1 mes ","Buscamos Acompañante de Chofer para importante empresa Multinacional dedicada al rubro de alimentos.   Nos orientamos a personas con ciclo básico completo, ...","canelones","/anuncio/acompanante-de-chofer-zona-las-piedras-ep9b8",2019-05-05 19:55:55
"PEÓN DE MANTENIMIENTO CON LIBRETA ''B''","Importante empresa","Peon","Servicios - Oficios","Hace 1 mes ","Se necesita personal de mantenimiento, el cual debe desempeñar tareas varias acordes con el puesto. Debe contar con libreta categoria  ''B'' para poder hac ...","canelones","/anuncio/peon-de-mantenimiento-con-libreta-b-ymgqb",2019-05-05 19:55:55
"AUXILIAR DE CALIDAD","Montich Uruguay S.A.","Auxiliar","Producción","Hace 1 mes ","Controlar las piezas terminadas evaluando la calidad y aspecto de los trabajos y dimensiones finales de acuerdo a estándares establecidos. Conocimientos de ...","canelones","/anuncio/auxiliar-de-calidad-bry8t",2019-05-05 19:55:55
"TAPICERO DE MUEBLES","Marvic","Oficial","Servicios - Oficios","Hace 1 mes ","Tapicería de muebles, lisos y capitoneados Tapicería de muebles","canelones","/anuncio/tapicero-de-muebles-d2zjh",2019-05-05 19:55:55
"CAJERA, REPONEDORES Y VIGILANTES PARA PANDO","Importante empresa","Auxiliar","Atención al cliente","Hace 1 mes ","Seleccionamos personal para nueva apertura de Supermercado en Pando. Buscamos cajeras, reponedores y personal de vigilancia con experiencia. Se trata de un ...","canelones","/anuncio/cajera-reponedores-y-vigilantes-h4vtj",2019-05-05 19:55:55
"ADMINISTRATIVO OPERATIVO","ocs","Auxiliar","Administración - Secretariado","Hace 1 mes ","Debe manejar ecxel dos , buen trato, soportar la presion. depende el area opertativa de la empresa de este puesto","canelones","/anuncio/administrativo-operativo-b9man",2019-05-05 19:55:55
"PROMO VENDEDOR","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Ventas de puerta en puerta. Con experiencia en ventas (excluyente). Imprescindible vivir en Ciudad de la costa. Puntualidad Compromiso y cumplimiento","canelones","/anuncio/promo-vendedor-8eyq5",2019-05-05 19:55:55
"PANDO APRENDIZ DE VENTAS - CAJA","MOSCA","Auxiliar","Ventas - Comercial","Hace 5 días ","Buscamos personas con gusto por la atención al cliente y ventas, para formar parte del equipo de nuestra nueva tienda en PANDO. Si tenés más de 18 años, s ...","canelones","/anuncio/pando-aprendiz-de-ventas-aprendiz-de-cajas-yemum",2019-05-05 19:55:55
"COCINERO","Empanadas Don Pedro","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Cocina tradicional. Empanadas pastas minutas etc. responsable en su trabajo, puntualidad, viva en la zona de Ciudad de la costa. trabajo fijo en el horario ...","canelones","/anuncio/cocinero-2774u",2019-05-05 19:55:55
"EXPERTO EN REDES SOCIALES","Importante empresa","Supervisor / Encargado","Tecnologías de la información","Hace 1 semana ","Manejo de redes sociales, atención al público, ventas, tareas administrativas Manejo perfecto de redes sociales","canelones","/anuncio/experto-en-redes-sociales-pdy6h",2019-05-05 19:55:55
"MAESTRO PANADERO","EMPRESA ZONA PINAMAR","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","ELABORACIÓN (PANES, BIZCOCHOS, PIZZAS, OJITOS, POLVORONES,) HIGIENE DEL LUGAR Y MAQUINARIA.","canelones","/anuncio/maestro-panadero-aydqq",2019-05-05 19:55:55
"CONSEJEROS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Nuestra propuesta se orienta a personas mayores de 18 años, residentes en la localidad de Santa Lucía y se encuentra relacionada al área de ventas. Se trat ...","canelones","/anuncio/consejeros-sd39a",2019-05-05 19:55:55
"ENCARGADO PARA SUPERMERCADO, PINAMAR CANELONES","SUPERMERCADO ZONA PINAMAR, CANELONES","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","SE NECESITA ENCARGADO/A PARA SUPERMERCADO, CON EXPERIENCIA EN MANEJO DE PERSONAL Y DINÁMICA DE VENTA. SE VALORARÁ EXPERIENCIA EN EL MANEJO DE FIAMBRERÍA, R ...","canelones","/anuncio/encargado-para-supermercado-pinamar-canelones-pen65",2019-05-05 19:55:55
"MEDIO OFICIAL","Las Piedras Shopping","Técnico / Especialista","Producción","Hace 3 semanas ","Gestionar ordenes de servicio Tareas: - Atender necesidades de mantenimiento en locales comerciales, áreas comunes y áreas técnicas del Centro Comercial. ...","canelones","/anuncio/medio-oficial-un3h9",2019-05-05 19:55:55
"INSTALADOR DE ALARMAS RESIDENCIALES, COMERCIALES Y CCTV","Importante empresa","Oficial","Servicios - Oficios","Hace 1 mes ","Instalación y Mantenimiento de Sistemas de Alarmas y Cámaras de Seguridad. Nuestra empresa le brinda el servicio de instalación a reconocidas empresas en e ...","canelones","/anuncio/instalador-de-alarmas-residenciales-comerciales-y-cctv-2u53n",2019-05-05 19:55:55
"ENCARGADA DE FIAMBRERÍA",NA,"Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","ENCARGADA DE LA FIAMBRERÍA HORARIOS, CONTROL DE STOCK, VENCIMIENTOS, ETC.","canelones","/anuncio/encargada-de-fiambreria-e6mds",2019-05-05 19:55:55
"MÓVIL DE RESPUESTA","CDM","Peon","Servicios - Oficios","Hace 1 mes ","Respuesta de alarmas Movil de respuesta de alarmas","canelones","/anuncio/movil-de-respuesta-ujqdv",2019-05-05 19:55:55
"COLOCADOR Y CHOFER",NA,"Oficial","Construcción - Arquitectura","Hace 1 mes ","Colocador, armador y chofer para Carpinteria zona El Pinar. Armado en Taller y colocacion  en Obra, debe poseer buena presencia y libreta de conducir prefe ...","canelones","/anuncio/colocador-y-chofer-d4gz6",2019-05-05 19:55:55
"OFICIAL CARPINTERO",NA,"Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Oficial Carpintero, para Carpinteria en Melaminico, con experiencia comprobable. Preferentemente de la zona, estamos ubicados en El Pinar. Acordes al cargo ...","canelones","/anuncio/oficial-carpintero-qpg9b",2019-05-05 19:55:55
"PROMOTOR/VENDEDOR SERVICIO DE COMPAÑÍA","GENTE SERVICIO DE COMPAÑÍA","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta puerta a puerta y en stand, en las ciudades de: La Paz, Las Piedras, Progreso, Sauce y juanicó. Realizar afiliaciones de acuerdo a las pautas de la e ...","canelones","/anuncio/promotor-vendedor-servicio-de-compania-e4t6j",2019-05-05 19:55:55
"ASISTENTE DE MARKETING","Costa Urbana Shopping","Asistente","Marketing - Publicidad","Hace 1 mes ","Busca incorporar un Asistente de Marketing enfocado el análisis de: • Variables de Ventas. • Resultados de promociones. • Variables de Ventas y sistema de ...","canelones","/anuncio/asistente-de-marketing-54qu7",2019-05-05 19:55:55
"REPONEDOR EXTERNO ZONAS DE MONTEVIDEO Y LAS PIEDRAS","Importante empresa","Auxiliar","Ventas - Comercial","Hace 1 mes ","Seleccionamos personas con libreta de moto y moto propia. Se desplazarán por la ruta que se les asigne con este vehículo. En los comercios se realizará rep ...","canelones","/anuncio/reponedor-externo-zonas-de-montevideo-y-las-piedras-r7shz",2019-05-05 19:55:55
"MOZ@ Y ASISTENTE DE COCINA","Empresa en crecimiento","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 6 días ","Atender clientes Servir mesas Limpieza del local Ayuda en la elaboración de productos en la cocina Asistir en controles de stock Deberá tener actitud proac ...","canelones","/anuncio/moz-y-asistente-de-cocina-dzp49",2019-05-05 19:55:55
