"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"ARQUITECTO SOBRESTANTE OBRA FLORIDA","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 1 mes ","SOBRESTANTE PARA OBRA FLORIDA  Excluyente titulo de Arquitecto Dedicación Part- Time (4hs mínimo) Con radicación en la ciudad o a no mas de 50km de la mism ...","florida","/anuncio/arquitecto-sobrestante-obra-florida-d6erb",2018-12-27 01:41:26
"LICENCIADO EN TRABAJO SOCIAL - RECIÉN RECIBIDO (DURAZNO, COLONIA, MALDONADO, CANELONES Y RIVERA)","CONEBAN","Asistente","Trabajo Social – Pasantías","Hace 1 mes ","Nos encontramos en la búsqueda de Licenciados en Trabajo Social para desempeñarse en proyecto de inclusión social en las localidades de: DURAZNO, COLONIA,  ...","durazno","/anuncio/licenciado-en-trabajo-social-recien-recibido-durazno-colonia-maldonado-canelones-y-rivera-up7nt",2018-12-27 01:41:26
"INGENIERO ELÉCTRICO","Para compañía industrial multinacional referente en su ámbito","Profesional","Producción","Hace 1 semana ","¿Quieres el desafío? El puesto tendrá a su cargo la planificación y programación de las actividades de mantenimiento correctivo y preventivo para el área  ...","interior","/anuncio/ingeniero-electrico-zh3jz",2018-12-27 01:41:26
"INGENIERO INDUSTRIAL MECÁNICO","Andritz","Profesional","Producción","Hace 1 mes ","¿Quieres el desafío? Responsable de planificar la realización de los trabajos del área (preventivos, predictivos y correctivos), teniendo en cuenta dispon ...","rio-negro","/anuncio/ingeniero-industrial-mecanico-e6tad",2018-12-27 01:41:26
"ENCARGADO DE SECCION EN TACUAREMBO","Importante empresa","Supervisor / Encargado","Producción","Hace 1 semana ","ENCARGADO PARA TAREAS VARIAS PERSONAL A CARGO","tacuarembo","/anuncio/encargado-de-seccion-en-tacuarembo-d2aup",2018-12-27 01:41:26
"COORDINADOR LOGÍSTICO","Importante empresa","Jefe","Logística - Distribución","Hace 1 mes ","Nuestro cliente – una importante multinacional agroindustrial – busca incorporar para su operación en Salto, Uruguay a un profesional con experiencia en Co ...","salto","/anuncio/coordinador-logistico-pze9v",2018-12-27 01:41:26
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha","/anuncio/alquile-o-administre-el-restaurante-2eqhu",2018-12-27 01:41:26
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 3 semanas ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha","/anuncio/manager-de-mantenimiento-552rd",2018-12-27 01:41:26
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 3 semanas ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose","/anuncio/psicopedagogo-a-fonoaudilogo-a-psicomotricista-32utq",2018-12-27 01:41:26
"SEGURIDAD","EMSUR","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Control de materiales existentes al tomar el turno control de accesos cerrados ( puertas y ventanas) Luces y bombas de agua en funcionamiento Correcto port ...","san-jose","/anuncio/seguridad-tnen2",2018-12-27 01:41:26
