"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"TRABAJA PARA TI , EMPRESA AMERICANA CON 18 AÑOS EN EL MERCADO.","EMPRESA AMERICANA DA EXCELENTE OPORTUNIDAD  INTERNACIONAL DE NEGOCIO.","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 mes ","EXELENTE OPORTUNIDAD DE NEGOCIO  ONLINE.  AREA TURISMO, EXPANDIENDOSE A LATINOAMERICA Y EUROPA,... EXCELENTE MOMENTO DE SUMARTE Y COMENZAR... VACACIONES, V ...","colonia","/anuncio/trabaja-para-ti-empresa-americana-con-18-anos-en-el-mercado-7tbje",2019-03-14 03:14:25
"INGENIERO RESIDENTE EN OBRA","Importante empresa","Profesional","Construcción - Arquitectura","Hace 1 mes ","Dirigir trabajos de ejecución de movimientos de suelos, tratamientos y ejecución de carpeta afáltica Supervisar equipos de trabajo Full time","durazno","/anuncio/ingeniero-residente-en-obra-hh3jp",2019-03-14 03:14:25
"AUXILIAR DE CRÉDITOS Y CAJERA/O","Possum Consulting","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 1 día ","eleccionamos para empresa líder en servicios financieros. La posición: Implica gestionar todos los productos financieros , la presentación y diferentes p ...","florida","/anuncio/auxiliar-de-creditos-y-cajera-o-7uuse",2019-03-14 03:14:25
"VENDEDOR EN MINAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Buscamos personas para productos de muy buena rotación y uso diario en el hogar. Ganancias hasta de un 40% en ventas directas. Ganancias quincenales en la  ...","lavalleja","/anuncio/vendedor-en-minas-54tny",2019-03-14 03:14:25
"ENCARGADA/O DE TIENDA PARA RIVERA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 día ","Gestión integral de la tienda. La posición tiene como principal responsabilidad el gestionar de forma integral la tienda. Orientamos nuestra búsqueda a pe ...","rivera","/anuncio/encargada-o-de-tienda-para-rivera-qnpvz",2019-03-14 03:14:25
"ESPECIALISTA EN ENTRENAMIENTO","UPM Forestal Oriental","Supervisor / Encargado","Producción","Hace 3 semanas ","UPM Forestal Oriental selecciona profesional universitario para ocupar la posición de Especialista en Entrenamiento: Información Importante -          Rég ...","paysandu","/anuncio/especialista-en-entrenamiento-5bhbb",2019-03-14 03:14:25
"SOUS CHEF","SALINAS DEL ALMIRON RESORT TERMAL","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 4 semanas ","Responsabilidad, puntualidad y Pro-actividad Liderazgo Manejo de recursos humanos  Control de procesos internos Control de inventarios Diseño y elaboración ...","paysandu","/anuncio/sous-cheff-8nj4p",2019-03-14 03:14:25
"CONFITERO REPOSTERO","Importante empresa en la paloma","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Buscamos confitero/a - responderle/a para trabajar en la paloma, algunos días de la semana. Horario flexible, pago pasajes. Elaboración de postres y masas. ...","rocha","/anuncio/confitero-repostero-ndm8e",2019-03-14 03:14:25
"CONFITERO RESPOSTERO","ChinoyNacho","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Elaboración de masas finas y postres para mostrador Trabajo jornalero en la paloma Rocha, elaboración de productos de mostrador y pedidos.","rocha","/anuncio/confitero-respostero-4mhga",2019-03-14 03:14:25
"EJECUTIVO DE VENTAS MERCEDES","CertuS","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Consultora Certus selecciona EJECUTIVO DE VENTAS  para empresa de seguridad ubicada en Mercedes. Enfocamos nuestra búsqueda a personas de la zona, con expe ...","soriano","/anuncio/ejecutivo-de-ventas-mercedes-9sn82",2019-03-14 03:14:25
"COMERCIAL DE NEGOCIOS","ANDREA SOCA","Ejecutivo Comercial","Ventas - Comercial","Hace 4 semanas ","BUSCAS GENERAR INGRESOS EXTRAS DESDE LAS REDES SOCIALES, DESDE TU CASA? TE INTERESA TENER UN NEGOCIO INTERNACIONAL? TE INTERESA GANARTE VACACIONES PAGAS PO ...","soriano","/anuncio/comercial-de-negocios-nujg7",2019-03-14 03:14:25
"ANALISTA DE PLANIFICACIÓN Y CONTROL DE GESTIÓN ( RADICACION EN MERCEDES)",NA,"Analista","Administración - Secretariado","Hace 1 mes ","Auren Capital Humano selecciona Analista de Planificación y Control de Gestión para importante empresa del sector Agropecuario.  (Radicación en Mercedes)  ...","soriano","/anuncio/analista-de-planificacion-y-control-de-gestion-radicacion-en-mercedes-t23bq",2019-03-14 03:14:25
"VIGILANCIA.","RECAITE LETICIA","Auxiliar","Seguridad - Vigilancia","Hace 5 días ","Guardia de seguridad para el departamento de San Jose, Libertad. Vigilancia.","san-jose","/anuncio/vigilancia-apzbj",2019-03-14 03:14:25
"GUARDIA DE SEGURIDAD - SAN JOSÉ","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 2 semanas ","Importante empresa de seguridad selecciona: GUARDIAS DE SEGURIDAD (ÚNICAMENTE HOMBRES) que residan en las ciudades de Libertad y Ciudad del Plata. Se ofre ...","san-jose","/anuncio/guardia-de-seguridad-pyr3b",2019-03-14 03:14:25
"ENCARGADA/O DE TIENDA PARA SAN JOSÉ","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","Gestión integral de la tienda. La posición tiene como principal responsabilidad el gestionar de forma integral la tienda. Orientamos nuestra búsqueda a pe ...","san-jose","/anuncio/encargada-o-de-tienda-para-san-jose-j85s6",2019-03-14 03:14:25
"ENCARGADO DE SEGURIDAD","GRUPO RELUCE","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Importante empresa de seguridad selecciona: ENCARGADO DE SEGURIDAD  que residan en la ciudad de lIBERTAD o cercanías (DEPARTAMENTO DE SAN JOSÉ) Se ofrece  ...","san-jose","/anuncio/encargado-de-seguridad-bhr6h",2019-03-14 03:14:25
"LIC. EN FISIOTERAPIA","APR SALUD","Técnico / Especialista","Salud","Hace 1 mes ","Fisioterapeuta para brindar tratamientos en prevención y rehabilitación de los ptes. La correcta rehabilitación y recuperación de los pacientes mediante el ...","san-jose","/anuncio/lic-en-fisioterapia-a2q8u",2019-03-14 03:14:25
"VENDEDOR/A CON VEHÍCULO","Guía en Movimiento","Ejecutivo Comercial","Ventas - Comercial","Hace 6 horas ","Somos una empresa en crecimiento en el rubro de las comunicaciones y publicidad. Buscamos persona que le interese integrarse de forma permanente en el sect ...","maldonado","/anuncio/vendedor-a-con-vehiculo-mg7bn",2019-03-14 03:14:25
"SUPERVISORES Y ENCARGADOS DE CUADRILLAS","Zafrales","Supervisor / Encargado","Producción","Hace 3 semanas ","Supervisores y Encargados de grandes cantidades de trabajadores a su cargo para trabajos operativos en diversos sectores de producción agropecuaria como vi ...","maldonado","/anuncio/supervisores-y-encargados-de-cuadrillas-2gdev",2019-03-14 03:14:25
"EJECUTIVO DE CUENTAS","Importante empresa constructora","Ejecutivo Comercial","Ventas - Comercial","Hace 5 días ","Atención de la relación con clientes, pre-venta, venta y pos venta. Sus principales responsabilidades son las propias del puesto, fundamentalmente la atenc ...","maldonado","/anuncio/ejecutivo-de-cuentas-uydde",2019-03-14 03:14:25
"TAREAS DOMÉSTICAS Y CUIDADO ADULTO MAYOR","miarano","Auxiliar","Servicios - Oficios","Hace 3 semanas ","tareas domesticas y cuidado de adulto mayor enfermo, respetuosa, responsable y educada Tareas domésticas generales, como limpieza y lavado de ropa y atenci ...","maldonado","/anuncio/tareas-domesticas-y-cuidado-adulto-mayor-vrz32",2019-03-14 03:14:25
"CASEROS","Chacra en Jose Ignacio","Auxiliar","Seguridad - Vigilancia","Hace 3 semanas ","Caseros Se necesita pareja de caseros para chacra en Jose Ignacio. El: cuidado del parque y conocimiento de caballos. Ella: cuidado de la casa y desempeño  ...","maldonado","/anuncio/caseros-39jb3",2019-03-14 03:14:25
"ACOMPAÑANTE MALDONADO","Importante empresa","Auxiliar","Salud","Hace 1 mes ","Seleccionamos Acompañantes  ¿Quieres ser un acompañante profesional?  ¡Sé parte de nuestro equipo!  Seleccionamos personal para el cargo de acompañantes.  ...","maldonado","/anuncio/acompanante-ttjn4",2019-03-14 03:14:25
"COORDINADOR DE VENTA: MALDONADO, COLONIA, SAN JOSE, SORIANO, PAYSANDU","saint denise","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Empresa de Venta Directa en expansión, líder en productos de Cama, Mesa y Baño, busca Para los departamentos de SAN JOSE, COLONIA, SORIANO, MALDONADO, PAYS ...","maldonado","/anuncio/coordinador-de-venta-maldonado-colonia-san-jose-soriano-paysandu-n9ed5",2019-03-14 03:14:25
"ACOMPAÑANTE","Gente Servicio de compañía","Auxiliar","Salud","Hace 1 mes ","Asistir al paciente en todas sus necesidades básicas. Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia acreditada. ACOMPAÑANTE  ...","canelones","/anuncio/acompanante-u6s9r",2019-03-14 03:14:25
"SERENO","EMPRESA SOBRE RUTA 101","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","SERENO para 7 horas martes a viernes + 8 horas sábado,domingo y feriados. Imprescindible: Excelentes antecedentes y referencias. Certificado de Buena Condu ...","canelones","/anuncio/sereno-b33z5",2019-03-14 03:14:25
"SERENO","EMPRESA SOBRE RUTA 101","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","SERENO para 7 horas lunes y martes y 8 horas sábado,domingo y feriados.  Imprescindible:  Excelentes antecedentes y referencias. Certificado de Buena Condu ...","canelones","/anuncio/sereno-6t8um",2019-03-14 03:14:25
"OPERATIVA COMERCIAL","Empresa Selecciona","Asistente","Administración - Secretariado","Hace 1 mes ","Requisitos: - Tener mas de 25 años - Predisposicion al cambio - Actitud de servicio - Disponibilidad Horaria Se valorara:  - Idiomas - Proactivo Se Ofrece ...","canelones","/anuncio/operativa-comercial-4are9",2019-03-14 03:14:25
"PEON PARA DEPOSITO CARGA Y DESCARGA","EMPRESA SOBRE RUTA 101","Peon","Servicios - Oficios","Hace 1 mes ","PEON PARA DEPOSITO CARGA Y DESCARGA.  LUNES A VIERNES. TRABAJO TEMPORAL. ENVIAR CV CON ANTECEDENTES Y  REFERENCIAS","canelones","/anuncio/peon-para-deposito-carga-y-descarga-rt8yz",2019-03-14 03:14:25
"DOCENTE ÁREA RECURSOS HUMANOS","Instituto Europa - Centro de Formación Profesional y Capacitación.","Analista","Marketing - Publicidad","Hace 1 mes ","Somos un instituto con sede en Salinas, Canelones. Llamado a interesados en presentar Currículum PARA DICTAR CLASES en cursos, talleres y capacitaciones en ...","canelones","/anuncio/aasasasa-njbz8",2019-03-14 03:14:25
"DOCENTE DE FÍSICA PARA CLASES PARTICULARES.","Instituto Europa - Centro de Formación Profesional y Capacitación.","Profesional","Educación - Recreación - Deportes","Hace 1 mes ","Somos un Instituto con sede en Salinas, Canelones. Estamos buscando un docente para dictar clases particulares de FÍSICA, grupales e individuales, en nuest ...","canelones","/anuncio/llamado-docente-en-varias-areas-5qab2",2019-03-14 03:14:25
"ELECTROMECÁNICO","NAUSSA","Técnico / Especialista","Producción","Hace 1 semana ","Industria en Las Piedras selecciona ELECTROMECÁNICO para incorporar al equipo de mantenimiento Dirigimos nuestra búsqueda a hombres proactivos egresados de ...","canelones","/anuncio/electromecanico-rer5d",2019-03-14 03:14:25
