"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"JEFE DE ÁREA DE RIESGO FINANCIERO","Coopace","Jefe","Finanzas - Contabilidad - Auditoria","Hace 2 semanas ","Se buscan profesionales o técnicos  en áreas de riesgo crediticio, apasionado por lo que hacen. Profesionales o técnicos titulados de universidades o  inst ...","rio-negro","/anuncio/jefe-de-area-de-riesgo-financiero-uretz",2019-07-31 02:44:42
"TÉCNICO INSTALADOR SARANDÍ GRANDE","Consultora Human Phi","Técnico / Especialista","Producción","Hace 4 semanas ","Técnicos Instaladores Sarandí Grande (Florida) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	 ...","florida","/anuncio/tecnico-instalador-sarandi-grande-d9d8v",2019-07-31 02:44:42
"ENCARGADA/O DE TIENDA EN CHUY","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Chuy. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la moda, con excelente h ...","rocha","/anuncio/encargada-o-de-tienda-en-chuy-h5a67",2019-07-31 02:44:42
"JEFE DE ÁREA SUBESTACIONES","KPMG","Jefe","Logística - Distribución","Hace 1 mes ","Título de Ingeniero Eléctrico, Ingeniero Electromecánico o Ingeniero Industrial  Posgrado en ingeniería eléctrica para los postulantes con título de Ingeni ...","salto","/anuncio/jefe-de-area-subestaciones-rvttq",2019-07-31 02:44:42
"INGENIEROS FORESTALES PARA ÁREA DE COSECHA Y SILVICULTURA","Importante empresa del sector forestal","Profesional","Producción","Hace 3 semanas ","El cargo implica desarrollar actividades de silvicultura y/o cosecha, participando activamente en tareas de relevamiento, planificación y ejecución de la p ...","treinta-y-tres","/anuncio/ingenieros-forestales-para-area-de-cosecha-y-silvicultura-6q3r2",2019-07-31 02:44:42
"VENDEDOR PARA CURSO DE COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","¿Te interesa el coaching y la inteligencia emocional?  ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener ...","tacuarembo","/anuncio/vendedor-para-curso-de-coaching-g8vz3",2019-07-31 02:44:42
"MERETRICES","Daiana verde ","Auxiliar","Atención al cliente","Hace 1 mes ","Se necesitan chicas de 18 a 35 años , para whiskeria en la ciudad de colonia ( nueva Palmira) alojamiento incluido , excelente ambiente laboral , zona port ...","colonia","/anuncio/meretrices-3qu9n",2019-07-31 02:44:42
"TÉCNICO INSTALADOR TARARIRAS","Consultora Human Phi","Técnico / Especialista","Producción","Hace 4 semanas ","Técnicos Instaladores Tarariras (Colonia) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	Ciclo ...","colonia","/anuncio/tecnico-instalador-tarariras-zb3n4",2019-07-31 02:44:42
"VENDEDOR VIAJERO PARA EL INTERIOR","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedor para el Interior, area del Litoral del Pais, de productos alimenticios con auto propio (EXCLUYENTE), con experiencia y formacion en el área. Tendr ...","interior","/anuncio/vendedor-viajero-para-el-interior-ms9hj",2019-07-31 02:44:42
"OBSERVADORES EN CIRCUITOS","Cifra ","Auxiliar","Marketing - Publicidad","Hace 1 mes ","CIFRA busca personas para trabajar en circuitos electorales en todo el país el día de las elecciones internas, domingo 30 de junio, de 19:00 a 23:00 horas. ...","interior","/anuncio/observadores-en-circuitos-ep23h",2019-07-31 02:44:42
"TÉCNICO INSTALADOR MERCEDES","Consultora Human Phi","Técnico / Especialista","Producción","Hace 4 semanas ","Técnicos Instaladores Mercedes (Soriano) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	Ciclo  ...","soriano","/anuncio/tecnico-instalador-mercedes-ypaz6",2019-07-31 02:44:42
"TÉCNICO INSTALADOR CARDONA","Consultora Human Phi","Técnico / Especialista","Producción","Hace 1 mes ","Seleccionamos Técnico instalador para empresa en Cardona que cumpla con el siguiente perfil: Los Requisitos •	Residencia actual en la ciudad de Cardona ( ...","soriano","/anuncio/tecnico-instalador-cardona-gtu38",2019-07-31 02:44:42
"F.Y.M.N.S.A.:MECÁNICO PARA MAQUINARIA PESADA FORESTAL, VIAL O AGRÍCOLA","ADVICE","Técnico / Especialista","Producción","Hace 1 mes ","Realizará mantenimientos preventivos y reparativos de la maquinaria utilizada en la empresa. Mecánico especializado en maquinaria pesada forestal, vial y a ...","rivera","/anuncio/f-y-m-n-s-a-mecanico-para-maquinaria-pesada-forestal-vial-o-agricola-ydqqh",2019-07-31 02:44:42
"ENCARGADA/O DE TIENDA EN RIVERA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Departamento de Rivera. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la mod ...","rivera","/anuncio/encargada-o-de-tienda-en-rivera-2s78d",2019-07-31 02:44:42
"COORDINADOR DE SEGURIDAD Y SALUD OCUPACIONAL","UPM Forestal Oriental","Supervisor / Encargado","Seguridad - Vigilancia","Hace 2 semanas ","El rol implica liderar la gestión de la seguridad y salud ocupacional a lo largo de toda la cadena forestal a escala nacional, en concordancia con las Polí ...","durazno","/anuncio/coordinador-de-seguridad-y-salud-ocupacional-6rqa3",2019-07-31 02:44:42
"ENCARGADO DE MONTAJES","PROCYON INGENIERIA","Oficial","Producción","Hace 1 semana ","Estamos seleccionando para OBRA un OFICIAL MONTAJISTA: Sera responsable de liderar un equipo para la  realización de montajes electromecánicos , conexiones ...","durazno","/anuncio/encargado-de-montajes-6rays",2019-07-31 02:44:42
"TÉCNICO INSTALADOR SARANDÍ DEL YÍ","Consultora Human Phi","Técnico / Especialista","Producción","Hace 4 semanas ","Técnicos Instaladores Sarandí del Yí (Durazno) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	 ...","durazno","/anuncio/tecnico-instalador-sarandi-del-yi-apmu5",2019-07-31 02:44:42
"REPARACIÓN DE PALAS DE AEROGENERADORES","Importante empresa","Técnico / Especialista","Producción","Hace 1 mes ","Requisitos: Mayores de 22 años Condiciones psicofísicas para trabajo en altura Carnet de salud vigente Disponibilidad para viajar y ausentarse por períodos ...","paysandu","/anuncio/reparacion-de-palas-de-aerogeneradores-4apr9",2019-07-31 02:44:42
"GERENTE DE MANTENIMIENTO","www.salinasdelalmiron.com","Jefe","Producción","Hace 1 mes ","Capacidad de liderazgo de equipo Coordinación de la implementación de mejoras en las instalaciones Desarrollar mantenimiento preventivo en las instalacione ...","paysandu","/anuncio/gerente-de-mantenimiento-3v45p",2019-07-31 02:44:42
"SOUS CHEF",NA,"Jefe","Hotelería - Gastronomía - Turismo","Hace 1 mes ","•	Experiencia de 2 años en cocinas de hotel  •	Haber ocupado un puesto de responsabilidad con personal a cargo en cocina •	Buen manejo de recursos humanos  ...","paysandu","/anuncio/sous-chef-9b2yq",2019-07-31 02:44:42
