"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-8d4e9",2019-06-17 17:38:12
"VENDEDORA DE MOSTRADOR PARA PERFUMERÍA EN CIUDAD DE FLORIDA ","Importante empresa de cosmética selecciona","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Vendedora de Mostrador entre 25 y 55 años  Atención al público - Excelente ambiente laboral ","florida","/anuncio/vendedora-de-mostrador-para-perfumeria-getn5",2019-06-17 17:38:12
"ENCARGADA/O DE TIENDA EN RIVERA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 semana ","Seleccionamos Encargada/o de local comercial en el Departamento de Rivera. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la mod ...","rivera","/anuncio/encargada-o-de-tienda-en-rivera-2s78d",2019-06-17 17:38:12
"ENCARGADA/O DE TIENDA EN CHUY","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 semana ","Seleccionamos Encargada/o de local comercial en el Chuy. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la moda, con excelente h ...","rocha","/anuncio/encargada-o-de-tienda-en-chuy-h5a67",2019-06-17 17:38:12
"VENDEDOR PARA CURSO DE COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","¿Te interesa el coaching y la inteligencia emocional?  ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener ...","tacuarembo","/anuncio/vendedor-para-curso-de-coaching-g8vz3",2019-06-17 17:38:12
"JEFE DE ÁREA SUBESTACIONES","KPMG","Jefe","Logística - Distribución","Hace 2 semanas ","Título de Ingeniero Eléctrico, Ingeniero Electromecánico o Ingeniero Industrial  Posgrado en ingeniería eléctrica para los postulantes con título de Ingeni ...","salto","/anuncio/jefe-de-area-subestaciones-rvttq",2019-06-17 17:38:12
"SOUS CHEF",NA,"Jefe","Hotelería - Gastronomía - Turismo","Hace 5 días ","•	Experiencia de 2 años en cocinas de hotel  •	Haber ocupado un puesto de responsabilidad con personal a cargo en cocina •	Buen manejo de recursos humanos  ...","paysandu","/anuncio/sous-chef-9b2yq",2019-06-17 17:38:12
"TÉCNICO INSTALADOR PAYSANDÚ","Consultora Human Phi","Técnico / Especialista","Producción","Hace 3 días ","Seleccionamos para empresa en Paysandú Técnicos que cumplan con el siguiente perfil: Los Requisitos •	Residencia actual en la ciudad de Paysandú (excluye ...","paysandu","/anuncio/tecnico-instalador-paysandu-vnzju",2019-06-17 17:38:12
"VENDEDOR DE REPUESTOS DE MAQUINARIA AGRÍCOLA /VIAL.","  ","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","•	Formación Comercial, ventas.	 •	Manejo fluido de Office. 		 •	Experiencia en venta de repuestos para maquinaria agrícola y/o vial. •	Residencia en Durazn ...","durazno","/anuncio/vendedor-de-repuestos-de-maquinaria-agricola-vial-82zuv",2019-06-17 17:38:12
"VENDEDOR/A DEPARTAMENTO DURAZNO","FORTER S.A","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","NO POSTULARSE SI NO VIVE EN DURAZNO! Nos encontramos en la búsqueda de vendedores y cajeros con experiencia en el rubro indumentaria para nuestro local ub ...","durazno","/anuncio/vendedor-a-g6pst",2019-06-17 17:38:12
"TÉCNICO INSTALADOR CARDONA","Consultora Human Phi","Técnico / Especialista","Producción","Hace 3 días ","Seleccionamos Técnico instalador para empresa en Cardona que cumpla con el siguiente perfil: Los Requisitos •	Residencia actual en la ciudad de Cardona ( ...","soriano","/anuncio/tecnico-instalador-cardona-gtu38",2019-06-17 17:38:12
"DISTRIBUIDOR/A PARA EL INTERIOR DEL PAÍS","Empresa","Auxiliar","Logística - Distribución","Hace 3 semanas ","Venta de esmaltes y tratamientos para uñas en peluquerias, farmacias, pañaleras, etc. Con cartera de clientes y experiencia. Venta y distribución","soriano","/anuncio/distribuidor-a-para-el-interior-del-pais-76ett",2019-06-17 17:38:12
"MERETRICES","Daiana verde ","Auxiliar","Atención al cliente","Hace 1 semana ","Se necesitan chicas de 18 a 35 años , para whiskeria en la ciudad de colonia ( nueva Palmira) alojamiento incluido , excelente ambiente laboral , zona port ...","colonia","/anuncio/meretrices-3qu9n",2019-06-17 17:38:12
"ESPECIALISTA EN COMPENSACIONES Y NÓMINA","Montes del Plata","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","La posición supervisará la gestión de una nómina relevante y diversa, en coordinación con el partner externo que brinda soporte en esta área. Asegurará la  ...","colonia","/anuncio/especialista-en-compensaciones-y-nomina-g4v4q",2019-06-17 17:38:12
"JEFE DE OPERACIONES","AUREN","Jefe","Logística - Distribución","Hace 1 mes ","Auren Capital Humano selecciona Jefe de Operaciones para importante empresa de transporte de carga en el departamento de Colonia. Orientamos nuestra búsqu ...","colonia","/anuncio/jefe-de-operaciones-qrgbp",2019-06-17 17:38:12
"PRODUCTION PLANNER SCHEDULER - SUPPLY CHAIN","MAZARS","Jefe","Logística - Distribución","Hace 2 semanas ","Manage and coordinate material flow for purchased and sub-contracted finished goods. Partner with key personnel from demand planning, plant planning, and p ...","san-jose","/anuncio/production-planner-scheduler-supply-chain-v6tdb",2019-06-17 17:38:12
"VENDEDOR PARA CURSO COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","¿Te interesa el coaching y la inteligencia emocional? ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener  ...","san-jose","/anuncio/vendedor-para-curso-coaching-aqedr",2019-06-17 17:38:12
"DELIVERY","Charly Food","Auxiliar","Cadetería - Cobranzas","Hace 1 mes ","Empresa nueva en rubro comidas selecciona personal para Delivery. Se apunta a personas interesadas en pertenecer a una empresa con muy buenas condiciones d ...","san-jose","/anuncio/delivery-uavgb",2019-06-17 17:38:12
"ENCARGADO DE VENTAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","CAPTAR NUEVOS CLIENTES Y POTENCIAR LOS ACTUALES AMPLIAR CARTERA DE CLIENTES MONTEVIDEO E INTERIOR","san-jose","/anuncio/encargado-de-ventas-daatr",2019-06-17 17:38:12
"CONTADOR JUNIOR","Coopace","Profesional","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","Contador Junior Capacidad de relacionamiento y de trabajo en equipo. Aptitud para desarrollar tareas bajo la exigencia de cumplimiento de objetivos. Domini ...","rio-negro","/anuncio/contador-junior-qnavn",2019-06-17 17:38:12
"JEFE DEL ÁREA DE RIESGO DE LA INSTITUCIÓN ","Coopace","Auxiliar","Administración - Secretariado","Hace 4 semanas ","Funciones: •	Evaluar riesgo de diferentes segmentos •	Analizar indicadores de gestión •	Definir causas de impacto en los diferentes estados de riesgo •	Pro ...","rio-negro","/anuncio/jefe-del-area-de-riesgo-de-la-institucion-tb5y5",2019-06-17 17:38:12
"MECÁNICO AGRÍCOLA Y/O VIAL PARA EMPRESA LÍDER DEL SECTOR AGRÍCOLA.","  ","Técnico / Especialista","Producción","Hace 1 mes ","Requisitos:  •Formación técnica en Mecánica-Electricidad automotriz, electro hidráulico. (Don Bosco, FPS, CETP-UTU). (no excluyente).  •Experiencia en oper ...","rio-negro","/anuncio/mecanico-agricola-y-o-vial-para-empresa-lider-del-sector-agricola-apb2g",2019-06-17 17:38:12
"VENDEDOR","EL oferton","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","SE BUSCA PAREJA DE EXTRANJEROS CON RESIDENCIA, PREFERENTEMENTE SIN HIJOS, BUENA PRESENCIA, INDISPENSABLE TENER BUEN TRATO CON LOS CLIENTES, SE FACILITA VIV ...","rio-negro","/anuncio/vendedor-b39d6",2019-06-17 17:38:12
"VENDEDOR VIAJERO PARA EL INTERIOR","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Vendedor para el Interior, area del Litoral del Pais, de productos alimenticios con auto propio (EXCLUYENTE), con experiencia y formacion en el área. Tendr ...","interior","/anuncio/vendedor-viajero-para-el-interior-ms9hj",2019-06-17 17:38:12
"AYUDANTES DE OBRA - PREPARACIÓN UTU IEC","Deloitte","Auxiliar","Construcción - Arquitectura","Hace 4 semanas ","El objetivo del Ayudante de UTU-IEC es dar asistencia técnica al Director de Obra en el control y ejecución de las obras de construcción vial de referencia ...","interior","/anuncio/ayudantes-de-obra-preparacion-utu-iec-2p46y",2019-06-17 17:38:12
"AYUDANTES IDÓNEOS DE OBRA","Deloitte","Medio Oficial","Construcción - Arquitectura","Hace 4 semanas ","El objetivo principal del Ayudante de Obra es dar asistencia técnica en el control y ejecución de las obras de construcción vial de referencia. Buscamos pe ...","interior","/anuncio/ayudantes-idoneos-de-obra-ypge4",2019-06-17 17:38:12
"OBSERVADORES EN CIRCUITOS","Cifra ","Auxiliar","Marketing - Publicidad","Hace 2 semanas ","CIFRA busca personas para trabajar en circuitos electorales en todo el país el día de las elecciones internas, domingo 30 de junio, de 19:00 a 23:00 horas. ...","interior","/anuncio/observadores-en-circuitos-ep23h",2019-06-17 17:38:12
"COORDINADOR GENERAL","CALAI","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","-Planificar, dirigir y coordinar la gestión de servicios prestados por la empresa a sus productores. -Coordinación continua con los responsables de cada ár ...","interior","/anuncio/coordinador-general-9mjjb",2019-06-17 17:38:12
"LIDERES DE EQUIPOS Y VENTAS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","Preferentemente mayores de 50 años. Profesionalizarse, adquiriendo aptitudes de venta y liderazgo de  equipos. Tarea independiente, sin sueldo fijo. Desarr ...","maldonado","/anuncio/lideres-de-equipos-y-ventas-stq9h",2019-06-17 17:38:12
"VENDEDOR CURSO DE COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 semana ","¿Te interesa el coaching y la inteligencia emocional? ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener  ...","maldonado","/anuncio/vendedor-curso-de-coaching-ayuvh",2019-06-17 17:38:12
"VENDEDOR","Angelina Accesorios","Auxiliar","Atención al cliente","Hace 1 semana ","-Atención al Publico Directo -Limpieza del salón -Reposición de Productos -Asesoramiento al cliente -Arqueo de Caja -Ventas personalizadas fuera del salón  ...","maldonado","/anuncio/vendedor-u5er3",2019-06-17 17:38:12
"VENDEDOR/A IMPORTANTE MARCA – PUNTA DEL ESTE","Consultora Human Phi","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Selecciona para local comercial de prestigiosa marca ubicado en Punta del Este: Nos encontramos en la búsqueda de una persona que sea capaz de iniciar y d ...","maldonado","/anuncio/vendedor-a-importante-marca-punta-del-este-5drt8",2019-06-17 17:38:12
"RESPONSABLE DE OPERACIONES Y MANTENIMIENTO","ADVICE","Supervisor / Encargado","Producción","Hace 3 semanas ","Será responsable de las operaciones y mantenimiento para el Parque Eólico, principalmente de instalaciones eléctricas.  Realizará el seguimiento de la oper ...","maldonado","/anuncio/responsable-de-operaciones-y-mantenimiento-t384t",2019-06-17 17:38:12
"ASESOR DE RRHH","SANATORIO MAUTONE","Técnico / Especialista","Consultoría","Hace 1 mes ","Cargo part-time (aprox. 12 horas semanales), dependiente de Gerencia General Requisitos: •	Escolaridad: nivel terciario. •	Probada experiencia en gestión  ...","maldonado","/anuncio/asesor-de-rrhh-62eqs",2019-06-17 17:38:12
"ODONTOLOGO GRAL CON ESTUDIOS EN ORTODONCIA","Consultorio Odontologico","Profesional","Salud","Hace 1 mes ","Odontología gral - Armado, control y seguimiento de ortodoncia Odontología gral - diagnostico, tratamiento y seguimiento del paciente Ortodoncia - diagnost ...","maldonado","/anuncio/odontologo-gral-con-estudios-en-ortodoncia-b4hd9",2019-06-17 17:38:12
"ADMINISTRATIVO","METALFRIG","Asistente","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","MANEJO DE PROGRAMAS CONTABLES MANEJO DE PROGRAMAS","canelones","/anuncio/administrativo-398rs",2019-06-17 17:38:12
"AUXILIAR DE VENTA DE REPUESTOS - MAQUINARIA AGRÍCOLA","White Consultant","Auxiliar","Ventas - Comercial","Hace 3 semanas ","Persona con conocimiento y experiencia en Venta de Repuestos, preferentemente de Maquinaria Agrícola que resida en el departamento de Canelones (no excluye ...","canelones","/anuncio/auxiliar-de-venta-de-repuestos-maquinaria-agricola-ejsh3",2019-06-17 17:38:12
"FIAMBRERO, REPONEDOR, CAJERO","CONVIXION","Peon","Producción","Hace 4 semanas ","Para servicio eventual, esta vez con foco en personal de supermercados: Reponedor, cajero, fiambrero Estamos buscando personas con experiencia en el sector ...","canelones","/anuncio/fiambrero-reponedor-cajero-ugbnh",2019-06-17 17:38:12
"PEON PRACTICO HERRERO",NA,"Peon","Producción","Hace 1 mes ","Peón practico en herrería para funciones básicas, dispuesto a aprender Puntualidad, buena disposición y actitud laboral. vivir en ciudad de la costa (exclu ...","canelones","/anuncio/peon-practico-herrero-nvtag",2019-06-17 17:38:12
