"puesto","empresa","nivel","area","fecha","detalle","link","departamento","fecha_scraping"
"VENDEDOR MOSTRADOR","electrolapaz","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","venta en mostrador. es excluyente que tenga conocimientos de materiales electricos. atender de forma agil y amable al cliente,
mantenimiento y limpieza del ...","https://trabajo.gallito.com.uy/anuncio/vendedor-mostrador-vdj69","canelones",2019-11-01 16:20:32
"VIGILANTE O GUARDIA PARA SUPERMERCADO EN PINAMAR.","IMPORTANTE SUPERMERCAD EN PINAMAR","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Seguridad para salón de supermercado.
Control de los empleados, de compras. Vigilante   o guardia   para supermercado  viva próximo a la zona de pinamar.","https://trabajo.gallito.com.uy/anuncio/vigilante-o-guardia-para-supermercado-en-pinamar-3rnj8","canelones",2019-11-01 16:20:32
"SECRETARIA ADMINISTRATIVA","Importante empresa","Asistente","Administración - Secretariado","Hace 1 mes ","SE NECESITA SECRETARIA ADMINISTRATIVA PARA SUPERMERCADO EN COSTA DE ORO CON EXPERIENCIA Y MANEJO DE SCANNTECH Y MEMORY CARGA HORARIA: 4 HORAS

EXPERIENCIA  ...","https://trabajo.gallito.com.uy/anuncio/secretaria-administrativa-z38nh","canelones",2019-11-01 16:20:32
"ENCARGADO PARA IMPORTANTE SUPERMERCADO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","ENCARGADO PARA IMPORTANTE SUPERMERCADO EN LA COSTA DE ORO.

BUSCAMOS PERSONA CON EXPERIENCIA EN EL RUBRO (SE VALORARÁ EXPERIENCIA EN CADENAS).

BUEN MANEJO ...","https://trabajo.gallito.com.uy/anuncio/encargado-para-importante-supermercado-v5vqn","canelones",2019-11-01 16:20:32
"PANADERO","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","realizar producción de panificados varios de acuerdo a la orden de producción que se le indique,  cumplir con los procedimientos establecidos tener carnet  ...","https://trabajo.gallito.com.uy/anuncio/panadero-rgrbb","canelones",2019-11-01 16:20:32
"CARNICERO","Importante empresa","Auxiliar","Servicios - Oficios","Hace 1 mes ","REALIZAR DESHUESADO DE POLLOS,  DESARME DE MEDIA RES, PROCESAMIENTO DE MERCADERIA REQUERIDA, LIMPIEZA DE HERRAMIENTAS Y AREAS DE TRABAJO deberá tener Carne ...","https://trabajo.gallito.com.uy/anuncio/carnicero-qbdr6","canelones",2019-11-01 16:20:32
"MAESTRO PANADERO","SUPERMERCADO IMPERIO DEL ESTE EN PINAMAR","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","ELABORACIÓN (PANES, BIZCOCHOS, PIZZAS, OJITOS, POLVORONES,MASAS,POSTRES)
LIMPIEZA DEL AREA DE TRABAJO HIGIENE DEL LUGAR Y MAQUINARIA.","https://trabajo.gallito.com.uy/anuncio/maestro-panadero-g2eaq","canelones",2019-11-01 16:20:32
"EJECUTIVO DE VENTA","DEL SOL Contenidos","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","visitar clientes para venta de intangibles, para productora  de contenidos en radio y  televisión. en la costa y/o en todo el uruguay. y/o en montevideo. ( ...","https://trabajo.gallito.com.uy/anuncio/ejecutivo-de-venta-vv6hb","canelones",2019-11-01 16:20:32
"OPERARIO/A PARA COSECHA - CON/SIN EXPERIENCIA, SAN JACINTO, CANELONES","Kairos Servicios","Peon","Producción","Hace 1 mes ","Kairos servicios se encuentra en la búsqueda de operarios/as
para cosecha, se valorará experiencia (no es excluyente) Deberá contar con responsabilidad, co ...","https://trabajo.gallito.com.uy/anuncio/operario-a-para-cosecha-con-sin-experiencia-jtv29","canelones",2019-11-01 16:20:32
"DIBUJANTE TECNICO","DISEÑO","Técnico / Especialista","Arte - Diseño - Comunicación","Hace 1 mes ","DIBUJANTE DIBUJANTE","https://trabajo.gallito.com.uy/anuncio/dibujante-tecnico-zyreq","canelones",2019-11-01 16:20:32
"ELECTROMECANICO","Taller de electromecanica","Técnico / Especialista","Producción","Hace 1 mes ","Trabajos de electricidad, conocimientos de electricidad, 220V, 24V, 12V.
Trabajos varios de taller tales como:  pintura, herreria, soldadura, pintura sople ...","https://trabajo.gallito.com.uy/anuncio/electromecanico-p7qry","canelones",2019-11-01 16:20:32
"CONFITERO","Empresa en crecimiento","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Confitero. Buscamos una persona responsable con el trabajo, que cuente con disponibilidad horaria y con comprobada experiencia en el rubro, zona Solymar.","https://trabajo.gallito.com.uy/anuncio/confitero-pr4rz","canelones",2019-11-01 16:20:32
"TÉCNICO ELECTROMECÁNICO","PwC Uruguay","Técnico / Especialista","Producción","Hace 1 mes ","Requisitos:
- Ingeniería eléctrica o mecánica egresado de UTU, UTEC o UDELAR.
- Experiencia mínima de tres años en cargos de similar responsabilidad.
- Téc ...","https://trabajo.gallito.com.uy/anuncio/tecnico-electromecanico-d6jvp","canelones",2019-11-01 16:20:32
"ASISTENTE DE BODEGA","TESDRAC SRL","Asistente","Logística - Distribución","Hace 3 meses ","Dentro de sus funciones destacan:
• Experiencia en manejo de bodega e inventarios, sistemas operativos, logística y operaciones.
• Responsable de mantener  ...","https://trabajo.gallito.com.uy/anuncio/asistente-de-bodega-a7pu7","canelones",2019-11-01 16:20:32
"AUXILIAR DE LIMPIEZA","TELEMONT SA","Auxiliar","Servicios - Oficios","Hace 3 meses ","Funciones Generales

• Mantener en orden la planta, áreas de producción y en general las áreas asignadas
• Realizar aseo a las diferentes áreas de la empre ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-de-limpieza-4748v","canelones",2019-11-01 16:20:32
"PEON","TERZANO BONINA EDUARDO ARIEL","Peon","Construcción - Arquitectura","Hace 3 meses ","Nuestra Empresa Nacional Innovadora de primer Nivel, que brinda un muy bien ambiente laboral y una remuneracion acorde a las responsabilidades a traves de  ...","https://trabajo.gallito.com.uy/anuncio/peon-j265g","canelones",2019-11-01 16:20:32
"MOZA","Indicó Pizza Bar","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 5 días ","tareas mesera, armado de mesa , preparación salón , ect se busca mozas para fin de semana, viernes y sábado y días eventuales
responsable, puntual
preferib ...","https://trabajo.gallito.com.uy/anuncio/moza-dp7hd","canelones",2019-11-01 16:20:32
"COCINERO PARA LOCAL DE COMIDAS EN LAGOMAR","Ándale Ándale","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 semana ","Cocinero para local de comida Mexicana en importante paseo gastronómico. 
Deberá elaborar, preparar pedidos y mantener la cocina.
Experiencia comprobable,  ...","https://trabajo.gallito.com.uy/anuncio/cocinero-para-local-de-comidas-en-lagomar-e7yr2","canelones",2019-11-01 16:20:32
"ASESOR PARA INMOBILIARIA","Importante empresa","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Buscamos a una persona con buena presencia y excelente trato con el público para desempeñar las siguientes funciones:
- Gestiones y trámites inmobiliarios  ...","https://trabajo.gallito.com.uy/anuncio/empleado-para-inmobiliaria-upn95","canelones",2019-11-01 16:20:32
"VIGILANTE","Daltiro SA ","Auxiliar","Seguridad - Vigilancia","Hace 2 semanas ","El Clon selecciona para Sucursal Pando: Personal para Vigilancia
Buscamos personas con experiencia en el área de Seguridad, que viva próximo a la zona y te ...","https://trabajo.gallito.com.uy/anuncio/vigilante-6y74v","canelones",2019-11-01 16:20:32
"VENDEDOR ADMINISTRATIVO","Importante Empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","VENDEDOR CON LIBRETA VEHICULAR CATEGORIA A o B
DISPONIBILIDAD COMPLETA VENDEDOR Y CHOFER","https://trabajo.gallito.com.uy/anuncio/vendedor-administrativo-e4m75","canelones",2019-11-01 16:20:32
"AUXILIAR CONTABLE","ESTUDIO CONTABLE","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","registraciones contables, balances, preparacion de tramites ante oficinas publicas, etc Para estudio contable. 

Imprescindible residir en C. de la Costa.","https://trabajo.gallito.com.uy/anuncio/auxiliar-contable-38tgb","canelones",2019-11-01 16:20:32
"TÉCNICO INSTALADOR - ATLÁNTIDA - SUPLENCIA","Consultora Human Phi","Oficial","Servicios - Oficios","Hace 3 semanas ","Seleccionamos Técnico Instalador Atlántida- Suplencia para empresa de telecomunicaciones que cumplan con el siguiente perfil:

Los Requisitos

•	Residencia ...","https://trabajo.gallito.com.uy/anuncio/tecnico-instalador-atlantida-suplencia-jn7qy","canelones",2019-11-01 16:20:32
"VENDEDORA E IDONEA PARA FARMACIA HOMEOPÁTICA","Importante empresa","Técnico / Especialista","Salud","Hace 1 mes ","Atención al publico, tareas administrativas, manejo de caja, mantener orden y limpieza del local.
Excluyente que resida en Ciudad de la Costa. Puntualidad, ...","https://trabajo.gallito.com.uy/anuncio/vendedora-e-idonea-para-farmacia-homeopatica-ppenv","canelones",2019-11-01 16:20:32
"LIMPIADORA","adriana carro","Auxiliar","Servicios - Oficios","Hace 1 mes ","Se necesita Sra de entre 35 y 55 años con referencias para tareas de limpieza en casa de familia , que viva en zona de shangrila . limpieza","https://trabajo.gallito.com.uy/anuncio/limpiadora-7mdbg","canelones",2019-11-01 16:20:32
"TECNICO PROGRAMADOR CCTV Y ALARMA","centro de monitoreo","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","técnico coordinador de services y programador . sera responsable de organizar agenda de instalaciones con los clientes y mantenimiento de sistemas de alarm ...","https://trabajo.gallito.com.uy/anuncio/tecnico-programador-cctv-y-alarma-6bms3","canelones",2019-11-01 16:20:32
"JUNIOR ACCOUNTANT","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 1 mes ","Objetivos de la posición:
Proveer servicios de contabilidad a diferentes clientes, asistir en la preparación de estados financieros bajo las normas IFRS y  ...","https://trabajo.gallito.com.uy/anuncio/junior-accountant-2589n","canelones",2019-11-01 16:20:32
"PRIMERA EXPERIENCIA LABORAL - ZONA LAS PIEDRAS, LA PAZ Y ALREDEDORES","AGLH Consultores","Peon","Producción","Hace 1 mes ","Seleccionamos personas con orientación a trabajos operativos. Realizará tareas vinculadas al área logística, producción y mantenimiento. Deberán contar con ...","https://trabajo.gallito.com.uy/anuncio/primera-experiencia-laboral-zona-las-piedras-la-paz-y-alrededores-u4a8d","canelones",2019-11-01 16:20:32
"ADMINISTRATIVO INMOBILIARIO","Oficina Ramirez","Supervisor / Encargado","Administración - Secretariado","Hace 1 mes ","AUXILIAR CONTABLE Y DE VENTAS
• Sexo Masculino
• Edad entre 30 y 45 años
• Secundaria completa (no excluyente)
• Libreta de conducir moto 4 tiempos o saber ...","https://trabajo.gallito.com.uy/anuncio/administrativo-inmobiliario-h6dv3","canelones",2019-11-01 16:20:32
"AUXILIAR TECNICO PARA MANTENIENTO DE PISCINAS","Importante empresa","Auxiliar","Producción","Hace 1 mes ","Persona de 25 a 50 años con libreta de conducir, buena presencia, puntual, con gusto por el trato con clientes, proactivo, metodico y organizado. Resida en ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-tecnico-para-manteniento-de-piscinas-bptqn","canelones",2019-11-01 16:20:32
"AUXILIAR DE VENTAS Y ATENCION AL CLIENTE","Empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Empresa en la zona de Salinas necesita para incorporacion inmediata auxiliar de ventas y atencion al cliente, edad: 30 a 50 años con ganas de trabajar. Bue ...","https://trabajo.gallito.com.uy/anuncio/auxiliar-de-ventas-y-atencion-al-cliente-2zgnt","canelones",2019-11-01 16:20:32
"BRUSHINISTA , CORTADOR/A.","Peluquería Aeropuerto","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Se necesita brushinista ,cortador/a con experiencia, sepa manicuria para puesto fijo,buena presencia, disposicion y ganas de trabajar, con referencias. cum ...","https://trabajo.gallito.com.uy/anuncio/brushinista-cortador-a-ayb5e","canelones",2019-11-01 16:20:32
"INGENIERO EN AUTOMATIZACIÓN","PEPSICO","Profesional","Producción","Hace 1 mes ","El desafío:

El puesto liderará y gestionará el despliegue de la estrategia de automatización de los procesos de manufactura de concentrados de bebidas en  ...","https://trabajo.gallito.com.uy/anuncio/ingeniero-en-automatizacion-78gae","colonia",2019-11-01 16:20:32
"JEFE DE SUSTENTABILIDAD & COMUNICACIONES","Para Montes del Plata","Profesional","Arte - Diseño - Comunicación","Hace 1 mes ","En nuestro día a día, trabajamos en comunidades del interior del país, conociendo a personas que nos inspiran, que rescatan valores como el compromiso, la  ...","https://trabajo.gallito.com.uy/anuncio/jefe-de-sustentabilidad-comunicaciones-442sp","colonia",2019-11-01 16:20:32
"REPONEDOR EXTERNO PARA DEPARTAMENTO DE COLONIA","Importante empresa","Auxiliar","Ventas - Comercial","Hace 2 semanas ","Visitará los comercios que se le indiquen con el objetivo de arreglar las exhibiciones de mercadería del cliente (rubro refrescos). Los postulantes tienen  ...","https://trabajo.gallito.com.uy/anuncio/reponedor-externo-para-departamento-de-colonia-r5nq7","colonia",2019-11-01 16:20:32
"CLUB DE VACACIONES","Club de Vacaciones","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Bienvenido/a a Nuestro Club de Vacaciones! Una vez que ingresas tu función es recomendar el Club de Vacaciones (No Es Empleo) Te brindaremos todas las Form ...","https://trabajo.gallito.com.uy/anuncio/club-de-vacaciones-zezms","colonia",2019-11-01 16:20:32
"RECOMIENDA CRUCEROS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","INGRESA A NUESTRO CLUB DE VIAJES EN CRUCEROS Y GANA DESDE $1.800 EN ADELANTE POR CADA RECOMENDACIÓN O $15.000 POR MES SUMATE Y VIAJA EN CRUCEROS, RECOMENDA ...","https://trabajo.gallito.com.uy/anuncio/recomienda-cruceros-3eda6","colonia",2019-11-01 16:20:32
"ENCARGADA/O DE TIENDA EN COLONIA","PARISIEN","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Departamento de Colonia. 
Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la m ...","https://trabajo.gallito.com.uy/anuncio/encargada-o-de-tienda-en-colonia-vztjs","colonia",2019-11-01 16:20:32
"ENCARGADO PARA ESTABLECIMIENTO AGRÍCOLA- GANADERO EN ZONA DE SARANDÍ DEL YÍ","Importante empresa","Técnico / Especialista","Agroindustria","Hace 3 semanas ","La persona será responsable de la ejecución del proyecto agrícola-ganadero con sistemas de producción intensiva con terminación en feedlot. - Profesionales ...","https://trabajo.gallito.com.uy/anuncio/encargado-para-establecimiento-agricola-ganadero-en-zona-de-sarandi-del-yi-45ee3","durazno",2019-11-01 16:20:32
"ADAPTACIÓN SISTEMA DE GESTIÓN PHP","PuntoCom Servicios Tecnológicos","Analista","Tecnologías de la información","Hace 1 mes ","Conectar con webservices de factura electrónica un sistema en PHP. a convenir.","https://trabajo.gallito.com.uy/anuncio/adaptacion-sistema-de-gestion-php-p2qhd","interior",2019-11-01 16:20:32
"ENCARGADO","CONSULTORA EMPRESARIAL","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","ACREDITADA MARCA DE PRODUCTOS ARTESANALES, CAFETERÍA Y COMIDAS GOURMET Liderazgo, conducción, compromiso, dinámico y ejecutivo, promoviendo Actitud y Servi ...","https://trabajo.gallito.com.uy/anuncio/encargado-a8qd4","maldonado",2019-11-01 16:20:32
"ATENCIÓN TECNICA AL CLIENTE (MALDONADO)","","Técnico / Especialista","Tecnologías de la información","Hace 4 semanas ","Soporte al cliente mediante vías de comunicación (chat, tickets de soporte y teléfono)
Asistencia al cliente en el uso y funcionamiento de los servicios ad ...","https://trabajo.gallito.com.uy/anuncio/atencion-tecnica-al-cliente-maldonado-hgpde","maldonado",2019-11-01 16:20:32
"MÉCANICO CON CONOCIMIENTOS DE ELECTRÓNICA PARA MALDONADO","RH Maldonado","Técnico / Especialista","Producción","Hace 1 mes ","Se busca medio oficial mecánico para taller automotriz de mecánica ligera. Conocimiento de electrónica imprescindible. La localización del cargo es en MALD ...","https://trabajo.gallito.com.uy/anuncio/mecanico-vth83","maldonado",2019-11-01 16:20:32
"VENDEDOR ASESOR TÉCNICO DE OBRA","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Venta a domicilio con entrevistas previamente concertadas, revisitas al final de la obra para lograr ampliaciones y obtener recomendaciones, llamadas a pot ...","https://trabajo.gallito.com.uy/anuncio/vendedor-asesor-tecnico-de-obra-sauns","maldonado",2019-11-01 16:20:32
"ANALISTA DE DESEMPEÑO OPERACIONAL","Enjoy Punta del Este","Analista","Administración - Secretariado","Hace 1 semana ","•	Verificar que las actividades operativas definidas en los procesos, se lleven a cabo dentro de los estándares de forma, tiempo y calidad.
•	Generar infor ...","https://trabajo.gallito.com.uy/anuncio/analista-de-desempeno-operacional-2seyq","maldonado",2019-11-01 16:20:32
"ODONTOLOGO GRAL Y ODONTOLOGO CON ESTUDIOS EN ORTODONCIA","Consultorio Odontologico","Profesional","Salud","Hace 2 semanas ","Odontología general
Ortodoncia - insalación, control y seguimiento Responsabilidad inherente al acto de salud y trato con paciente.","https://trabajo.gallito.com.uy/anuncio/odontologo-gral-y-odontologo-con-estudios-en-ortodoncia-n583v","maldonado",2019-11-01 16:20:32
"MUCAMAS/OS CON EXPERIENCIA EN HOTELERÍA (PARA PUNTA DEL ESTE)","Grupo Bayton","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Se desempeñará en forma eventual.
• Limpieza de las habitaciones del hotel
• Realizar tareas de áreas públicas Nos encontramos en la búsqueda de personal,  ...","https://trabajo.gallito.com.uy/anuncio/mucamas-os-con-experiencia-en-hoteleria-para-punta-del-este-smuyb","maldonado",2019-11-01 16:20:32
"VENDEDOR VIAJERO","  ","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Buscamos Ejecutivos Comerciales para desempeñarse en los departamentos de;
– Maldonado, Rocha y Lavalleja.

La posición implica desarrollar la cartera de c ...","https://trabajo.gallito.com.uy/anuncio/vendedor-viajero-dhmnh","maldonado",2019-11-01 16:20:32
"HOTELERIA Y GASTRONOMIA","Importante empresa de Punta del Este","Auxiliar","Atención al cliente","Hace 3 semanas ","Empresa de Hoteleria y Gastronomia de Punta del Este selecciona personal para todas sus areas, temporada 2019-2020 Tareas acorde al cargo","https://trabajo.gallito.com.uy/anuncio/hoteleria-y-gastronomia-3ht6s","maldonado",2019-11-01 16:20:32
"TÉCNICO INSTALADOR SUPLENCIA VARIAS LOCALIDADES MALDONADO","Consultora Human Phi","Oficial","Servicios - Oficios","Hace 3 semanas ","Seleccionamos Técnico Instalador - Suplencia para Maldonado:  Piriápolis, La Barra y Portezuelo para empresa de telecomunicaciones que cumplan con el sigui ...","https://trabajo.gallito.com.uy/anuncio/tecnico-instalador-suplencia-varias-localidades-maldonado-g8rz4","maldonado",2019-11-01 16:20:32
"ENCARGADA/O DE TIENDA EN MALDONADO","PARISIEN","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Departamento de Maldonado.

Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la ...","https://trabajo.gallito.com.uy/anuncio/encargada-o-de-tienda-en-maldonado-2g6bh","maldonado",2019-11-01 16:20:32
"PORTERO/VALET PARKING","Importante empresa","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Portero/Valet Parking, buena presencia, libreta profesional, horario flexible, idioma ingles y/o portugués, atender al publico, experiencia 2 años en hotel ...","https://trabajo.gallito.com.uy/anuncio/portero-valet-parking-snz7u","maldonado",2019-11-01 16:20:32
"RECEPCIONISTA/ANFITRIONAS - PUNTA DEL ESTE","Importante Empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","Anfitrionas y Recepcionistas, excelente presencia y dinamismo, experiencia minimum 2 años, idiomas ingles y portugués Summer 2020. Importante Hotel 

Ofrec ...","https://trabajo.gallito.com.uy/anuncio/recepcionista-anfitrionas-punta-del-este-uya7s","maldonado",2019-11-01 16:20:32
"BARMAN Y CAJEROS","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Barman cajero: con conocimientos de coctelería internacional, manejo de sistemas de cobranza, fundamental idiomas  ingles y portugués cocteleria internacio ...","https://trabajo.gallito.com.uy/anuncio/barman-y-cajeros-6rb7e","maldonado",2019-11-01 16:20:32
"MOZOS MOZAS","Importante empresa","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Mozos/as  sala y bar: con conocimientos de hotelería , salón , bar , room service, minimum 2 años de experiencia
Idiomas inglés y portugués conocimiento en ...","https://trabajo.gallito.com.uy/anuncio/mozos-mozas-q56pr","maldonado",2019-11-01 16:20:32
"PANADERO","Importante empresa","Técnico / Especialista","Servicios - Oficios","Hace 1 mes ","Experiencia minima de 5/6   años panadería  en restaurantes  o cadenas  hoteleras    . Buen conocimiento en  panadería lineas de pan  clásica & moderna   f ...","https://trabajo.gallito.com.uy/anuncio/panadero-y3t7q","maldonado",2019-11-01 16:20:32
"REPOSTERO/PASTELERIA","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Experiencia minima de 8/ 10 años en pastelería  de restaurantes  o cadenas  hoteleras    . Buen conocimiento en  pastelería  Internacional  & moderna con c ...","https://trabajo.gallito.com.uy/anuncio/repostero-pasteleria-6r3hj","maldonado",2019-11-01 16:20:32
"COCINERO","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Experiencia minima de 3/ 4  años en cocina de restaurantes  o hotels    . Buena disposición en trabajo en equipo buen  conocimiento de cocina fría & calien ...","https://trabajo.gallito.com.uy/anuncio/cocinero-vdane","maldonado",2019-11-01 16:20:32
"CHEF DE PARTIE FRIO Y CALIENTE","Importante empresa","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Experiencia minima de 8/ 10 años en cocina de restaurantes  o cadenas  hoteleras    . Buen conocimiento de cocina   Internacional   & banquete . Capacidad  ...","https://trabajo.gallito.com.uy/anuncio/chef-de-partie-frio-y-caliente-8ybjp","maldonado",2019-11-01 16:20:32
"SOUS CHEF","Importante Hotel de Punta del Este","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Experiencia minima de 15 años en cocina de restaurantes  o cadenas  hoteleras local & internacional . Optimo  conocimiento de cocina  Internacional  creati ...","https://trabajo.gallito.com.uy/anuncio/sous-chef-mhjyn","maldonado",2019-11-01 16:20:32
"OFICIAL MAQUINISTA-FRIGORISTA","INDUSTRIA PESQUERA","Oficial","Producción","Hace 9 minutos "," PARA SU SECTOR SALA DE MAQUINAS","https://trabajo.gallito.com.uy/anuncio/oficial-maquinista-frigorista-qsbz6","montevideo",2019-11-01 16:20:32
"MEDIO OFICIAL MAQUINISTA-FRIGORISTA","INDUSTRIA PESQUERA","Oficial","Producción","Hace 9 minutos "," PARA SU SECTOR SALA DE MAQUINAS.","https://trabajo.gallito.com.uy/anuncio/medio-oficial-maquinista-frigorista-ss3eg","montevideo",2019-11-01 16:20:32
"CADETE PARA REPARTIR POR LA MAÑANA, VEHÍCULO PROPIO","Empresa Comida Saludable","Auxiliar","Cadetería - Cobranzas","Hace 20 minutos ","Se busca persona, ágil, correcto, buen trato con clientes.
Para repartir entregas de comida saludable por la mañana. Hacer las entregas que correspondan a  ...","https://trabajo.gallito.com.uy/anuncio/cadete-para-repartir-por-la-manana-vehiculo-propio-a4myz","montevideo",2019-11-01 16:20:32
