"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"JEFE DE ÁREA SUBESTACIONES","KPMG","Jefe","Logística - Distribución","Hace 1 mes ","Título de Ingeniero Eléctrico, Ingeniero Electromecánico o Ingeniero Industrial  Posgrado en ingeniería eléctrica para los postulantes con título de Ingeni ...","salto","/anuncio/jefe-de-area-subestaciones-rvttq",2019-07-20 07:54:28
"JEFE DE ÁREA DE RIESGO FINANCIERO","Coopace","Jefe","Finanzas - Contabilidad - Auditoria","Hace 3 días ","Se buscan profesionales o técnicos  en áreas de riesgo crediticio, apasionado por lo que hacen. Profesionales o técnicos titulados de universidades o  inst ...","rio-negro","/anuncio/jefe-de-area-de-riesgo-financiero-uretz",2019-07-20 07:54:28
"ENCARGADA/O DE TIENDA EN CHUY","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Chuy. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la moda, con excelente h ...","rocha","/anuncio/encargada-o-de-tienda-en-chuy-h5a67",2019-07-20 07:54:28
"VENDEDOR PARA CURSO DE COACHING","Enfoque Eneagrama","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","¿Te interesa el coaching y la inteligencia emocional?  ¿Disfrutas hablar en pu´blico?  ¿Tienes un deseo genuino de ayudar a las empresas y su gente a tener ...","tacuarembo","/anuncio/vendedor-para-curso-de-coaching-g8vz3",2019-07-20 07:54:28
"INGENIEROS FORESTALES PARA ÁREA DE COSECHA Y SILVICULTURA","Importante empresa del sector forestal","Profesional","Producción","Hace 1 semana ","El cargo implica desarrollar actividades de silvicultura y/o cosecha, participando activamente en tareas de relevamiento, planificación y ejecución de la p ...","treinta-y-tres","/anuncio/ingenieros-forestales-para-area-de-cosecha-y-silvicultura-6q3r2",2019-07-20 07:54:28
"TÉCNICO INSTALADOR SARANDÍ GRANDE","Consultora Human Phi","Técnico / Especialista","Producción","Hace 2 semanas ","Técnicos Instaladores Sarandí Grande (Florida) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	 ...","florida","/anuncio/tecnico-instalador-sarandi-grande-d9d8v",2019-07-20 07:54:28
"VENDEDORA DE MOSTRADOR PARA PERFUMERÍA EN CIUDAD DE FLORIDA ","Importante empresa de cosmética selecciona","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedora de Mostrador entre 25 y 55 años  Atención al público - Excelente ambiente laboral ","florida","/anuncio/vendedora-de-mostrador-para-perfumeria-getn5",2019-07-20 07:54:28
"MERETRICES","Daiana verde ","Auxiliar","Atención al cliente","Hace 1 mes ","Se necesitan chicas de 18 a 35 años , para whiskeria en la ciudad de colonia ( nueva Palmira) alojamiento incluido , excelente ambiente laboral , zona port ...","colonia","/anuncio/meretrices-3qu9n",2019-07-20 07:54:28
"TÉCNICO INSTALADOR TARARIRAS","Consultora Human Phi","Técnico / Especialista","Producción","Hace 2 semanas ","Técnicos Instaladores Tarariras (Colonia) Seleccionamos para empresa de tecnología Técnicos que cumplan con el siguiente perfil: Los Requisitos  •	Ciclo ...","colonia","/anuncio/tecnico-instalador-tarariras-zb3n4",2019-07-20 07:54:28
"VENDEDOR VIAJERO PARA EL INTERIOR","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 1 mes ","Vendedor para el Interior, area del Litoral del Pais, de productos alimenticios con auto propio (EXCLUYENTE), con experiencia y formacion en el área. Tendr ...","interior","/anuncio/vendedor-viajero-para-el-interior-ms9hj",2019-07-20 07:54:28
"OBSERVADORES EN CIRCUITOS","Cifra ","Auxiliar","Marketing - Publicidad","Hace 1 mes ","CIFRA busca personas para trabajar en circuitos electorales en todo el país el día de las elecciones internas, domingo 30 de junio, de 19:00 a 23:00 horas. ...","interior","/anuncio/observadores-en-circuitos-ep23h",2019-07-20 07:54:28
"F.Y.M.N.S.A.:MECÁNICO PARA MAQUINARIA PESADA FORESTAL, VIAL O AGRÍCOLA","ADVICE","Técnico / Especialista","Producción","Hace 3 semanas ","Realizará mantenimientos preventivos y reparativos de la maquinaria utilizada en la empresa. Mecánico especializado en maquinaria pesada forestal, vial y a ...","rivera","/anuncio/f-y-m-n-s-a-mecanico-para-maquinaria-pesada-forestal-vial-o-agricola-ydqqh",2019-07-20 07:54:28
"ENCARGADA/O DE TIENDA EN RIVERA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos Encargada/o de local comercial en el Departamento de Rivera. Orientamos nuestra búsqueda a personas dinámicas con gusto por la venta y la mod ...","rivera","/anuncio/encargada-o-de-tienda-en-rivera-2s78d",2019-07-20 07:54:28
"COORDINADOR DE SEGURIDAD Y SALUD OCUPACIONAL","UPM Forestal Oriental","Supervisor / Encargado","Seguridad - Vigilancia","Hace 1 semana ","El rol implica liderar la gestión de la seguridad y salud ocupacional a lo largo de toda la cadena forestal a escala nacional, en concordancia con las Polí ...","durazno","/anuncio/coordinador-de-seguridad-y-salud-ocupacional-6rqa3",2019-07-20 07:54:28
