"puesto","empresa","nivel","area","fecha","detalle","fecha_scraping"
"CHOFER DE TAXI","","Peon","Servicios - Oficios","Hace 3 semanas "," turno nocturno efectivo,  relevo puerta a puerta,  experiencia y referencias",2018-11-24 01:28:53
"ENGRASADOR LAVADOR","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Gomero para zona Buceo Av Italia e Irlanda",2018-11-24 01:28:53
"ACOMPAÑANTES","","Auxiliar","Salud","Hace 3 semanas "," ACOMPAÑANTES (10) Sexo femenino ( Excluyente), para Sanatorio. Amplia disponibilidad horaria, con experiencia excelente presencia y vocación de  servicio ...",2018-11-24 01:28:53
"TECNICO INSTALADOR","","Técnico / Especialista","Construcción - Arquitectura","Hace 3 semanas "," TECNICO instalador en cámaras de vigilancia, mantenimiento de PC y manejo de pagina web ( Excluyente) con experiencia lunes a viernes de 9 a 17 hrs",2018-11-24 01:28:53
"MANICURA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","Zona Punta Carretas MANICURA que sepa otras tareas para salon de nivel. ",2018-11-24 01:28:53
"CUIDADORA","","Auxiliar","Salud","Hace 3 semanas "," para residencial en Carrasco.  Solo con experiencia. disponibilidad horaria.",2018-11-24 01:28:53
"QUIMICA","","Profesional","Producción","Hace 3 semanas "," Con experiencia en registros de productos y referencias.  Horarios flexibles.",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER",2018-11-24 01:28:53
"JOVEN","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," JOHNNY DAY'S (American pizza) busca joven de 20 a 30 años experie ncia mínima 2 años en panadería/masas",2018-11-24 01:28:53
"AYUDANTE DE COCINA PARA SUSHIBAR","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia en el rubro.  Zona Malvín.  Horario de 17:30 a 24 hrs.",2018-11-24 01:28:53
"AYUDANTE DE ARQUITECTO O ARQUITECTO JUNIOR","ESTUDIO COLLETLACOSTE","Asistente","Construcción - Arquitectura","Hace 3 semanas ","SOBRESTANTE DE OBRA, ELABORACIÓN DE PRESUPUESTOS,PEDIDO DE PRECIOS, COMPRA DE MATERIALES, DIBUJO CAD SERÁ RESPONSABLE DE ELABORAR PRESUPUESTOS, METRAR PROY ...",2018-11-24 01:28:53
"SYNGENTA: STATUTORY & TAX OPERATIONS ANALYST","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","Requirements: Public Accountant (CPA). Al least 3 years of relevant experience in multinationals or big four companies in Tax, Accounting, Finance or Audit ...",2018-11-24 01:28:53
"ADMINISTRATIVO CALIFICADO","Empresa logística","Auxiliar","Administración - Secretariado","Hace 3 semanas ","Nos orientamos a la búsqueda de una administrativa calificada, proactiva y con motivación a afrontar tareas varias, con experiencia comprobada en liquidaci ...",2018-11-24 01:28:53
"SYNGENTA: ACOUNTING TO REPORTING ANALYSTS","ADVICE","Analista","Finanzas - Contabilidad - Auditoria","Hace 3 semanas ","Requirements: Public Accountants (CPA) or Degree in Business Administration advanced students. At least 2 years of experience in similar positions at Accou ...",2018-11-24 01:28:53
"OPERARIO DE MANTENIMIENTO","Importante Empresa","Supervisor / Encargado","Producción","Hace 3 semanas ","Mantenimiento y Reparaciones  Generales   para local en zona de Mercado Modelo y Quinta en Zona de Punta Espinillo  Requisitos fundamentales y Excluyentes  ...",2018-11-24 01:28:53
"INSTRUCTOR DE MOTO","Importante empresa","Técnico / Especialista","Educación - Recreación - Deportes","Hace 3 semanas ","1 - Tener UNIPERSONAL ABIERTA para trabajar en Academia de Choferes en Montevideo, ya que el trabajo es tercerizado (si no tiene se solicitará como condici ...",2018-11-24 01:28:53
"TECNICO","INSTALAR  S.R.L.","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas ","TECNICO  INSTALADOR  SATELITAL Con experiencia  En instalaciones  Para trabajos en Cable de UHF. y satelital  Si tiene conocimientos de instalaciones   ...",2018-11-24 01:28:53
"AYUDANTE PASTERO","Empanadas Don Pedro","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Ayudante pastero, horario de la mañana de martes a Domingo zona Ciudad de la costa. Con experiencia en el rubro fabrica de pastas o panaderia Responsable,  ...",2018-11-24 01:28:53
"VETERINARIO","","Profesional","Agroindustria","Hace 3 semanas "," VETERINARIO sepa cirugia en Montevideo y manejar para trabajo diario buena remuneracion",2018-11-24 01:28:53
"COCINERO - ENCARGADO DE COCINA - ROTISERIA","IMPORTANTE ROTISERIA","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Persona responsable, proactiva, detallista, puntual, ágil y dinámica, con vocación por la cocina y dedicación hacia su trabajo. Capacidad para el diseño y  ...",2018-11-24 01:28:53
"BRUSHINISTA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," con experiencia sepa manos y pie Zona Parque Rodo.",2018-11-24 01:28:53
"DEPILADORA","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," DEPILADORA con experiencia  Zona Parque Rodo.",2018-11-24 01:28:53
"CHOFER TAXI","","Peon","Servicios - Oficios","Hace 3 semanas "," nocturno o diurno, mayor de 45 años  con o sin experiencia.  Preferentemente zona Malvín y Palacio Legislativo",2018-11-24 01:28:53
"ABOGADO JUNIOR","ADVICE","Profesional","Legal","Hace 3 semanas ","Tendrá como principal objetivo desempeñarse en el área corporativa. Asistirá en los deals en los que esté involucrado. Colaborará en actividades de asesora ...",2018-11-24 01:28:53
"ENCUESTADORAS/ES","Importante empresa","Auxiliar","Marketing - Publicidad","Hace 3 semanas ","Para relevamiento en punto de venta Tomar datos en punto de venta",2018-11-24 01:28:53
"ESTUDIANTE DE PSICOMOTRICIDAD","","Profesional","Educación - Recreación - Deportes","Hace 3 semanas "," para auxiliar en Centro de Educacion Inicial  en Ciudad de la Costa.",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," De taxi, preferentemente femenino para MVD, libreta prof, vigente.",2018-11-24 01:28:53
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","  persona joven, dinamica para confiteria de nivel zona centro,",2018-11-24 01:28:53
"ESTUDIANTE DE FONOAUDIOLOGIA","","Profesional","Educación - Recreación - Deportes","Hace 3 semanas "," para auxiliar en Centro de Educacion Inicial  en Ciudad de la Costa.",2018-11-24 01:28:53
"ESTUDIANTE DE PSICOPEDAGOGIA","","Profesional","Educación - Recreación - Deportes","Hace 3 semanas "," para auxiliar en Centro de Educacion Inicial  en Ciudad de la Costa.",2018-11-24 01:28:53
"OFICIAL METALÚRGICO","","Oficial","Producción","Hace 3 semanas ","  Para trabajos en general zona peñarol.  Al postularse adjuntar CV",2018-11-24 01:28:53
"AYUDANTE DE INGENIERO PARA INDUSTRIA METALÚRGICA","","Asistente","Producción","Hace 3 semanas ","   Para tareas de presupuestación, dibujo y administrativas relacionadas a la producción.   Al postularse adjuntar CV",2018-11-24 01:28:53
"ENCARGADA","","Supervisor / Encargado","Recursos Humanos","Hace 3 semanas "," para whiskeria de 18 a 30 años, excelente presencia",2018-11-24 01:28:53
"MEDIO OFICIAL CARPINTERO","","Medio Oficial","Servicios - Oficios","Hace 3 semanas "," con experiencia y referencias comprobables ",2018-11-24 01:28:53
"SEÑORA JUBILADA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," que quiera compartir vivenda en Montevideo  con señora adulto mayor.",2018-11-24 01:28:53
"ALBAÑIL","","Oficial","Construcción - Arquitectura","Hace 3 semanas "," OFICIAL albañil para camara",2018-11-24 01:28:53
"CAPATAZ","","Supervisor / Encargado","Construcción - Arquitectura","Hace 3 semanas "," CAPATACES de obra de hormigon y albañileria para empresa  constructora con experiencia  minima 5 años, en obras mayores, a 1.000 m2 edificados",2018-11-24 01:28:53
"AUXILIAR MECANICO","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," Estudiante mecanico de Utu con 3er años aprobado  con experiencia en trabajos relacionados",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," CHOFER efectivo ambos turnos., libreta E Montevideo, taxi 141, relevo puerta a puerta.",2018-11-24 01:28:53
"COCINERA","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," COCINERA para residencial de tercera edad,.",2018-11-24 01:28:53
"CASERO JARDINERO","","Técnico / Especialista","Servicios - Oficios","Hace 3 semanas "," Para chacra con referencias hasta 65 años jubilado se da vivienda",2018-11-24 01:28:53
"MANTENIMIENTO","","Supervisor / Encargado","Producción","Hace 3 semanas "," OPERARIO de mantenimiento para  residencial de ansíanos. Experiencia y buena presencia y trato. Referencias comprobarles. Sueldo $ 25.000  nominal + pre ...",2018-11-24 01:28:53
"OPERARIO","","Peon","Producción","Hace 3 semanas "," maquina envasadora de alimentos, con conocimientos de electronica y /o elec tricidad experiencia en procesos de produccion edad 40 años con muy buenas re ...",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas ","Enviar CV excluyente foto, libreta de conducir y aspiraciones salariales. Para Rentadora de autos. Se valorará experiencia en el rubro y proactividad. ",2018-11-24 01:28:53
"CADETE","","Auxiliar","Cadetería - Cobranzas","Hace 3 semanas "," Para Empresa constructora de Montevideo, con libreta de conducir categoría A y buen manejo de herramientas informáticas.   Queremos incorporar a nuestro ...",2018-11-24 01:28:53
"CHOFER PARA TAXI","","Peon","Servicios - Oficios","Hace 3 semanas "," Con o sin experiencia. Ambos turnos.",2018-11-24 01:28:53
"ESTUDIANTE DE ARQUITECTURA O UTU","","Profesional","Construcción - Arquitectura","Hace 3 semanas ","Para Empresa constructora de Montevideo. Con libreta de conducir categoría A y manejo de Autocad, para tareas de para asistente de obra. Queremos incorpor ...",2018-11-24 01:28:53
"MOZO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," con experiencia para resto pub horario noche.",2018-11-24 01:28:53
"OFICIAL, MEDIO OFICIAL Y APRENDIZ","","Técnico / Especialista","Construcción - Arquitectura","Hace 3 semanas ","Electricista Oficial, medio Oficial  y Aprendiz  para obra en Montevideo Oficial  Medio Oficial Aprendiz",2018-11-24 01:28:53
"VENDEDOR PARA PERFUMERIA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," CON Experiencia en perfumeria  con buena presencia disponibilidad horaria",2018-11-24 01:28:53
"PERSONAL PARA DEPOSITO","","Auxiliar","Logística - Distribución","Hace 3 semanas "," PERSONAL para depósito empresa de rubro cortinas y pinturas. Enviar CV a ",2018-11-24 01:28:53
"VENDEDOR DE PRODUCTOS DE LIMPIEZA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," VENDEDOR de productos de limpieza, masculino, entre 30 y 50 años, con experiencia comprobable y libreta de conducir. Enviar CV",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 3 semanas "," Para parking con libreta",2018-11-24 01:28:53
"PERSONAL DE LIMPIEZA Y SERENO LIMPIADOR","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," PERSONAL de limpieza y sereno limpiador para empresa. Enviar CV",2018-11-24 01:28:53
"ENCARGADO DE DEPÓSITO","","Supervisor / Encargado","Logística - Distribución","Hace 3 semanas "," Responsabilidades para metalúrgica.   Tareas: planificar y gestionar eficientemente la logística interna, controlar y coordinar cadena de suministros.   ...",2018-11-24 01:28:53
"TURNANTE","","Auxiliar","Salud","Hace 3 semanas "," para alojamiento de ancianos,  c/ experiencia.",2018-11-24 01:28:53
"AYUDANTE DE CONFITERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," AYUDANTE DE COCINA PARA ROTISERIA EN EL CENTRO DE MONTEVIDEO",2018-11-24 01:28:53
"ASISTENTE ADMINISTRATIVO","","Asistente","Administración - Secretariado","Hace 3 semanas ","Indispensable tener buena presencia y buena relación con la atención al cliente y tener espíritu de vendedor.  -es excluyente contar con libreta de conduc ...",2018-11-24 01:28:53
"PIZZERO/ PLANCHERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia comprobable.",2018-11-24 01:28:53
"SANDWICHERO/ REPOSTERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia comprobable",2018-11-24 01:28:53
"VENDEDOR/A","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Montevideo e Interior  con experiencia sin limite de edad",2018-11-24 01:28:53
"PEON","","Peon","Producción","Hace 3 semanas "," para deposito",2018-11-24 01:28:53
"AUXILIAR DE CAJA","","Auxiliar","Atención al cliente","Hace 2 semanas ","Atención al mostrador, apertura o cierre del local, limpieza y mantenimiento del mismo.Colaborar en funciones de caja, contar con experiencia en sistema sc ...",2018-11-24 01:28:53
"SANDWICHEROS, MOZOS, COCINEROS","Nueva empresa gastronómica","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Nueva Empresa Gastronómica necesita Sandwichero, Cocineros y Mozos para bares de próxima apertura. Se prefiere personal con experiencia entre 20 y 40 años  ...",2018-11-24 01:28:53
"DESARROLLADOR .NET","GEOCOM URUGUAY","Analista","Tecnologías de la información","Hace 3 semanas "," Qué proponemos? •	El desafío de participar en proyectos (nacionales e internacionales) de alto impacto •	Estabilidad y excelente ambiente laboral •	Estac ...",2018-11-24 01:28:53
"AUXILIAR DE VENTAS Y DESPACHO","Bocatti Empanadas","Auxiliar","Servicios - Oficios","Hace 3 semanas ","Atención al cliente, cocción y despacho de mercadería Venta telefónica y presencial, preparación de los pedidos, tareas de limpieza y acondicionamiento del ...",2018-11-24 01:28:53
"CORTADOR PIZZERO","la barra","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","CORTADOR DE PIZZERIA Y PIZZERO AUXILIAR DE SER NESESARIO ,PARA VIERNES Y SABADOS SER PUNTUAL ,HIGENICO  Y  DINAMICO",2018-11-24 01:28:53
"SUSHIMAN PARA NUEVO EMPRENDIMIENTO GASTRONOMICO","Emprendimiento gastronomico","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas ","Elaboracion de sushi y preparaciones tradicionales. Debe contar con formación en gastronomía, con conocimientos y preferentemente experiencia comprobable e ...",2018-11-24 01:28:53
"PEON","","Peon","Producción","Hace 3 semanas "," Abos sexos uruguayo o extranjero para tareas rurales en Melilla  locomoción propia referencias com probables",2018-11-24 01:28:53
"BRUSHINISTA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," con experiencia zona Carrasco",2018-11-24 01:28:53
"AYUDANTA DE PELUQUERIA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," zona Carrasco",2018-11-24 01:28:53
"PIZZERO/CORTADOR","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," PIZZERO/CORTADOR con experi encia y referencia enviar",2018-11-24 01:28:53
"CARPINTERO","","Oficial","Producción","Hace 3 semanas "," CARPINTERO",2018-11-24 01:28:53
"PARRILLERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia y referencias.",2018-11-24 01:28:53
"CORREDOR","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," CORREDOR",2018-11-24 01:28:53
"LIMPIADORA","","Peon","Producción","Hace 3 semanas "," limpiadora con experiencia y referencias",2018-11-24 01:28:53
"AYUDANTA DE PELUQUERIA","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," zona Carrasco",2018-11-24 01:28:53
"LIMPIADORES","","Auxiliar","Servicios - Oficios","Hace 3 semanas "," LIMPIADORA que viva próximo al barrio Unión, con experiencia y referencias, entre 25 y 45 años.",2018-11-24 01:28:53
"ARMADOR","","Oficial","Producción","Hace 3 semanas ","Armado y desarmado de vehículos en sección chapa. Armado y desarmado de vehículos en sección chapa.",2018-11-24 01:28:53
"EJECUTIVA","","Ejecutivo Comercial","Ventas - Comercial","Hace 3 semanas "," Ejecutiva comercial para importante empresa del sector grafico, experiencia en ventas, y manejo de cartera de clientes, asi como la generacion de nuevos n ...",2018-11-24 01:28:53
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 3 semanas "," Con experiencia para trabajo estable",2018-11-24 01:28:53
"ADMINISTRATIVA CONTABLE","","Auxiliar","Administración - Secretariado","Hace 3 semanas "," con experiencia en administración.",2018-11-24 01:28:53
"CHOFER","Empresa de transporte","Medio Oficial","Producción","Hace 2 semanas ","Chofer de camión con experiencia para reparto en Montevideo. Chofer de camión con experiencia para reparto en Montevideo.",2018-11-24 01:28:53
"HIGIENISTA DENTAL","","Técnico / Especialista","Salud","Hace 2 semanas "," HIGIENISTA dental para sevicio odontologico.",2018-11-24 01:28:53
"ODONTOLOGA","","Profesional","Salud","Hace 2 semanas "," ODONTOLOGA para servicio odontologico.",2018-11-24 01:28:53
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","  4 veces por semana.",2018-11-24 01:28:53
"CHURRERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," CHURRERO necesito con experiencia para fines de semana.",2018-11-24 01:28:53
"PELUQUERA","","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","  completa corte, brushing y color. Con experiencia.",2018-11-24 01:28:53
"CHURRERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," CHURRERO con experiencia para fines de semana",2018-11-24 01:28:53
"SYNGENTA: CONTACT CENTER HR ADVISOR JR","ADVICE","Auxiliar","Teleoperadores - Call Center","Hace 2 semanas ","Requirements: Student in Administration, HR or Accountant. A minimum of 1 years experience working in customer facing services role at Shared Service Cente ...",2018-11-24 01:28:53
"CONFITERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Panaderia Doña Pancha solicita.",2018-11-24 01:28:53
"AUXILIAR MECÁNICO AUTOMOTRIZ","MODIFER  SA","Auxiliar","Producción","Hace 2 semanas ","Cambios de aceite y mantenimiento general Ayudara al mecánico presente con sus tareas",2018-11-24 01:28:53
"ASESOR DE COBRANZA","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," ASESOR DE Cobranza para call center part time salario acorde al cargo  más comisiones, muy buen clima laboral.  ",2018-11-24 01:28:53
"ACOMPAÑANTES","","Auxiliar","Salud","Hace 2 semanas "," Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia no menor a tres meses. ACOMPAÑANTE para empresa de cuidado de enfermos con do ...",2018-11-24 01:28:53
"CUIDADORA","","Auxiliar","Salud","Hace 2 semanas "," CUIDADORA turnanta, para Reside ncial. Con experiencia referencias,  disponibilidad horaria. Mayor de 38  años.",2018-11-24 01:28:53
"MOZAS","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," MOZAS UNICAMENTE CON EXPERIENCIA, para salón, mostrador y cafetería. Buena presencia, responsable. Trabajo estable para diferentes turnos. Presentarse en  ...",2018-11-24 01:28:53
"CHOFER","Carpag Tur","Peon","Servicios - Oficios","Hace 2 semanas ","Todas las referentes a la Categoría Chofer Consejo de salario Grupo 13 Subgrupo 04 Horario Diurno de 6 a 18 y Nocturno de 18 a 02 Requisitos (Excluyentes)  ...",2018-11-24 01:28:53
"ENCARGADO DE FARMACIA 17 A 01 HS","Importante cadena de farmacias busca","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","Busca Encargado de local Requisitos excluyentes: - Disponibilidad para trabajar 44 horas semanales, librando entre semana. - Experiencia previa en el rubr ...",2018-11-24 01:28:53
"CAJERA","","Auxiliar","Cadetería - Cobranzas","Hace 2 semanas "," Preferente con experiencia. Para domingos de 10 AM a 20 PM Autoservice Punta Carretas.",2018-11-24 01:28:53
"VENDEDOR","Smile Factory Group","Otros","Llamados - Concursos","Hace 2 semanas ","Ofrecer y concretar la adquisición de servicios web, paginas autogestionables, redes sociales y correos corporativos. Llevar a cabo toda la gestión de vent ...",2018-11-24 01:28:53
"RESPONSABLE DE COMERCIO EXTERIOR","ADVICE","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","Administrará, controlará y dará seguimiento a todas las tareas de comercio exterior de la empresa cliente de acuerdo a las órdenes recibidas. Emitirá las f ...",2018-11-24 01:28:53
"CAJERA VENDEDORA","Carrito de comidas","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","Cajera Vendedora para el turno nocturno (de 00 a 08hs) Experiencia en caja  de 22 a 30años",2018-11-24 01:28:53
"ENCARGADA","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 2 semanas ","buscamos una encargada para local de venta de golosinas, con personal a cargo y dos encargadas mas. Dinámica, con iniciativa, responsable, experiencia con  ...",2018-11-24 01:28:53
"VENDEDORA","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","vendedora 20 a 35 años, buena presencia, dinámica, responsable, puntual, buen relacionamiento con grupo de trabajo, simpática, se valora experiencia anteri ...",2018-11-24 01:28:53
"CARPINTERO ABERTURAS DE MADERA ","RC Aberturas","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","armado de puertas trabajo a medida carga y descarga entrega de mercadería limpieza de taller  colocaciones a domicilio atención de reclamos  Importante emp ...",2018-11-24 01:28:53
"AUXILIAR CONTABLE ADMINISTRATIVO","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas "," Estudiante CCEE, EDA o UTU . Edad 25 a 35 años. Con Memory Conty y Figaro (Exluyente ).  Experiencia un año en cargo similar excluyente.  Horario lune ...",2018-11-24 01:28:53
"VOLANTERA","","Auxiliar","Ventas - Comercial","Hace 2 semanas ","para Colegio. VOLANTERA de 18 a 20 años  ",2018-11-24 01:28:53
"LIMPIADORA","","Auxiliar","Servicios - Oficios","Hace 2 semanas "," Se solicita para Panadería Sólo con experiencia en mostrador y referencias.",2018-11-24 01:28:53
"AUXILIAR JARDIN DE INFANTES.","","Auxiliar","Educación - Recreación - Deportes","Hace 2 semanas ","AUXILIAR Jardin de Infantes. Se solicita",2018-11-24 01:28:53
"VISITADOR EN COMERCIOS VETERINARIOS Y PETSHOPS","Importante empresa","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","- VISITAR CLINICAS VETERINARIAS Y PETSHOPS - VENTAS Y COBRANZAS - PROMOCION DE PRODUCTOS - SE BUSCA ESTUDIANTE DE VETERINARIA PARA VISITA A COMERCIOS VETER ...",2018-11-24 01:28:53
"AYUDANTE DE PIZZERO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Con experiencia",2018-11-24 01:28:53
"MOZO","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","  Para pizzería con experiencia",2018-11-24 01:28:53
"ADMINISTRATIVO CONTABLE","","Auxiliar","Finanzas - Contabilidad - Auditoria","Hace 2 semanas "," Administrativo Contable ideal Estudiante de Economía, UTU, EDA o similar para integrar equipo de Contaduría que lleva adelante todas las actividades relac ...",2018-11-24 01:28:53
"MOZA","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," Para local nocturno",2018-11-24 01:28:53
"GRAPHIC DESIGNER","ADVICE","Analista","Arte - Diseño - Comunicación","Hace 2 semanas ","We work to pursue the most innovative creative advertising for our clients through intelligence, imagination and ruthless focus. We are looking for a Seni ...",2018-11-24 01:28:53
"TRAFFICKER","Importante empresa","Analista","Tecnologías de la información","Hace 2 semanas ","Responsabilidades: • Planificación, programación, monitoreo e implementación de campañas digitales. • Seguimiento, optimización y análisis de resultados.  ...",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," Con o sin experienica con buenas referencias Ambos turnos",2018-11-24 01:28:53
"CHOFER DE TAXI","Importante empresa","Peon","Servicios - Oficios","Hace 2 semanas ","CHOFER DE TAXI DE MONTEVIDEO. LIBRETA CAT E. HORARIO DIURNO DE 3 A 15 HS Y HORARIO NOCTURNO DE 15 A 3 HS. RELEVO PUERTA A PUERTA. CHOFER DE TAXI. HORARIO D ...",2018-11-24 01:28:53
"BRUSHINSTA","","Auxiliar","Servicios - Oficios","Hace 2 semanas "," BRUSHINISTA /Manicura/Depilación con experiencia, ambos sexos.  Zona Pocitos, Carrasco. Trabaja de Lun. a sáb. horario completo",2018-11-24 01:28:53
"AYUDANTE DE PRIMERA","Importante empresa","Auxiliar","Servicios - Oficios","Hace 2 semanas ","Ayudante con experiencia en peluquería femenina , piletista , sepa manos,  brushing , depilación ,etc El trabajo sería para jueves 1/2 día y viernes y sába ...",2018-11-24 01:28:53
"VENDEDORES","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," En expansión. Requisitos: 20 a 40 años,  buen trato y presencia, proactivos. Se Ofrece: buen nivel de ingresos (básico + comisiones), capacitación y posi ...",2018-11-24 01:28:53
"MAESTRA/O","","Profesional","Educación - Recreación - Deportes","Hace 2 semanas "," Recibida/o. Adjuntar C.V con foto.",2018-11-24 01:28:53
"SYNGENTA: RECRUITMENT LEAD","ADVICE","Analista","Recursos Humanos","Hace 2 semanas ","Requirements: Graduated on Psychology, Administration or any other similar area. At least 8 years of previous experience in Recruitment operations at Share ...",2018-11-24 01:28:53
"VENDEDOR DE EQUIPAMIENTO OFTALMOLÓGICO","Empresa dedicada a la venta de equipamiento oftalmológico y para óptica","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas ","La búsqueda se orienta a personas entre 30-55 años, de buena  presencia, con marcado perfil comercial, proactivo, con excelentes habilidades comunicacional ...",2018-11-24 01:28:53
"EJECUTIVOS","","Ejecutivo Comercial","Ventas - Comercial","Hace 2 semanas "," Que quieren despegarse de planes corporativos y ser independientes. Mayores de 25 años.",2018-11-24 01:28:53
"MUCAMA PARA MOTEL","","Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," DE 30 A 50 AÑOS BUENAS REFERENCIAS hORARIO ROTATIVO DE 10 A 14 HS",2018-11-24 01:28:53
"ADMINISTRATIVA","","Auxiliar","Administración - Secretariado","Hace 2 semanas "," Con amplio conocimiento de excel y autocad para empresa metalúrgica Al postularse adjuntar foto e indicar aspiraciones.",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," para taxi con experiencia Efectivo y suplente No flota Buenas condiciones laborales.",2018-11-24 01:28:53
"LIMPIADOR/VIDRIERO","","Técnico / Especialista","Servicios - Oficios","Hace 2 semanas ","Referencias comprobables. LIMPIADOR/VIDRIERO Con libreta de conducir, hasta 45 años. ",2018-11-24 01:28:53
"CHOFER","","Peon","Servicios - Oficios","Hace 2 semanas "," Efectivo ambos turnos., libreta E Montevideo, taxi 141, relevo puerta a puerta.",2018-11-24 01:28:53
"DISTRIBUIDOR","","Auxiliar","Logística - Distribución","Hace 2 semanas "," De productos panificados con vehículos y cartera de clientes",2018-11-24 01:28:53
"COCINERO","","Técnico / Especialista","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," COCINERO - Ayudante de cocina c/experiencia p/restaurante Puerto F ragata Mercado del Puerto Lun. a dom. 10 a 18",2018-11-24 01:28:53
"LIMPIADORA","","Peon","Producción","Hace 2 semanas "," Con conocimiento de cocina para cocina en cafetería Femenina desde 25 años. Al postularse adjuntar foto",2018-11-24 01:28:53
"ADMINISTRATIVA/O PARA LAS PIEDRAS","Importante empresa","Auxiliar","Administración - Secretariado","Hace 2 semanas ","Administrativo. Administrativo.",2018-11-24 01:28:53
"ELECTRICISTA","","Técnico / Especialista","Construcción - Arquitectura","Hace 2 semanas "," Para obra y mantenimiento",2018-11-24 01:28:53
