"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"INGENIERO ELÉCTRICO","Para compañía industrial multinacional referente en su ámbito","Profesional","Producción","Hace 2 semanas ","¿Quieres el desafío? El puesto tendrá a su cargo la planificación y programación de las actividades de mantenimiento correctivo y preventivo para el área  ...","interior","/anuncio/ingeniero-electrico-zh3jz",2019-01-03 17:30:32
"ARQUITECTO SOBRESTANTE OBRA FLORIDA","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 1 mes ","SOBRESTANTE PARA OBRA FLORIDA  Excluyente titulo de Arquitecto Dedicación Part- Time (4hs mínimo) Con radicación en la ciudad o a no mas de 50km de la mism ...","florida","/anuncio/arquitecto-sobrestante-obra-florida-d6erb",2019-01-03 17:30:32
"MAESTRO PANADERO","Panaderia Solis (Solis de mataojo)","Técnico / Especialista","Servicios - Oficios","Hace 3 días ","Maestro panadero Amasado Dirigir Personal Controlar Supervisar ordenar mando","lavalleja","/anuncio/maestro-panadero-sz4at",2019-01-03 17:30:32
"EJECUTIVO DE CUENTAS","ADVICE","Ejecutivo Comercial","Ventas - Comercial","Hace 6 días ","Será responsable por: El desarrollo de su cartera de clientes para maximizar las oportunidades de venta tanto con clientes actuales como nuevos para alcanz ...","paysandu","/anuncio/ejecutivo-de-cuentas-g3tme",2019-01-03 17:30:32
"ENCARGADO DE SECCION EN TACUAREMBO","Importante empresa","Supervisor / Encargado","Producción","Hace 2 semanas ","ENCARGADO PARA TAREAS VARIAS PERSONAL A CARGO","tacuarembo","/anuncio/encargado-de-seccion-en-tacuarembo-d2aup",2019-01-03 17:30:32
"INGENIERO INDUSTRIAL MECÁNICO","Andritz","Profesional","Producción","Hace 1 mes ","¿Quieres el desafío? Responsable de planificar la realización de los trabajos del área (preventivos, predictivos y correctivos), teniendo en cuenta dispon ...","rio-negro","/anuncio/ingeniero-industrial-mecanico-e6tad",2019-01-03 17:30:32
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 1 mes ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha","/anuncio/alquile-o-administre-el-restaurante-2eqhu",2019-01-03 17:30:32
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 1 mes ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha","/anuncio/manager-de-mantenimiento-552rd",2019-01-03 17:30:32
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 4 semanas ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose","/anuncio/psicopedagogo-a-fonoaudilogo-a-psicomotricista-32utq",2019-01-03 17:30:32
"SEGURIDAD","EMSUR","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Control de materiales existentes al tomar el turno control de accesos cerrados ( puertas y ventanas) Luces y bombas de agua en funcionamiento Correcto port ...","san-jose","/anuncio/seguridad-tnen2",2019-01-03 17:30:32
"DIRECTOR GENERAL","Centro Educativo Privado en el Departamento de Colonia","Gerente","Directivos - Ejecutivos","Hace 1 mes ","Para liderar el proyecto educativo de la institución, buscamos:  •	 Personas con título docente y acentuada vocación por la enseñanza •	 Formación y experi ...","colonia","/anuncio/director-general-nh774",2019-01-03 17:30:32
"ENCARGADO GENERAL TAMBO/AGRICULTURA/GANADERÍA","Bolsa de Trabajo Rural del Uruguay","Supervisor / Encargado","Producción","Hace 1 mes ","Sera el responsable de la coordinación de todos los trabajos de campo, supervisión y registros. Tendrá un grupo de 15 personas a su cargo. Deberá tener bue ...","colonia","/anuncio/encargado-general-tambo-agricultura-ganaderia-a3sb5",2019-01-03 17:30:32
"ENCARGADA PARA SHOPPING EN COLONIA","CHIC PARISIEN ","Supervisor / Encargado","Ventas - Comercial","Hace 1 semana ","Gestión integral de la tienda. Seleccionamos Encargadas para trabajar en Shopping en el Departamento de Colonia.  La posición tiene como principal respons ...","colonia","/anuncio/encargada-para-shopping-en-colonia-m4b3e",2019-01-03 17:30:32
"EMPRESA = OPORTUNIDAD","OPORTUNIDAD ONLINE","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 mes ","ATENCION!! Empresa De Turismo, 18 Años de Trayectoria Da  Oportunidad Única, Tiempo Limitado. Emprende Tu Propio Negocio! Acceso Super Accesible!! Pasajes  ...","colonia","/anuncio/empresa-oportunidad-q8j2p",2019-01-03 17:30:32
