"puesto","empresa","nivel","area","fecha","detalle","dpto","link","fecha_scraping"
"LICENCIADO EN TRABAJO SOCIAL - RECIÉN RECIBIDO (DURAZNO, COLONIA, MALDONADO, CANELONES Y RIVERA)","CONEBAN","Asistente","Trabajo Social – Pasantías","Hace 1 mes ","Nos encontramos en la búsqueda de Licenciados en Trabajo Social para desempeñarse en proyecto de inclusión social en las localidades de: DURAZNO, COLONIA,  ...","durazno","/anuncio/licenciado-en-trabajo-social-recien-recibido-durazno-colonia-maldonado-canelones-y-rivera-up7nt",2018-12-14 09:51:41
"ARQUITECTO SOBRESTANTE OBRA FLORIDA","AYC CONSTRUCTORA","Profesional","Construcción - Arquitectura","Hace 1 mes ","SOBRESTANTE PARA OBRA FLORIDA  Excluyente titulo de Arquitecto Dedicación Part- Time (4hs mínimo) Con radicación en la ciudad o a no mas de 50km de la mism ...","florida","/anuncio/arquitecto-sobrestante-obra-florida-d6erb",2018-12-14 09:51:41
"COORDINADOR LOGÍSTICO","Importante empresa","Jefe","Logística - Distribución","Hace 1 mes ","Nuestro cliente – una importante multinacional agroindustrial – busca incorporar para su operación en Salto, Uruguay a un profesional con experiencia en Co ...","salto","/anuncio/coordinador-logistico-pze9v",2018-12-14 09:51:41
"ENCARGADA DE TIENDA - MERCEDES SORIANO","Importante empresa","Supervisor / Encargado","Ventas - Comercial","Hace 1 mes ","Seleccionamos encargado de local comercial.  Se valorará experiencia en gestión y conducción de equipos de trabajo.  Será responsable de la planificación,  ...","soriano","/anuncio/encargada-de-tienda-mercedes-soriano-5rz8s",2018-12-14 09:51:41
"INGENIERO INDUSTRIAL MECÁNICO","Andritz","Profesional","Producción","Hace 1 mes ","¿Quieres el desafío? Responsable de planificar la realización de los trabajos del área (preventivos, predictivos y correctivos), teniendo en cuenta dispon ...","rio-negro","/anuncio/ingeniero-industrial-mecanico-e6tad",2018-12-14 09:51:41
"SUPERVISOR DE CALDERAS","Buscamos para Andritz","Jefe","Producción","Hace 1 mes ","¿Es tu perfil? Nuestra búsqueda se orienta a Tecnólogos Mecánicos con formación previa en mecánica industrial o automotriz, Mecánicos Aeronavales, Ingenie ...","rio-negro","/anuncio/supervisor-de-calderas-e3n89",2018-12-14 09:51:41
"ALQUILE O ADMINISTRE EL RESTAURANTE","El Diablo Tranquilo Resto & Bar","Supervisor / Encargado","Hotelería - Gastronomía - Turismo","Hace 2 semanas ","Opere todas las áreas del restaurante El Diablo Tranquilo ubicado directamente en Playa Rivero en Punta del Diablo. Trabaje con la mejor infraestructura d ...","rocha","/anuncio/alquile-o-administre-el-restaurante-2eqhu",2018-12-14 09:51:41
"MANAGER DE MANTENIMIENTO","El Diablo Tranquilo Hostel","Supervisor / Encargado","Producción","Hace 2 semanas ","Se busca persona de mantenimiento que se encuentre comodo con mantenimiento general en todas las areas, experiencia comercial en electricidad, plomeria, te ...","rocha","/anuncio/manager-de-mantenimiento-552rd",2018-12-14 09:51:41
"OPERARIO PRÁCTICO ELEVADORISTA PARA SUPLENCIA","Importante empresa","Auxiliar","Logística - Distribución","Hace 1 mes ","EN LA CIUDAD DE ROCHA - DEPARTAMENTO DE ROCHA. - Acondicionamiento y empaque de materiales. - Carga, descarga y acarreo de mercancías y materiales varios,  ...","rocha","/anuncio/operario-practico-elevadorista-para-suplencia-jvt9u",2018-12-14 09:51:41
" DOCENTE / LICENCIADO EN ENFERMERÍA","CEHS (Centro de Educación Humanizada para la Salud)","Técnico / Especialista","Salud","Hace 1 mes ","La búsqueda se orienta a Licenciados en Enfermería para docencia en Escuela de Enfermería. Requisitos : poseer título validado por MEC y MSP. Disponibilida ...","san-jose","/anuncio/docente-g9qqm",2018-12-14 09:51:41
"PSICOPEDAGOGO/A - FONOAUDILOGO/A - PSICOMOTRICISTA","Centro CIPRES","Profesional","Salud","Hace 1 semana ","Acompañamiento terapéutico con infantes. Acompañamiento terapéutico con infantes.","san-jose","/anuncio/psicopedagogo-a-fonoaudilogo-a-psicomotricista-32utq",2018-12-14 09:51:41
"SEGURIDAD","EMSUR","Auxiliar","Seguridad - Vigilancia","Hace 1 mes ","Control de materiales existentes al tomar el turno control de accesos cerrados ( puertas y ventanas) Luces y bombas de agua en funcionamiento Correcto port ...","san-jose","/anuncio/seguridad-tnen2",2018-12-14 09:51:41
"MECÁNICO DE MOTOS PARA CIUDAD DEL PLATA","UPA.MOTOS auxilio","Técnico / Especialista","Producción","Hace 1 mes ","Upamotos está buscando ampliar sus servicios de auxilio en CIUDAD DEL PLATA, para lo que busca mecánicos preferentemente con taller de motos propio, con de ...","san-jose","/anuncio/mecanico-de-motos-para-ciudad-del-plata-4v2sg",2018-12-14 09:51:41
"DIRECTOR GENERAL","Centro Educativo Privado en el Departamento de Colonia","Gerente","Directivos - Ejecutivos","Hace 1 semana ","Para liderar el proyecto educativo de la institución, buscamos:  •	 Personas con título docente y acentuada vocación por la enseñanza •	 Formación y experi ...","colonia","/anuncio/director-general-nh774",2018-12-14 09:51:41
"ENCARGADO GENERAL TAMBO/AGRICULTURA/GANADERÍA","Bolsa de Trabajo Rural del Uruguay","Supervisor / Encargado","Producción","Hace 3 semanas ","Sera el responsable de la coordinación de todos los trabajos de campo, supervisión y registros. Tendrá un grupo de 15 personas a su cargo. Deberá tener bue ...","colonia","/anuncio/encargado-general-tambo-agricultura-ganaderia-a3sb5",2018-12-14 09:51:41
"AUXILIAR ADMINISTRATIVO","Importante empresa","Auxiliar","Administración - Secretariado","Hace 1 mes ","cumplir funciones de administrativas cumplir funciones de administrativas","colonia","/anuncio/auxiliar-administrativo-p4uj8",2018-12-14 09:51:41
"EMPRESA = OPORTUNIDAD","OPORTUNIDAD ONLINE","Ejecutivo Comercial","Hotelería - Gastronomía - Turismo","Hace 1 semana ","ATENCION!! Empresa De Turismo, 18 Años de Trayectoria Da  Oportunidad Única, Tiempo Limitado. Emprende Tu Propio Negocio! Acceso Super Accesible!! Pasajes  ...","colonia","/anuncio/empresa-oportunidad-q8j2p",2018-12-14 09:51:41
"ENCARGADO DE RESATURANT","Importante empresa en Colonia","Supervisor / Encargado","Ventas - Comercial","Hace 3 semanas ","Encargado de personal  Encargado de funcionamiento  Manejo de efectivo Puesto vacante para llevar la organización de Restaurant, y administracion !! Dispon ...","colonia","/anuncio/encargado-de-resaturant-bt6pb",2018-12-14 09:51:41
