"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 17 hs sem.) del Departamento de Romanística y Español delInstituto de Lingüística, desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/75-19-prof-adj-romanistica-y-espanol-ID-173727",2019-10-13,"Prof. Adj. Romanística Y Español",2019-11-01 19:51:31,"19:51:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Asistente (Esc. G, Gr. 2, 20 h sem.) del Departamento de Enseñanza y Aprendizaje del Instituto deEducación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/76-19-asistente-ensenanza-aprendizaje-ID-173728",2019-10-13,"Asistente Enseñanza & Aprendizaje",2019-11-01 19:51:31,"19:51:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 10 hs. sem.) del Departamento de Enseñanza y Aprendizaje delInstituto de Educación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/77-19-prof-adj-ensenanza-aprendizaje-ID-173726",2019-10-13,"Prof. Adj. Enseñanza & Aprendizaje",2019-11-01 19:51:31,"19:51:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. n (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 20 hs. sem.) para cumplir funciones de coordinación de la Unidad deApoyo a la Enseñanza desde la toma de posesión y no más alla del 31.05.20 . El cargo es renovable sujeto a informede disponibilidad presupuestal.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/79-19-prof-adj-uae-ID-173782",2019-10-14,"Prof. Adj. Uae",2019-11-01 19:51:31,"19:51:31","lunes","montevideo","montevideo"
