"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"VENDEDORA ENCARGADA Y CAJERAS PARA LOCALES EN SHOPPINGS","www.buscojobs.com.uy/vendedora-encargada-y-cajeras-para-locales-en-shoppings-ID-168386",2019-05-05 19:54:54,"(Confidencial)",NA,"Montevideo","Atención al Cliente",6,"Completa","Vendedoras encargadas ,cajeras  y vendedoras/es con experiencia en ventas en locales comerciales . Requisitos:*Contar con secundaria completa*Experiencia en atención al cliente *Disponibilidad horaria y poder trabajar durante los fines de semana.*Adjuntar foto y aspiraciones económicas al curriculum.*Shoppings en Montevideo y Canelones","Atención al Cliente / Atención al Cliente
									
										Atención al Cliente / Recepción
									
										Atención al Cliente / Telefonísta
									
										Comercio – Mercadeo – Ventas / Análisis de Negocios
									
										Comercio – Mercadeo – Ventas / Venta de Indumentaria
									
										Diseño – Decoración / Diseño de Interiores
									
										Marketing – Publicidad / Desarrollo de Producto / Marca
									
										Atención al Cliente / Caja
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Caja y/o Facturación
									
										Logística y almacén
									
										Venta en mostrador
									
										Venta de productos en general
									
										Venta al por Menor
									
										Atención de Postventa
									
										Distribución, logística, depósito.
									
										Logística de ventas
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 22 Hasta 35 Años
							
							
							
								
									Sexo: Femenino
								
							
						

						
					
					
				",2019-05-05,"domingo"
"Secretaria","www.buscojobs.com.uy/secretaria-ID-168337",2019-05-05 19:54:54,"(Confidencial)","Montevideo","Montevideo","Secretaría",1,"Completa","Ejecutar actividades en el área secretarial y de asistencia al equipo de trabajo en general, particularmente a la alta gerencia, aplicando técnicas secretariales y efectuando actividades que requieran el uso del idioma inglés, a fin de contribuir con el buen funcionamiento de la compañía. Tareas principales: Manejo de agenda, coordinación y logística de viajes, redacción y contestación de mails en inglés, colaborar en la organización de eventos, administrar correspondencia de la empresa, relación con cada una de las áreas de la empresa entre otras tareas inherentes al cargo.EXCLUYENTE: excelente nivel de inglés tanto oral como escrito.","Administración – Secretariado / Secretaría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Secretariado
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
									Sexo: Femenino
								
							
						

						
					
					
				",2019-04-05,"viernes"
"Personal de Limpieza","www.buscojobs.com.uy/personal-de-limpieza-ID-168369",2019-05-05 19:54:54,"Atento Uruguay",NA,"Montevideo","Mantenimiento General",2,"Indiferente","Esta es tu oportunidad para formar parte de una empresa líder y el único Contact Center dentro del Ranking de Great Place To Work. Contamos con diversos beneficios pensados para ti y una línea de carrera para que puedas crecer con nosotros.Función: mantener las oficinas y plataforma de la empresa limpia y ordenada.Requisitos: - Secundario completo.- Experiencia en servicios de limpieza general.- Disponibilidad para trabajar en jornadas de 36 horas semanales.- Franja horaria de  Lunes a Sábado 07:00 a 13:00 y  Lunes a Sábado 15:00 a 21:00 horas.Beneficios:- Salario $16,292.- Actividades extra programáticas para festividades especiales.- Premiación por desempeño.- Convenios con universidades e institutos y descuentos en complejos recreacionales.- Excelente clima laboral, somos unas de las mejores empresas para trabajar.","Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Limpieza en General
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Estudiante diseño grafico con perfil en programación","www.buscojobs.com.uy/estudiante-diseno-grafico-con-perfil-en-programacion-ID-168338",2019-05-05 19:54:54,"(Confidencial)",NA,"Montevideo","Diseño Gráfico",1,"Medio turno mañana","Orientamos nuestra búsqueda hacia estudiantes de diseño gráfico con perfil en programación.•         Será responsable del diseño, maquetado y mantenimiento de las interfaces web y de aplicaciones móviles, manteniendo las interfaces en constante actualización.•         Dar seguimiento a las modificaciones que se requieran a nivel de UI, para que cumplan con los criterios definidos por el equipo de trabajo. •         Resolver y dar seguimiento a problemas técnicos, asistiendo en tareas de troubleshooting y testing de los aplicativos diseñados.•         Diseño de imágenes, banners y materiales varios requeridos periódicamente.Valoramos conocimientos en lenguajes de programación, criterios/ de usabilidad y responsive design.Siendo indispensable el manejo los siguientes lenguajes:•         HTML 5.•         CCS3.•         Paquete de diseño Adobe.•         Diagramación.•         Preprocesadores de estilos.•         Conocimientos en frameworks de diseño (Boostrap, React, etc).","Diseño – Decoración / Diseño Gráfico
									
										Tecnologías de la Información / Programación
									
								","
					
						
							
							
							
							Conocimientos: 
							
								HTML
									
										Microsoft.Net Framework
									
										Adobe Flash
									
										Adobe PageMaker
									
										Adobe AIR
									
										Adobe Illustrator
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 30 Años
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Developer Ssr REALIDAD AUMENTADA","www.buscojobs.com.uy/developer-ssr-realidad-aumentada-ID-168351",2019-05-05 19:54:54,"(Confidencial)","Montevideo","Montevideo","Programación",NA,"Completa","Se selecciona desarrollador con marcado enfoque e interés en las últimas tecnologías para integrar en sector de I+D. Deberá contar con la capacidad y el suficiente entusiasmo de investigar nuevas tecnologías y desarrollar prototipos funcionales de los mismos. A su vez definir e integrar interfaces de comunicación con sistemas existentes y prototipos desarrollados. Se requiere excelente manejo de las siguientes herramientas:•	C# •	Python  •	Unity 3D •	Control de versionado mediante GIT •	Serialización mediante XML, Json •	SOAP, REST, APIs. •	MVC Deberá contar con experiencia mínima de 3 años en:•	Programación orientada a objetos y eventos. •	Conocimiento de metodologías de trabajo agiles, SCRUM o similar. •	Control de versionado Git o similar. Se requiere la capacidad de: •	Trabajo en equipo con desarrolladores distribuidos geográficamente en distintas locaciones. •	 Disponibilidad para viajar al exterior. Serán considerados pero no excluyentes: •	Conocimientos en Unity 3D •	Conocimiento en desarrollo mobile: iOS y/o Android. •	Conocimiento básico de Base de datos (Oracle, MySql, SQL Server) •	Buen manejo de inglés.","Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								C#
									
										Python
									
										SOAP (Simple Object Access Protocol)
									
										Asp.NET MVC 4+
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 22 Hasta 35 Años
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"UX MODELADOR 3D","www.buscojobs.com.uy/ux-modelador-3d-ID-168349",2019-05-05 19:54:54,"(Confidencial)","Montevideo","Montevideo","Diseño Gráfico",NA,"Completa","Somos una empresa que desarrolla aplicaciones web y sistemas basados en “User Experience”.Ayudamos a nuestros clientes a construir o mejorar sus procesos utilizando Cloud Computing como tecnología principal y Scrum como metodología ágil.Seleccionamos perfiles que deberán tener la experiencia suficiente en diseño y desarrollo de modelos 3D optimizados para videojuegos o aplicaciones móviles. Asimismo, deberán conocer el manejo de la herramienta Unity no solo para implementar los modelos desarrollados, sino también para el uso de materiales, texturas, y partículas, entre otros. Por otra parte deberán tener la posibilidad de viajar.Es condición excluyente haber tenido experiencia en producciones audiovisuales. Enfocado a perfiles con enfoque terciario en Diseño Multimedia / Animación y videojuegos. Requerimos manejo con las siguientes herramientas:•	Blender para modelado 3D •	Unity como marco de producción •	After Effects para postproducción •	Photoshop para desarrollo y producción Experiencia con: •	Experiencia en Modelado en 3D (incluido mapeo UV y manejo de texturas) preferentemente apuntado hacia videojuegos o aplicaciones. •	Experiencia mínima comprobable de 2 años en roles similares.  •	Experiencia con metodologías ágiles es un plus.","Diseño – Decoración / Diseño Gráfico
									
										Diseño – Decoración / Diseño Web
									
										Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
										Tecnologías de la Información / Aplicaciones para Celular
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Adobe Photoshop
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 22 Hasta 35 Años
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Modelador de Procesos Físicos","www.buscojobs.com.uy/modelador-de-procesos-fisicos-ID-168347",2019-05-05 19:54:54,"(Confidencial)","Montevideo","Montevideo","Gestión de Proyectos",1,"Completa","Seleccionamos para pronto incorporacion, Modelador de Procesos FísicosLa persona seleccionada deberá analizar procesos físicos que suceden en plantas industriales y desarrollar su modelado matemático. Así mismo deberá tener la capacidad de poder representarlo en un sistema informático, que será utilizado en diferentes áreas, entre ellas simulaciones. Se requieren para este puesto:•	Conocimiento de física teórica: Modelado matemático de procesos físicos industriales.  •	Experiencia mínima de 2 años. •	Capacidad de trabajo en equipo. •	Disponibilidad para viajar al exterior. Se valorará para el puesto, pero no es excluyente: •	Conocimiento de lenguajes de Programación: C/C++, Matlab/Octave o R. •	Conocimiento de Metodologías de trabajo ágiles, SCRUM o similar.Reserva en el proceso de seleccion","Tecnologías de la Información / Gestión de Proyectos
									
										Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								C++
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 22 Hasta 40 Años
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Coordinador/a de Marketing SR","www.buscojobs.com.uy/coordinadora-de-marketing-sr-ID-168343",2019-05-05 19:54:54,"Chic Parisien",NA,"Montevideo","Diseño de Indumentaria",NA,"Completa","Si te apasiona el mundo de la moda, estás sumergida/o en la era digital, tienes experiencia liderando equipos y quieres ser parte de una de las empresas de retail más importante de nuestro país, ¡ésta oportunidad es para vos! Buscamos que vibres con un espíritu cargado de dinamismo, creatividad, una importante cuota de iniciativa, planificación, organización y te enfoques con excelencia y adaptabilidad a los cambios y desafíos.Tus principales responsabilidades serán:•	Elaboración y estrategias del plan anual de Marketing.•	Asistencia en la elaboración del presupuesto anual del departamento. •	Planificación y lineamiento de la comunicación y promociones de mailings de la marca.•	Supervisión al área de Ecommerce.•	Propuestas y planificación activa de planes de mejora.•	Supervisión, coordinación y armado para diferentes medios de comunicación. Requisitos: •	Formación universitaria en Marketing, Comunicación o Publicidad. •	Conocimientos de marketing digital y herramientas para su medición (altamente valorado).•	Excelente redacción oral y escrita.Se valorara: •	Experiencia en agencia de publicidad en roles de ejecutivos de cuenta. •	Diseño gráfico, Photoshop e Ilustrator.•	Dominio del idioma inglés a nivel intermedio.•	Formación/marcado gusto por la moda.","Diseño – Decoración / Diseño de Indumentaria
									
										Diseño – Decoración / Diseño Gráfico
									
										Diseño – Decoración / Diseño Web
									
										Marketing – Publicidad / Investigación de Mercados
									
										Marketing – Publicidad / Marketing
									
										Marketing – Publicidad / Promociones
									
										Marketing – Publicidad / Publicidad
									
										Marketing – Publicidad / RRPP y Eventos
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Diseño Digital
									
										Diseño Gráfico
									
										Análisis de Datos
									
										Publicidad
									
										Redes Sociales
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Analista Genexus Ss.","www.buscojobs.com.uy/analista-genexus-ss-ID-168342",2019-05-05 19:54:54,"MEDICINA PERSONALIZADA","Montevideo","Montevideo","Programación",1,"Completa","En MP nos encontramos en la búsqueda de un Analista Genexus Semi Senior quien trabajará en el área de Desarrollo del departamento de Ingeniería de Software llevando adelante las actividades de desarrollo que tengan como objetivo evolucionar y mantener el producto que le sea asignado al equipo del cual forme parte.  Requisitos:. Estudiante o egresado de carreras vinculadas a la Tecnología de la Información												. Experiencia en desarrollo Genexus (2 años o más), Evo 1 en adelante												Se valorará:		. Experiencia en Genexus 15												. Experiencia en generador Visual FoxPro												. Experiencia en generador mobile												. Experiencia en DB2, Apache Tomcat, javascript, css3 y/o html5","Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								GeneXus
									
										Visual Fox Pro
									
										CSS (Cascading Style Sheets)
									
										HTML
									
										JavaScript
									
										Apache HTTP Server
									
										DB2
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 45 Años
							
							
							
								
							
						

						
					
					
				",2019-03-06,NA
"Técnico en Servicio Social","www.buscojobs.com.uy/tecnico-en-servicio-social-ID-168327",2019-05-05 19:54:54,"(Confidencial)",NA,"Montevideo","Asistencia Social",1,"Completa","El objetivo general de esta posición es realizar acciones que contribuyan a identificar e interpretar necesidades y problemáticas de la población con la que trabaja y su contexto, elaborando informes y proponiendo acciones para la solución de las mismas.Brinda apoyo a actividades de RSE en programas y acciones específicas del área.","Trabajo Social – Pasantías / Asistencia Social
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Psicología
									
										Trabajo Social
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							Edad: Desde 18 Hasta 70 Años
							
							
							
								
							
						

						
					
					
				",2019-02-04,"lunes"
