"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Desarrollador de Software","www.buscojobs.com.uy/desarrollador-de-software-ID-169395",2019-05-30 14:44:40,"SONDA Uruguay","Montevideo","Montevideo","Programación",NA,"Completa","Estamos en la búsqueda de un colaborador para programar la solución de software de acuerdo a las normas y herramientas de la empresa,  con el fin de cumplir los estándares de calidad definidos en el acuerdo previo de nivel de atención al cliente, garantizando un servicio de excelencia. Desarrollar funciones como miembro de la división.  Ejecutar funciones de acuerdo al software proporcionado con las especificaciones de diseño. Analizar los requisitos del sistema y los procesos de negocio existentes y sistemas de información. Construir mejoras y resolver errores. Construir y ejecutar pruebas unitarias y planes de pruebas unitarias. En algunos casos contribuyen en la elaboración la arquitectura técnica de la solución.Requisitos:Capacidad de realizar  tareas estandarizadas que incluyan nuevos procesos. Demostrar conocimientos de las funciones, procesos y procedimientos relacionados al cargo. Capacidad de resolución de problemas de moderada complejidad, considerando la aplicación de las políticas y procesos de la empresa. Profesional  o  con experiencia equivalente correspondiente al área funcional.  4 - 6 años experiencia en industria / 2 - 4 años cargos similares.","Tecnologías de la Información / Programación
										Tecnologías de la Información / Desarrollo
								","
					
						
							
							
							Conocimientos: 
							
								Programación
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 25 Hasta 45 Años
						

						
					
					
				",2019-05-30,"jueves"
"Asistente de Atención al Usuario","www.buscojobs.com.uy/asistente-de-atencion-al-usuario-ID-169394",2019-05-30 14:44:40,"(Confidencial)",NA,"Montevideo","Auxiliar Administrativo",1,"Completa","RequerimosDisponibilidad para régimen de trabajo de lunes a viernes de 13.00 a 20.00 hs y sábados de 08.00 a 12.00 hs.Imprescindible tener conocimientos de inglés a nivel avanzado (excluyente).Secundaria completa.Valoramos estudios relacionados a Psicología, Sociología, Comunicaciones y/o Marketing.PC a nivel usuario.Buen manejo del lenguaje, claridad de expresión, trato amable, capacidad para trabajar en equipo y buena disposición.Se ofreceAgradable ambiente y estabilidad laboral.","Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Secretaría
								","
					
						
							
							
							Conocimientos: 
							
								Secretariado
										Atención al Cliente
										Psicología
								Idiomas: 
							
							Inglés
							Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 20 Hasta 45 Años
									Sexo: Femenino
						

						
					
					
				",NA,NA
"Encargado de Logística (turno nocturno)","www.buscojobs.com.uy/encargado-de-logistica-turno-nocturno-ID-169384",2019-05-30 14:44:40,"(Confidencial)","BarrosBlancos","Canelones","Almacén / Depósito / Stock",NA,"Completa","Importante empresa selecciona Encargado de Logística:Principales Responsabilidades de la posición:Organizar y supervisar la preparación de pedidos y despachos a locales en para alcanzar el cumplimiento de objetivos en locales. Velar por las correctas condiciones de almacenamiento y conservación del stock en su sector.Supervisa el cumplimiento de los procesos y es responsable por mantener los objetivos de calidad establecidos. Requisitos:Formación técnica en logística o carreras afines. Experiencia mínima de un año en puestos de similar responsabilidad.Ofrecemos la oportunidad de ingresar a una importante organización, en un ambiente dinámico que presenta desafíos, oportunidades de aprendizaje y desarrollo, con una remuneración acorde a las responsabilidades del cargo.","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
								","
					
						
							
							
							Conocimientos: 
							
								Distribución, logística, depósito.
										Gestión de Operaciones
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 18 Hasta 70 Años
						

						
					
					
				",2019-05-30,"jueves"
"ELECTROMECÁNICO","www.buscojobs.com.uy/electromecanico-ID-169383",2019-05-30 14:44:40,"(Confidencial)",NA,"Montevideo","Mantenimiento Industrial",1,"Completa","Importante empresa del rubro de alimentos solicita Oficiales Mecánicos y/o Electromecánicos.Preferiblemente personas de las carreras de Técnico Mecánico, Electromecánico con al menos 5 años de experiencia en empresas de producción industrial o similares.Dentro de sus funciones se encuentran:Realizar mantenimiento mecánico / electromecánico correctivo y predictivo para asegurar y mantener la operación de las diferentes líneas de producción de la empresa de acuerdo a las políticas, estándares de seguridad y programa de mantenimiento establecido.REQUISITOS:• Contar con estudios de: Técnico Mecánico Electromecánico UTU o similar.•	Deseable experiencia en fábricas de manufactura o asociadas.•	Experiencia en trabajo junto a normas de seguridad.•	Manejo y conocimiento en herramientas propias del rubro.•	Disponibilidad de realizar turnos rotativos.","Industria – Producción / Mantenimiento Industrial
										Industria – Producción / Mecánica Industrial
										Oficios – Servicios Varios / Electricidad
										Oficios – Servicios Varios / Mecánica General
										Mantenimiento General / Mantenimiento General
								","
					
						
							
							
							Conocimientos: 
							
								Electricidad
										Ingeniería Industrial Mecánica
										Electromecánica
										Mecánica industrial
										Mecánica
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-05-30,"jueves"
"Operario de Mantenimiento ( Suplencia)","www.buscojobs.com.uy/operario-de-mantenimiento-suplencia-ID-169382",2019-05-30 14:44:40,"Adecco","Montevideo","Montevideo","Mantenimiento General",NA,"Completa","Importante empresa dedicada a la producción de insumos de uso veterinario se encuentra en l  búsqueda de personal de mantenimiento.Principales responsabilidades: •	Tareas de albañilería, yeso, y pintura •	Limpieza diaria del predio de la empresa •	Cortar el césped y regar las plantas en forma periódica •	Limpieza y orden de áreas de servicio y entrepiso técnico•	Chequeo periódico de estado de extintores •	Tareas pintura estanterías •	Limpieza periódica de dispensadores de agua•	Colaboración en tareas de mantenimiento de la planta Requisitos: •	Secundaria completa •	Experiencia previa en tareas afines, empresa del rubro industrial •	Disponibilidad horaria¡TRANSFORMÁ TU TALENTO EN EXPERIENCIA!APOSTÁ AL CAMBIO, NOSOTROS APOSTAMOS POR VOSEl compromiso de Adecco, es promover y mantener la cultura del respeto e igualdad de oportunidades. No discriminamos en función del género, religión, etnia, nacionalidad, cultura, grupo social, discapacidad o enfermedad, orientación sexual, estado civil, edad u opinión política. Cuando elegimos el personal para un cliente, la decisión se basa única y exclusivamente en los méritos y capacidades de esa persona.","Mantenimiento General / Mantenimiento General
								","
					
						
							
							
							Conocimientos: 
							
								Mantenimiento General
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				",2019-05-30,"jueves"
"Coordinador de Planning","www.buscojobs.com.uy/coordinador-de-planning-ID-169381",2019-05-30 14:44:40,"RCI Latinoamerica S.A.","Zonamérica","Montevideo","Administración de Empresas",1,"Completa","RCI es el líder global en intercambio vacacional, proporcionando a nuestros socios experiencias vacacionales de calidad en más de 4,300 resorts en 100 países! Buscamos una persona para trabajar en el área de Planning.Tareas principales a realizar: •	Generar y mantener modelos operativos que garanticen niveles óptimos de servicio, abandono y adherencia.•	Coordinar, planificar y asistir al área de mesa de control.•	Análisis y seguimiento de indicadores operativos para la detección de riesgos y oportunidades. •	Generación de reportes y herramientas de soporte a la toma de decisiones. •	Optimización de procesos internos. Requisitos excluyentes: •	Estudios en careras de Economía, Estadística, Administración, Ingeniería o similares. •	Excel avanzado, buen manejo de herramientas Informáticas en general (se aplicará prueba de conocimiento a los postulantes). •	Capacidad de análisis y comunicación de resultados. •	Fuertes habilidades numéricas y razonamiento lógico. Será valorado: •	Experiencia en Workforce Management•	Conocimientos de programación, bases de datos y lenguaje SQL. Competencias y habilidades: •	Capacidad de trabajo en equipo. •	Responsabilidad y compromiso. •	Proactividad y orientación a resultados. •	Buen manejo del tiempo y organización.","Administración – Secretariado / Administración de Empresas
										Comercio – Mercadeo – Ventas / Análisis de Negocios
										Tecnologías de la Información / Administración de Base de datos
										Tecnologías de la Información / Business Intelligence (BI) / DataWarehousing
										Tecnologías de la Información / Programación
								","
					
						
							
							
							Conocimientos: 
							
								SQL
										Análisis de Datos
										Microsoft Excel
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 19 Hasta 50 Años
						

						
					
					
				",2019-05-30,"jueves"
"Vendedor con Experiencia","www.buscojobs.com.uy/vendedor-con-experiencia-ID-169352",2019-05-30 14:44:40,"Fabrica Italiana de Muebles",NA,"Montevideo","Comercial / Ventas",NA,"Completa","Enfocamos nuestra búsqueda a personas con experiencia en ventas y conocimientos en diseño de interiores.El cargo implica asesorar a nuestros clientes durante todo el proceso de compra. La atención personalizada es un pilar fundamental en la empresa, por ello buscamos incorporar a nuestro equipo de ventas una persona con gusto por la atención al cliente, dedicada, responsable y detallista.","Comercio – Mercadeo – Ventas / Comercial / Ventas
										Diseño – Decoración / Diseño de Interiores
										Comercio – Mercadeo – Ventas / Venta por Catálogo
								","
					
						
							
							
							Conocimientos: 
							
								Atención al Cliente
										Diseño de Interiores
										Redes Sociales
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				",2019-05-29,"miércoles"
"ANALISTA PROGRAMADOR","www.buscojobs.com.uy/analista-programador-ID-169371",2019-05-30 14:44:40,"(Confidencial)","Montevideo","Montevideo","Análisis de Sistemas",1,"Completa","Analista ProgramadorBuscamos programadores para sumarse a nuestro equipo con experiencia comprobada en desarrollo de aplicaciones y componentes en Visual Basic 6.0  (excluyente) utilizando SQL Server como motor de base de datos.Somos una empresa sólida desde hace 40 años haciendo software en Uruguay. ¿Te interesa formar parte?Valoraremos conocimientos en:- Crystal Report- ASP.NET MVC- Javascript, JQuery, HTML5, CSS3- WCF / Servicios REST- Solicitamos que los interesados cuenten con experiencia laboral comprobada en Programación y mantenimiento VB 6.0Nuestra propuesta:  - Excelente ambiente laboral, de confianza y compromiso mutuo.- Jornadas de trabajo Full time.- Capacitación, aprendizaje continuo.Agradecemos enviar tu CV.","Tecnologías de la Información / Análisis de Sistemas
										Tecnologías de la Información / ERP/CRM
										Tecnologías de la Información / Programación
										Tecnologías de la Información / Desarrollo
								","
					
						
							
							
							Conocimientos: 
							
								Desarrollo de Componentes
										JavaScript
										ASP.NET
										Desktop
										Visual Basic 6.0
										Programación
										WCF
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 23 Hasta 55 Años
						

						
					
					
				",2019-05-29,"miércoles"
"ASISTENTE DE CONSULTORIA EN SOFTWARE","www.buscojobs.com.uy/asistente-de-consultoria-en-software-ID-169369",2019-05-30 14:44:40,"(Confidencial)","Montevideo","Montevideo","Administración de Empresas",1,"Completa","Estás interesado en trabajar con un equipo de consultores para la implementación de Soluciones de un ERP y orientados a resolver los problemas de la gestión empresarial?  Somos una empresa sólida con 40 años haciendo software en Uruguay, brindando soluciones a los líderes del mercado en todas las industrias localesBuscamos sumar a nuestro equipo de Consultoría, estudiantes de las carreras de CCEE, Licenciatura en Administración, Tecnicatura en Administración o equivalentes. Jóvenes con entusiasmo, compromiso con el trabajo y proactivos. Con gusto e interés por la tecnología  y apertura al aprendizaje.Consideraremos especialmente:-  Muy buen relacionamiento interpersonal.-  Trabajo en equipo.-  Iniciativa.- Conocimientos y manejo de Paquete Office.Valoraremos: - Experiencia laboral en áreas de administración/contabilidad- Conocimientos de SQL Server.Estás interesado? Te proponemos: -  Excelente ambiente laboral, de confianza y compromiso mutuo.-  Jornadas de trabajo de 9 a 18 horas (se puede considerar la opción de menor carga horaria)-  Capacitación, aprendizaje continuo.-  Trabajar en equipo y en un entorno desafiante.Agradecemos adjuntar tu CV y escolaridad.","Administración – Secretariado / Administración de Empresas
										Administración – Secretariado / Auxiliar Administrativo
										Administración – Secretariado / Administración Contable y Financiera
										Contabilidad – Auditoría – Finanzas / Contaduría
										Atención al Cliente / Atención al Cliente
										Tecnologías de la Información / Consultoría
										Tecnologías de la Información / ERP/CRM
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Administración de Empresas
										Auxiliar Administrativo
										ERP (Enterprise Resource Planning)
										SQL Server
										Microsoft Excel
										Microsoft Office
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 20 Hasta 40 Años
						

						
					
					
				",2019-05-29,"miércoles"
"Contador para Fondo de Inversión y Sociedades Holdings","www.buscojobs.com.uy/contador-para-fondo-de-inversion-y-sociedades-holdings-ID-169370",2019-05-30 14:44:40,"Curbelo & Cianci Consultores",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","LA PERSONAOrientamos la búsqueda a joven Profesional, Contador Público con más de 3 años de experiencia en el área contable- financiera; auditoría, controlling y reportes a inversores.Valoraremos especialmente conocimientos en manejo de Fondos de Inversión.Persona altamente motivada, analítica, responsable y con buen relacionamiento interpersonalDominio del idioma inglés oral y escrito. Excel avanzado. PRINCIPALES FUNCIONES•	Contabilidad del Fondo y manejo de las cuentas de los inversores•	Administración y contabilidad de empresas Holdings en los distintos países•	Manejo de cuentas bancarias •	Relación con Contadores y abogados de los distintos países•	Elaboración de estados contables bajo US Gaap •	Análisis de las estructuras fiscales más eficientes en cada país•	Mantenimiento de relación con Auditores externos •	Análisis detallado del flujo de caja de proyectos•	Preparación de reportes a inversores •	Desarrollo de reportes y presentacionesLA PROPUESTAOportunidad de ingresar a trabajar en uno de los Fondos de mayor crecimiento en la región con proyectos en selectos países de Latinoamérica (Colombia, México, Brasil, entre otros)Posibilidad de trabajar en un equipo, emprendedor, diverso y profesional.Compensación competitiva para el mercado con bonus según desempeño. Basado en la oficina de Montevideo, Uruguay","Administración – Secretariado / Administración Contable y Financiera
										Contabilidad – Auditoría – Finanzas / Contaduría
										Contabilidad – Auditoría – Finanzas / Economía
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Sector Financiero
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",2019-05-29,"miércoles"
