"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"ADMINISTRATIVA","www.buscojobs.com.uy/administrativa-ID-166016",2019-03-07 12:23:25,"(Confidencial)",NA,"Montevideo","Administración de Empresas",NA,"Indiferente","Buscamos personal para tareas administrativas y atención al público, con manejo de herramientas informáticas, dinámicos, ambos sexos. Se valorara experiencia en trámites ante organismos del Estado. Horario de lunes a viernes 8 hrs. y los sábados 4 hrs. Ofrecemos excelente clima laboral, salario fijo + locomoción + presentismo, buscamos personal de 20 a 40 años","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración de Empresas
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 40 Años
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"Customer Service Representative - Rececpción","www.buscojobs.com.uy/customer-service-representative-rececpcion-ID-166113",2019-03-07 12:23:25,"Berlitz",NA,"Montevideo","Atención al Cliente",NA,"Completa","Multinacional del área educativa se encuentra en la búsqueda de recepcionista para el turno tarde.Serán sus principales tareas: - Velar por el correcto funcionamiento de la sede- priorizar el servicio al cliente interno y externo. - Ejecutar las actividades/funciones que le correspondan para el cumplimiento de los procedimientos administrativos establecidos por la compañía. - Cumplir con las funciones/tareas administrativas del cargo. Requisitos de la posición: Disponibilidad horaria para trabajar de Lunes a Viernes de14hs a 22 hs y 2 sábados al mes. Experiencia en cargos administrativos y/o de servicio al cliente. Convocamos a personas con buen trato, proactivas y responsables","Atención al Cliente / Atención al Cliente
									
										Atención al Cliente / Recepción
									
								","
					
						
							
							
							
							Conocimientos: 
							
								atención al cliente
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 25 Hasta 45 Años
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"SATELLOGIC: Técnico en Electrónica","www.buscojobs.com.uy/satellogic-tecnico-en-electronica-ID-166127",2019-03-07 12:23:25,"Advice","Zonamérica","Montevideo","Mantenimiento Industrial",NA,"Completa","Satellogic es una compañía multinacional que tiene como objetivo capturar cada metro cuadrado de la superficie de la tierra para permitir una mejor toma de decisiones para las industrias, los gobiernos y las personas.Buscamos:Técnico especializado en electrónica para el área de montaje y calibración de nuestros satélites, en nuestra planta de producción. Técnicos en electrónica próximos a recibirse o egresados de la UTU (no excluyente). Se valorará la experiencia de dos años en tareas de reparación electrónica y en montaje mecánico de precisión. Deberá contar con experiencia en reparación profesional de electrónica a nivel de PCB y en soldadura SMD. Se valorará conocimientos en software LINUX y Python.Objetivos de la posición:Se encargará de la integración mecánica de precisión de sistemas electrónicos. Realizará el testeo de electrónica y software según procedimientos establecidos. Asistirá en tareas de ensamblaje e integración de componentes mecánicos y electrónicos.Participará en los procesos de control de calidad.Asistirá en la elaboración de los instructivos de trabajo y colaborará en capacitación.Realizará tareas conexas requeridas por la empresa.","Industria – Producción / Mantenimiento Industrial
									
										Especializaciones / Electricidad
									
										Especializaciones / Electrónica
									
										Tecnologías de la Información / Telecomunicaciones
									
										Especializaciones / Mecánica
									
										Especializaciones / Óptica
									
										Especializaciones / Aeronáutica
									
										Especializaciones / Física
									
										Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electrónica
									
										Soldadura
									
										Ingeniería Electrónica   
									
										Reparación PC
									
										Electrotecnia
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"SATELLOGIC: Técnico Mecánico","www.buscojobs.com.uy/satellogic-tecnico-mecanico-ID-166126",2019-03-07 12:23:25,"Advice","Zonamérica","Montevideo","Mecánica Industrial",NA,"Completa","Satellogic es una compañía multinacional que tiene como objetivo capturar cada metro cuadrado de la superficie de la tierra para permitir una mejor toma de decisiones para las industrias, los gobiernos y las personas.Buscamos: Personas con formación de Técnico Aeronáutico, Técnico en Mecánica, Mecánica Industrial o carreras afines. (Recibidos o próximos a recibirse).Serán ampliamente valorados los conocimientos en pintura automotriz, reparación a nivel de PCB y soldadura SMD.Experiencia de dos años en taller de tornería o matricería. Objetivos del Puesto: Se encargará de la producción de ensambles mecánicos y opto-mecánicos. Participará en los procesos de control de calidad, y participará en la elaboración de instructivos de trabajo.Llevará a cabo tareas de tratamientos superficiales y pintura, aplicación de pegamentos y confección de mantas térmicas. Dará soporte en taras de preparación de cableado, integración mecánica y electrónica. Realizará tareas conexas requeridas por la empresa.","Industria – Producción / Mecánica Industrial
									
										Especializaciones / Electricidad
									
										Especializaciones / Electrónica
									
										Especializaciones / Mecánica
									
										Especializaciones / Óptica
									
										Especializaciones / Aeronáutica
									
										Especializaciones / Física
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Mecánica automotriz
									
										Ingeniería Aeronáutica 
									
										Ingeniería Industrial Mecánica
									
										Mecánica industrial
									
										Mecánica
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"Técnica en depilación laser soprano","www.buscojobs.com.uy/tecnica-en-depilacion-laser-soprano-ID-166128",2019-03-07 12:23:25,"DCA Contadores y Asociados","Montevideo","Montevideo","Estética / Cosmética",1,"Indiferente","DCA selecciona técnica en depilación laser para importante estética. La búsqueda se orienta hacia cosmetólogas médicas, esteticistas, nutricionistas o parteras con interés en realizar tareas de depilación.Se valora contar con experiencia en tareas similares.Horario de trabajo: Se trabajan 3 días en la semana, lunes martes y miércoles o jueves viernes y sábado, de 8 a 20hs. Es para trabajar tanto en Montevideo como en el interior del país, por lo que será requisito excluyente que la persona tenga disponibilidad para viajar al interior por tres días en la semana.Es una propuesta ideal para quienes deseen complementar este trabajo con otras actividades, ya que tendrán varios días a la semana libre.","Oficios – Servicios Varios / Estética / Cosmética
									
										Oficios – Servicios Varios / Masajista
									
										Oficios – Servicios Varios / Peluquería
									
										Salud / Nutrición y Dietética
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Depilación 
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"Foguista con carnet habilitante - zona nuevo paris","www.buscojobs.com.uy/foguista-con-carnet-habilitante-zona-nuevo-paris-ID-166123",2019-03-07 12:23:25,"Randstad Uruguay ","NuevoParís","Montevideo","Almacén / Depósito / Stock",NA,"Completa","Para nuestro importante cliente del rubro industria del cuero zona Nuevo Paris.Nos encontramos en la búsqueda de candidatos con experiencia en manejo de calderas con carnet habilitante.Contrato por cobertura de licencias-Zona Nuevo Paris.Horarios rotativos.","Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Foguista
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"Promotor de Afiliaciones para Dpto. de Paysandú","www.buscojobs.com.uy/promotor-de-afiliaciones-para-dpto-de-paysandu-ID-166115",2019-03-07 12:23:25,"Dalfenur","Paysandú","Paysandú","Desarrollo de Negocios",1,"Completa","En Más Ventas - Dalfenur Seleccionamos: Promotor de Afiliaciones para el departamento de Paysandú!  Si tenes un perfil comercial, si te gusta relacionarte, recorrer distintas localidades, barrios y comercios, si te entusiasma el desafío de ofrecerles un servicio que contribuirá con los ingresos de su negocio y estás afín de capacitarte sobre producto y técnicas de venta… ¡Nos encantará conocerte!El Cargo: entre sus principales funciones se encuentran generar contactos para comercializar nuestros productos, captar nuevos clientes a través de la visita a comercios mediante una venta consultiva, contribuyendo en el proceso de aprendizaje del uso de la herramienta. También se deberá asistir a citas asignadas en la zona de trabajo. Requisitos: orientamos nuestra búsqueda a personas entusiastas que deseen incorporarse en un equipo de alto impacto, que cuenten con Bachillerato completo, donde se valorarán cursos de ventas. Ofrecemos: unirse a una empresa en crecimiento, con un salario acorde a las responsabilidades con importantes desafíos a cumplir, así como un interesante plan de remuneración y plan de reconocimiento. Bono por sobre cumplimiento de metas en ventas. Estabilidad laboral y muy buen ambiente laboral.Lugar de trabajo: el desempeño del cargo implica recorrer distintos barrios y localidades del departamento de Paysandú.Dedicación: De lunes a viernes, 44 horas semanales.","Comercio – Mercadeo – Ventas / Desarrollo de Negocios
									
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
									
										Comercio – Mercadeo – Ventas / Venta de Servicios Financieros
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta de servicios
									
										atención al cliente
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 20 Hasta 60 Años
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"instalador","www.buscojobs.com.uy/instalador-ID-166107",2019-03-07 12:23:25,"ML CENTER",NA,"Montevideo","Mecánica de Autos",2,"Completa","Nos encontramos en la búsqueda de nuevos colaboradores  para nuestro sector automotriz, con  experiencia en instalación de alarmas para automóviles.","Oficios – Servicios Varios / Mecánica de Autos
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electricidad automotriz
									
										Mecánica automotriz
									
										Instalador de Alarmas
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 25 Hasta 31 Años
							
							
							
								Sexo: Masculino
							
						

						
					
					
				",2019-03-07,"jueves"
"Encargado Área Administración Contable","www.buscojobs.com.uy/encargado-area-administracion-contable-ID-166109",2019-03-07 12:23:25,"Randstad Uruguay ",NA,"Montevideo","Contaduría",1,"Completa","Encargado área Administración Contable.Empresa de larga trayectoria en plaza gira en el rubro mayorista importación industrialización y distribución de alimentos congelados, selecciona:Estudiante avanzado cursando los últimos años de carrera CCEA o EDA o Contador recién recibido o persona con muy sólida experiencia en gestión contable tanto en empresas como estudios.Trabajo se basa en la supervisión y gestión del área administrativa contable y financiera se con personal a cargo.Disponibilidad para trabajar de lunes a viernes de 8 a 17 hs y los sábados de 8 a 12 hs.Funciones:1)      Gestión y coordinación personal a cargo área administración/contable.2)      Supervisión y apoyo en armado conciliaciones bancarias.3)      Cash Flow proyectado y control diario bancos.4)      Armado de Balance e Informes de resultados mensual para directorio.5)      Liquidaciones Sueldos, manejo nómina BPS y emisión factura.6)      Reportes e información a solicitud Directorio.7)      Liquidación de impuestos mensuales y solicitud de crédito DGI ( DJ 2176/ 1146/ 2181/ 2217/2218).8)      Reporta directamente a Directorio.Habilidades requeridas:1)      Compromiso, responsabilidad.2)       Habilidad independencia en resolución de problemas.3)      Gusto por los desafíos.4)      Correcto relacionamiento interpersonal.5)      Liderazgo.Requisitos y experiencia requerida:1)      Estudiante Avanzado o recién recibido de la carrera Contador Público.2)      Supervisión/ Personal a cargo.3)      Área liquidación de impuestos y laboral (liquidación de sueldos).4)      Manejo de aplicaciones DGI/BPS (SIGMA/BETA).5)      Reportes para Directorio.Favor incluir aspiraciones salariales","Contabilidad – Auditoría – Finanzas / Contaduría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
									
										Economía
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
"Project Delivery Associate - Remote","www.buscojobs.com.uy/project-delivery-associate-remote-ID-166108",2019-03-07 12:23:25,"Konsus Inc",NA,NA,"Administración de Empresas",1,"Completa","We're seeking a Project Delivery Associate based in Latin/South America or Asia to join our leadership team in building a global virtual on-demand design agency.You will be responsible for supporting our globally distributed Design Project Delivery team, problem solving and helping with in-project challenges related to design, project management, and client communication. The role will also include defining and optimizing work processes and standards, analysis of operations data, initiating and executing initiatives.A SUCCESSFUL CANDIDATE:Loves action and things that move fast - ability to create system in chaosContact seeking, with a genuine interest in getting to know other peoplePositive, helpful and kindAnalytical capabilities, structured and excellent English skillsWilling to work hard to build a world-class business In-depth Microsoft Office skills, some experience with Adobe Suite Based in an American or Asian time zone, availability to work some weekendsMinimum a BSc, and 2+ years of professional experience (consulting, design, or similar)Execution driven, independent and excited about working in a teamPassion for design and building the fair future of online workWE OFFER: A fast paced environment, a lot of responsibilityWork for a Silicon Valley backed start-up with mainly US-based corporate clientsPioneering a $500bn global market and creating the future of workA core role in a high growth business with a proven business modelWork closely with, and learn from, a passionate and strong management team (ex McKinsey, Amazon, Expedia)Potential for receiving equity in Konsus, Inc.Work remotely from where you want!--------------------------ABOUT KONSUS: Konsus delivers on-demand design services to premium corporate clients, primarily in the US. Konsus revolutionizes online work by building highly innovative tech and automation that enables a globally distributed team of freelancers to work together much more efficiently and robust than a conventional professional service. By building data driven and automated processes unlike any other existing platform, we create the fair and efficient future of online work. Konsus was founded in late 2015 and became the first Norwegian company to participate in the reputable Y Combinator accelerator program in Palo Alto, California. Konsus has since received funding from reputable Silicon Valley investors Freestyle Venture, High Alpha, Sam Altman, Slack Fund, Alliance Venture and others. The company is fully remote with team members spread across the world. We've experienced strong growth since the beginning, and need more superwomen and supermen to help us continue our global expansion at 2x annual growth, and create 1 million online jobs!","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Dirección / Gerencia
									
										Diseño – Decoración / Diseño Gráfico
									
										Diseño – Decoración / Diseño Web
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Adobe Photoshop
									
										Microsoft Office
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-03-07,"jueves"
