"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Estudiante de Ingeniería electrica","www.buscojobs.com.uy/estudiante-de-ingenieria-electrica-ID-169951",2019-06-17 17:15:02,"Estilo Construcciones y servicios","Montevideo","Montevideo","Telecomunicaciones",NA,"Completa","Nos encontramos en la búsqueda de personal para desarrollar tareas de lunes a viernes 6hs diarias, comprendidas entre las 7.00 a las 19.00hsRequisitos excluyentes:- Ser ciudadano o tener residencia temporaria o definitiva, en la República Oriental del Uruguay. - Ser mayor de 18 (dieciocho) años a la fecha de la apertura de las ofertas. - Carné de salud, vigente a la fecha de apertura de las ofertas, emitido por prestador de salud autorizado a esos efectos.- Certificado médico que lo habilite a desarrollar las tareas específicas relacionadas al tipo de trabajo objeto de la licitación, vigente a la fecha de apertura de las ofertas, emitido por  médico registrado en el Ministerio de Salud Pública (MSP).- Formación curricular mínima excluyente: Ciclo Básico completo o similar de CETP (Consejo de Educación Técnico Profesional), orientación Electrotecnia y Electrónica.- Experiencia laboral excluyente: 6 meses de experiencia en tareas similares.- Libreta de Conducir, categoría “A” vigente.- Disponibilidad de viajar al interior del país.Se valorará certificado de manejo de herramientas informáticas a nivel usuario (Word y Excel), curso de telefonía IP y gestión de redes, cursos de telecomunicaciones, cursos de telefonía móvil, con diploma emitido por Instituto de Enseñanza en el que conste la finalización del curso en cuestión.Tareas:- Apoyo a la Unidad de Telefonía. - Asistencia en la ampliación, reparación y mantenimiento de la telefonía corporativa, las centrales telefónicas y números internos existentes de todas las oficinas de la Administración en todo el país.- Efectuar soporte básico del sistema de grabación de llamadas del Call Center y de las terminales.- Realizar instalación de cableados de piso y en distribuidor del Call Center.- Atención de reclamos de telefonía corporativa y contact center.- Colaborar en toda otra tarea que sea requerida.","Tecnologías de la Información / Telecomunicaciones
								","
					
						
							
							
							Conocimientos: 
							
								Telecomunicaciones
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-06-17,"lunes"
"Asistente de impuestos","www.buscojobs.com.uy/asistente-de-impuestos-ID-169952",2019-06-17 17:15:02,"DCA Contadores y Asociados","Montevideo","Montevideo","Administración Contable y Financiera",NA,"Medio turno mañana","La persona seleccionada se integrará al Departamento de Servicios Tributarios, en nuestras oficinas de Ciudad Vieja.Realizará tareas de registraciones en Memory Conty, procesamiento de información contable, asientos, conciliaciones de rubros de balances, liquidación de impuestos, trámites, entre otras. Horario: Lunes a viernes part time en régimen de 6 horas. Requisitos: La búsqueda se orienta a estudiantes de tercer año de la carrera de Contador Público.Inglés (se valorará nivel First Certificate) Conocimientos de Memory Conty y Excel.Se valorará poseer experiencia en tareas similares en Estudio Contable.Se chequean aspiraciones salariales.","Administración – Secretariado / Administración Contable y Financiera
										Contabilidad – Auditoría – Finanzas / Contaduría
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
										Auxiliar Contable
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-06-17,"lunes"
"Técnico en Telecomunicaciones","www.buscojobs.com.uy/tecnico-en-telecomunicaciones-ID-169950",2019-06-17 17:15:02,"Estilo Construcciones y servicios","Montevideo","Montevideo","Administración / Instalación de Redes",NA,"Completa","Nos encontramos en la búsqueda de personal para desarrollar tareas de lunes a viernes 6hs diarias, comprendidas entre las 7.00 a las 19.00hsRequisitos excluyentes:- Ser ciudadano o tener residencia temporaria o definitiva, en la República Oriental del Uruguay. - Ser mayor de 18 (dieciocho) años a la fecha de la apertura de las ofertas. - Carné de salud, vigente a la fecha de apertura de las ofertas, emitido por prestador de salud autorizado a esos efectos.- Certificado médico que lo habilite a desarrollar las tareas específicas relacionadas al tipo de trabajo objeto de la licitación, vigente a la fecha de apertura de las ofertas, emitido por  médico registrado en el Ministerio de Salud Pública (MSP).- Formación curricular mínima excluyente: Ciclo Básico completo o similar de CETP (Consejo de Educación Técnico Profesional), orientación Electrotecnia y Electrónica.- Experiencia laboral excluyente: 6 meses de experiencia en tareas similares.- Libreta de Conducir, categoría “A” vigente.- Disponibilidad de viajar al interior del país.Se valorará certificado de manejo de herramientas informáticas a nivel usuario (Word y Excel), curso de telefonía IP y gestión de redes, cursos de telecomunicaciones, cursos de telefonía móvil, con diploma emitido por Instituto de Enseñanza en el que conste la finalización del curso en cuestión.Tareas:- Apoyo a la Unidad de Telefonía. - Asistencia en la ampliación, reparación y mantenimiento de la telefonía corporativa, las centrales telefónicas y números internos existentes de todas las oficinas de la Administración en todo el país.- Efectuar soporte básico del sistema de grabación de llamadas del Call Center y de las terminales.- Realizar instalación de cableados de piso y en distribuidor del Call Center.- Atención de reclamos de telefonía corporativa y contact center.- Colaborar en toda otra tarea que sea requerida.","Tecnologías de la Información / Administración / Instalación de Redes
										Tecnologías de la Información / Telecomunicaciones
								","
					
						
							
							
							Conocimientos: 
							
								Telecomunicaciones
										Cableado de Redes
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-06-17,"lunes"
"ADMINISTRATIVO","www.buscojobs.com.uy/administrativo-ID-169926",2019-06-17 17:15:02,"(Confidencial)","Montevideo","Montevideo","Administración Contable y Financiera",1,"Completa","Se seleccionan dos Personas dinámicas, organizadas orientados a resultados para la organización del departamento de la administración de la empresa. * Tareas generales: facturación, control de stock, organizaciones la logística y operativa, control de reparto,ingresos de compra, controles de pago, gestión de proveedores , manejo de cuenta corrientes de la empresa y seguimiento administrativo en general.Se busca perfil Senior sexo indiferente, con muy buena disposición hacia el trabajo y cooperación con otras áreas como ayuda en deposito así como un gran compromiso con la empresa.- Excluyente contar con experiencia mínimo de 2 años demostrable en área de administración.Abstenerse si no cumple con requisitos- Importante contar con experiencia laboral en rubro masculino- Se valorara conocimientos/formación de programación aunque se utiliza programa a medida de la empresa-Excelente manejo de paquete office, domingo en excel fundamental- Perfil analítico y logístico-Se valorara experiencia en cargos de Logística y procesosAsí como persona con experiencia en PYMES y empresas familiares.Buscamos a personas practicas,comprometidas, detallistas y productivas para la mejorar la administración. Empresa con mas de 30 años en el mercado camino en una expansión solida y en búsqueda de personal acorde y de nivel.Cargo Full timePrever locomoción por la zona del mercado modelo","Administración – Secretariado / Administración Contable y Financiera
										Atención al Cliente / Atención al Cliente
										Agroindustria / Agricultura
								","
					
						
							
							
							Conocimientos: 
							
								Administración de Empresas
								Estudio Mínimo Necesario: Terciario Completo
							Edad: Desde 28 Hasta 45 Años
						

						
					
					
				",NA,NA
"Vendedores y Cajeros para Local de Shopping","www.buscojobs.com.uy/vendedores-y-cajeros-para-local-de-shopping-ID-169884",2019-06-17 17:15:02,"(Confidencial)","Montevideo","Montevideo","Atención al Cliente",NA,"Completa","Nos encontramos en la búsqueda de vendedores/as y cajeros/as para sumarse a nuestro equipo comercial.Somos una empresa líder en el rubro de indumentaria masculina.Se requerirá contar con un perfil proactivo y con una marcada orientación al cliente y a resultados. Requisitos excluyentes•	Experiencia previa en el cargo.•	Manejo de herramientas informáticas nivel medio•	Disponibilidad para trabajar en horario de Shopping.","Atención al Cliente / Atención al Cliente
										Atención al Cliente / Caja
								","
					
						
							
							
							Conocimientos: 
							
								Caja y/o Facturación
										Venta en mostrador
										Venta al por Menor
										Atención al Cliente
								Estudio Mínimo Necesario: Secundaria Completa
						

						
					
					
				",NA,NA
"Psicólogo para Reclutamiento y Selección de Talento","www.buscojobs.com.uy/psicologo-para-reclutamiento-y-seleccion-de-talento-ID-169877",2019-06-17 17:15:02,"Los 4 Ases","Montevideo","Montevideo","Organización Interna",NA,"Completa","Buscamos incorporar Lic. en Psicología o próximos a recibirse, con formación en Técnicas de Evaluación y Selección de talento para integrarse al equipo de Gestión Humana de la organización.. Será responsable de llevar a cabo los procesos de selección de la firma; pre selección, entrevistas grupales e individuales, aplicación y corrección de Evaluaciones Psicotécnicas, chequeo de referencias laborales, así como toda tarea de soporte vinculada al área. Se requiere: •	Contar con título habilitado.•	Formación en herramientas de evaluación psicotécnica.Se valora:•	Experiencia en aplicación de psicotécnicos y elaboración de informes.•	Formación experiencia comprobable en el área, y disponibilidad horaria. Serán competencias clave para la posición: •	Trabajo en Equipo •	Organización y planificación •	Proactividad","Recursos Humanos / Organización Interna
										Recursos Humanos / Pruebas Psicotécnicas
										Recursos Humanos / Selección de Personal
								","
					
						
							
							
							Conocimientos: 
							
								Psicología
										Pruebas psicotécnicas
										Selección y contratación de personal
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",NA,NA
"Vendedor Telefónico horario part time","www.buscojobs.com.uy/vendedor-telefonico-horario-part-time-ID-169945",2019-06-17 17:15:02,"CNT Uruguay",NA,"Montevideo","Call Center",10,"Indiferente","Somos un call center especializado en la comercialización de seguros y nos encontramos en la búsqueda de vendedores.Trabajamos para las principales compañías financieras del mercado.¿Qué buscamos?Personas de entre 21 hasta 50 años con ganas de superarse y crecer, necesitamos gente con energía, entusiasmo, y actitud emprendedora.¿Qué ofrecemos?Te damos la opción de trabajar part time en el horario de 12:00 a 18:00 hs y te ofrecemos un excelente nivel de remuneración sin tope en comisiones. Muy buen clima laboral.ADJUNTAR FOTO (EXCLUYENTE)","Teletrabajo – Call Center / Call Center
										Teletrabajo – Call Center / Telemarketing
								","
					
						
							
							
							Conocimientos: 
							
								Telemarketing
										Venta de servicios
										Call Center
								Estudio Mínimo Necesario: Ciclo Básico Completo
							Edad: Desde 18 Hasta 55 Años
						

						
					
					
				",2019-06-17,"lunes"
"Analista Contable Financiero Senior","www.buscojobs.com.uy/analista-contable-financiero-senior-ID-169944",2019-06-17 17:15:02,"Advice",NA,"Montevideo","Administración Contable y Financiera",NA,"Completa","Importante compañía multinacional líder en su rubro busca incorporar para sus oficinas en Uruguay, selecciona:Buscamos:Contadores con sólidos conocimientos contables, muy buen dominio de herramientas Office, principalmente Excel y con experiencia mínima de 2 años en cargos similares en empresas de mediano y gran porte. Se requiere experiencia de trabajo con SAP, valorándose la participación en implementación de sistemas y conocimientos intermedios de inglés.Objetivos de la Posición:Será responsable de realizar tareas administrativas varias del sector, control y registro de toda la documentación y movimientos de la empresa.Realizar análisis y composiciones de todas las cuentas contables y de los resultados mensuales.Confeccionar conciliaciones bancarias, de saldos de proveedores y clientes, manejo de fondo fijo y cashflow financiero.Analizar y gestionar los procesos de cobranza del departamento con sus respectivas proyecciones de cobro. Determinar acciones necesarias para mantener los límites de créditoEjecutar el pago a proveedores y despachante, y controlar la documentación de tercerizados.Emitir facturas y notas de créditos financieras así como resguardos de retención.Preparar informes específicos solicitados por el jefe del área.Preparar la información para la confección del balance anual y para la liquidación de impuestos mensuales y anuales.Participar activamente en la auditoría anual de estados contables.Habilidades RequeridasActitud proactiva y comunicativa. Iniciativa.Excelentes habilidades analíticas y foco en atención a los detalles.Trabajo en Equipo y cooperación Habilidades de Planificación y organización.","Administración – Secretariado / Administración Contable y Financiera
								","
					
						
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
								Estudio Mínimo Necesario: Terciario Completo
						

						
					
					
				",2019-06-17,"lunes"
"Desarrollador Full Stack","www.buscojobs.com.uy/desarrollador-full-stack-ID-169930",2019-06-17 17:15:02,"Scanntech","Montevideo","Montevideo","Programación",2,"Completa","Buscamos Desarrolladores FULL STACK, con muy buen nivel de lenguaje JAVA.Se valoran conocimientos y experiencia en Javascript, CSS, HTML 5, git, Angular, Bootstrap, Jazmin, Karma, Typescript, Ionic, Spring-Scanntech ofrece flexibilidad horaria, excelente clima laboral medido y gestionado, posibilidad de proponer mejoras y nuevas tecnologías, capacitaciones internas, instancias de integración diarias (ping pong, pool, futbolito), y puntuales (afters, festejo de eventos, etc.).","Tecnologías de la Información / Programación
										Tecnologías de la Información / Desarrollo
										Tecnologías de la Información / Android
								","
					
						
							
							
							Conocimientos: 
							
								CSS (Cascading Style Sheets)
										HTML
										Java
										JavaScript
								Estudio Mínimo Necesario: Terciario Incompleto
						

						
					
					
				",2019-06-17,"lunes"
"Ejecutivo de Cuentas","www.buscojobs.com.uy/ejecutivo-de-cuentas-ID-169919",2019-06-17 17:15:02,"(Confidencial)",NA,"Montevideo","Marketing",NA,"Completa","Nos encontramos en la búsqueda de un Ejecutivo de Cuentas full time para incorporarlo a nuestro equipo comercial. Nos orientamos a estudiantes avanzados o recibidos de las carreras de Publicidad, Marketing y Organización de Eventos de entre 24 y 30 años. Con experiencia de al menos 2 años en puestos similares. Serán sus objetivos: -Atención a clientes y ejecución de acciones BTL. -Ser contacto directo del cliente con la agencia, Coordinación y seguimiento interno de proyectos (BTL, Digital, Branding, Trade).-Detectar nuevas oportunidades con los clientes actuales de la empresa. -Armado de reportes. -Selección y coordinación de promotoras.Requisitos Excluyentes: -Ser proactivo, pragmático y organizado. -Capacidad para trabajar en equipo. - Experiencia de 2 años mínimo en posiciones similares en agencias publicitarias.-Perfil creativo, capacidad de adaptación y flexibilidad para eventos los fines de semana.","Marketing – Publicidad / Marketing
										Marketing – Publicidad / Promociones
										Marketing – Publicidad / Publicidad
										Marketing – Publicidad / RRPP y Eventos
								","
					
						
							
							
							Conocimientos: 
							
								Promociones
										Publicidad
										Relaciones públicas
								Estudio Mínimo Necesario: Terciario Incompleto
							Edad: Desde 24 Hasta 30 Años
								Sexo: Masculino
						

						
					
					
				",2019-06-17,"lunes"
