"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Ayudante (Esc. G, Gr. 1, 10 hs sem.) para del Departamento deHistoria del Uruguay desde la toma de posesión mientras dure la reducción horariaque la financia y no más alla del 31.12.19. El cargo es renovable sujeto a informe dedisponibilidad presupuestal.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/72-19-ay-historia-del-uruguay-ID-173415",2019-10-06,"['72', '19 Ay. Historia Del Uruguay ']",2019-10-18 23:28:31,"23:28:31","domingo","uruguay","cerro largo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 17 hs sem.) del Departamento de Romanística y Español delInstituto de Lingüística, desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/75-19-prof-adj-romanistica-y-espanol-ID-173727",2019-10-13,"['75/19 Prof. Adj. Romanística Y Español ']",2019-10-18 23:28:31,"23:28:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Asistente (Esc. G, Gr. 2, 20 h sem.) del Departamento de Enseñanza y Aprendizaje del Instituto deEducación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/76-19-asistente-ensenanza-aprendizaje-ID-173728",2019-10-13,"['76/19 Asistente Enseñanza & Aprendizaje ']",2019-10-18 23:28:31,"23:28:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 10 hs. sem.) del Departamento de Enseñanza y Aprendizaje delInstituto de Educación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/77-19-prof-adj-ensenanza-aprendizaje-ID-173726",2019-10-13,"['77/19 Prof. Adj. Enseñanza & Aprendizaje ']",2019-10-18 23:28:31,"23:28:31","domingo","montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. n (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 20 hs. sem.) para cumplir funciones de coordinación de la Unidad deApoyo a la Enseñanza desde la toma de posesión y no más alla del 31.05.20 . El cargo es renovable sujeto a informede disponibilidad presupuestal.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/79-19-prof-adj-uae-ID-173782",2019-10-14,"['79/19 Prof. Adj. Uae ']",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"
"Management Fiduciario y Profesional S.A.","Abogacía",1,"Indiferente","Management Fiduciario y Profesional SA en su calidad de Fiduciario selecciona Abogado/a o Estudio Jurídico para asesoramiento en materia de administración de Patrimonio Fideicomitido. Se valorará experiencia en materia contractual, civil, comercial, y litigiosos. Enviar postulación adjuntando CV. ","Sector Legal / Abogacía
","
Conocimientos: 
Abogacía
Estudio Mínimo Necesario: Terciario Completo
Edad: Desde 26 Hasta 70 Años
","www.buscojobs.com.uy/abogado-a-estudio-juridico-ID-173750",2019-10-14,"ABOGADO/A / ESTUDIO JURÍDICO",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"
"Administración De Servicios De Salud Del Estado - Ce.Re.Mos","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. VER BASESLugar de Recepción de Consultas:Oficina de Recursos Humanos del Centro de Rehabilitación Medico Ocupacional y Sicosocial, sito en Ruta 11 Km 79.500(San José).Teléfono de Consultas:43389151 int 222","Cargos Estatales / Cargos Estatales
","
Conocimientos: 
Rehabilitación 
","www.buscojobs.com.uy/abogado-suplente-reg-de-aspirantes-ID-173423",2019-10-06,"['Abogado Suplente Reg. De Aspirantes ']",2019-10-18 23:28:31,"23:28:31","domingo","montevideo","montevideo"
"RSM","Administración Contable y Financiera",5,"Completa","Orientamos nuestra búsqueda para el cargo de Account Manager en una empresa internacional.Tareas y responsabilidades:Atención a clientes de forma telefónica y por email.Asistir a los clientes en consultas sobre sus cuentas.Realizar el seguimiento del cliente sobre la experiencia usando el software.Informar a los clientes de las actualizaciones de la empresa, promociones, seminarios y eventos importantes.Se valorará contar con experiencia en atención al cliente.Las habilidades requeridas son la comunicación fluida, actitud de servicio y tener interés en el sector financiero.Es excluyente contar con inglés y portugués fluido.","Administración – Secretariado / Administración Contable y Financiera
Atención al Cliente / Atención al Cliente
Atención al Cliente / Telefonísta
Banca – Servicios Financieros / Administración de Capitales
Banca – Servicios Financieros / Banca Electrónica
","
Conocimientos: 
Atención al Cliente
Idiomas: 
Inglés
Portugués
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 22 Hasta 32 Años
","www.buscojobs.com.uy/account-manager-ID-173926",2019-10-18,"Account Manager",2019-10-18 23:28:31,"14:28:31","viernes","montevideo","montevideo"
"Deloitte.","Administración Contable y Financiera",4,"Completa","PosiciónLa posición tiene como objetivo central dar soporte al equipo de finanzas del centro de servicios. Entre sus principales responsabilidades, se destacan: realizar el procesamiento diario de las transacciones de las cuentas por pagar verificar la validez de las transacciones y archivos adjuntos en conformidad con las políticas de la empresa, normas de información financiera y requisitos de gestión; responder a consultas internas y externas de forma oportuna, así como también a los problemas que puedan surgir; monitorear las cuentas de los proveedores para asegurar que los pagos estén al día; realizar la conciliación del proveedor según se considere necesario; asistir en la creación, actualización y mantenimiento de master data del proveedor; participar en proyectos especiales, entre otras tareas inherentes al cargo.PersonaOrientamos la búsqueda hacia estudiantes de tecnicatura (UTU, EDA), de grado (Contador, Administración de Empresas), o idóneos, con experiencia de al menos un año en el procesamiento de cuentas por pagar. Se valorará los conocimientos en el idioma inglés y portugués, así como el manejo de herramientas SAP, Oracle o Ariba. Serán competencias clave de la persona a incorporar: responsabilidad y compromiso, iniciativa, proactividad, comunicación efectiva, foco en el detalle y trabajo en equipo.PropuestaSe trata de una oportunidad para integrarse a una organización de sólida trayectoria en nuestro medio, con interesantes desafíos y remuneración acorde a las responsabilidades del cargo.Deloitte considera a la Ley N° 19.691 y al Decreto 73/019 en sus procesos de selección, tanto en aquéllos que se realizan para Deloitte, como en los procesos de selección que se llevan a cabo para sus Clientes. Todos los candidatos calificados que reúnan las condiciones solicitadas serán considerados en los procesos de selección sin distinción.","Administración – Secretariado / Administración Contable y Financiera
","
Conocimientos: 
Administración Contable y Financiera
Idiomas: 
Inglés
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 18 Hasta 70 Años
","www.buscojobs.com.uy/accounts-payable-ID-173809",2019-10-15,"Accounts Payable",2019-10-18 23:28:31,"23:28:31","martes","montevideo","montevideo"
"ASEM Servicio de Acompañantes","Enfermería",15,"Indiferente","Servicio de acompañante a enfermos en sanatorio y domicilio solicita acompañantes con los siguientes requisitos:Experiencia previa de 1 año mínimo en servicio de acompañante o empleos similaresVocación de servicio, proactivo, responsable.","Salud / Enfermería
","
Conocimientos: 
Auxiliar en Enfermería
Estudio Mínimo Necesario: Ciclo Básico Completo
Edad: Desde 24 Hasta 57 Años
","www.buscojobs.com.uy/acompanante-ID-173244",2019-10-06,"Acompañante",2019-10-18 23:28:31,"23:28:31","domingo","montevideo","montevideo"
"Abitab","Administración de Base de datos",NA,"Completa","¡Súmate al equipo técnico de I. digital Abitab, primer proveedor de identidad de confianza acreditado!Las principales funciones del cargo son:• Administrar, configurar y mantener Servidores de Aplicaciones, Sistemas Operativos y Base de Datos.• Programar scriptings y administrar ambientes para el desarrollo, testing y producción de Software, estableciendo políticas de gestión y migración entre ellos.• Investigar y proponer nuevas funcionalidades a las herramientas proporcionadas.• Identificar posibilidades de crecimiento y desarrollo para los proyectos de los productos comerciales del área.Requisitos necesarios:• Estudios terciarios en Ingeniería en Sistemas o Telecomunicaciones, Licenciatura en Informática, o Administrador de Servidores.• Experiencia mínima de 1 año en mantenimiento de Servidores de Aplicaciones, Sistemas Operativos y Base de Datos.• Conocimientos de SQL Server, DB2, Linux, JBOSS/Wildfly.","Tecnologías de la Información / Administración de Base de datos
Tecnologías de la Información / Análisis de Sistemas
Tecnologías de la Información / Calidad de Sistemas
Tecnologías de la Información / Seguridad Informática
Tecnologías de la Información / Sistemas Operativos
Tecnologías de la Información / Telecomunicaciones
Tecnologías de la Información / Aplicaciones para Celular
","
Conocimientos: 
Backup y Recuperación de Bases de Datos
Monitorización de Bases de Datos
Linux
DB2
SQL Server
Base de datos
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 18 Hasta 60 Años
","www.buscojobs.com.uy/administrador-de-servidores-de-aplicaciones-y-base-de-datos-tic-ID-172862",2019-09-18,"Administrador de servidores de aplicaciones y base de datos - TIC",2019-10-18 23:28:31,"23:28:31","miercoles","montevideo","montevideo"
"(Confidencial)","Administración / Instalación de Redes",1,"Completa","Importante empresa de Retail selecciona Administrador de Servidores LinuxResponsabilidades:.  Será responsable por la gestión y mejora continua en virtualización, replica y contingencia, backup y recovery, troublesshooting, etc..  Realizará mantenimiento, implementación y soporte en la producción de sistemas y servicio. Trabajará de forma integrada con otras áreas Requisitos.  Técnico con certificaciones en Linux Server (excluyente.  Experiencia mínimo tres años en administración de servidores corporativos Linux (RedHat, Suse, Ubuntu)..  Se valorará experiencia previa en proyectos de gran porte.Este llamado es abierto y contempla lo establecido por la ley 19.691 referida a personas con discapacidad y deberán expresarlo en su postulación al enviar  su CV","Tecnologías de la Información / Administración / Instalación de Redes
Tecnologías de la Información / HelpDesk / Soporte Técnico
","
Conocimientos: 
Linux
Idiomas: 
Inglés
Estudio Mínimo Necesario: Terciario Completo
Edad: Desde 25 Hasta 70 Años
","www.buscojobs.com.uy/administrador-de-servidores-linux-ID-173892",2019-10-18,"Administrador de Servidores Linux",2019-10-18 23:28:31,"08:28:31","viernes","montevideo","montevideo"
"(Confidencial)","Auxiliar Administrativo",1,"Completa","Se busca personal administrativo para realizar tareas en forma telefónica.Se valorará experiencia anterior call center y/o área de reclamos.Buen manejo de office (planillas Excel), deberá tener un buen léxico, ser responsable y profesional.Horario de lunes a viernes de 9 a 18 hs.Adjuntar curriculum y expectativa salarial.","Administración – Secretariado / Auxiliar Administrativo
Atención al Cliente / Atención al Cliente
Atención al Cliente / Telefonísta
Teletrabajo – Call Center / Call Center
","
Conocimientos: 
Atención Telefónica y/o Recepción
Auxiliar Administrativo
Atención al Cliente
Operador PC
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 24 Hasta 40 Años
Sexo: Femenino
","www.buscojobs.com.uy/administrativa-ID-173626",2019-10-10,"Administrativa ",2019-10-18 23:28:31,"23:28:31","jueves","montevideo","montevideo"
"(Confidencial)","Administración de Empresas",1,"Medio turno mañana","Empresa solicita personal para área de administración.Indispensable manejo de paquete office. (excel, word, outlook)En principio el puesto es para medio horario (08:00 a 12:00). Hay posibilidad de ejecutar horario completo 08:00 a 16:00.Zona Sayago","Administración – Secretariado / Administración de Empresas
Administración – Secretariado / Administración Contable y Financiera
","
Conocimientos: 
Administración
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 18 Hasta 40 Años
","www.buscojobs.com.uy/administrativa-ID-173668",2019-10-10,"Administrativa",2019-10-18 23:28:31,"23:28:31","jueves","montevideo","montevideo"
"(Confidencial)","Auxiliar Administrativo",NA,"Medio turno tarde","Nos encontramos en la búsqueda de personal administrativo para tareas varias en horario part time.Se requiere buena presencia y conocimiento de herramientas informáticas.","Administración – Secretariado / Auxiliar Administrativo
","
Conocimientos: 
Administración
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 19 Hasta 27 Años
Sexo: Femenino
","www.buscojobs.com.uy/administrativa-ID-173792",2019-10-15,"Administrativa",2019-10-18 23:28:31,"23:28:31","martes","montevideo","montevideo"
"(Confidencial)","Administración de Empresas",1,"Completa","Buscamos gente con actitud positiva, iniciativa, muy buena atención a los clientes y buenas capacidades para el trabajo en equipo. El rol es dentro del departamente de administración contabilidad y se divide en 2 partes; La primera y más importante es atendiendo público, cobrando y atendiendo clientes por teléfono y derivándolos a diferentes áreas y vendedores de la empresa. La segunda parte es en oficina realizando registros al sistema, pagos a proveedores y análisis contable. administrativo y financiero de la compañia.Buscamos gente que aporte valor y tenga ganas de crecer y aprender.","Administración – Secretariado / Administración de Empresas
Administración – Secretariado / Gestión de Operaciones
Contabilidad – Auditoría – Finanzas / Contaduría
Atención al Cliente / Atención al Cliente
Atención al Cliente / Recepción
Atención al Cliente / Telefonísta
Arte – Cultura – Comunicación / Comunicación Institucional
Teletrabajo – Call Center / Call Center
Atención al Cliente / Caja
","
Conocimientos: 
Administración Contable y Financiera
Administración de Empresas
Atención Telefónica y/o Recepción
Protocolos de Comunicaciones
Atención al Cliente
Ciencias de la Comunicación
Administración
Comunicación Interna
Auxiliar Contable
Idiomas: 
Inglés
Español
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 23 Hasta 40 Años
","www.buscojobs.com.uy/administrativa-atencion-telefonica-atencion-al-publico-ID-173140",2019-09-27,"Administrativa / Atención Telefónica / Atención al Público",2019-10-18 23:28:31,"23:28:31","viernes","montevideo","montevideo"
"(Confidencial)","Administración de Empresas",1,"Completa","ADMINISTRATIVA.  CAJERA con experiencia en el cargo minimo dos años. Proactiva , responsable, puntual , comprometida. Que viva en Montevideo, (estamos en zona centro). Pedimos:  Excelente manejo de pc, excel, word , memory. Atención al cliente, Imprescindible buena presencia y Conocimientos contables( manejo de caja, acreedores, clientes, tarjetas de credito)*Se hará una prueba para verificar estos conocimientos.Somos una empresa con mas de 50 años en el mercado automotriz (autopartes). Si estas buscando trabajo y tenes experiencia en el cargo , podes enviarnos tu CV con foto actual a : postulanteautomotorafrancesa@gmail.com Te ofrecemos buen entorno de trabajo, remuneración acorde a las tareas, incentivos grupales en base a objetivos.Carga horaria : 8 hs diarias , sábados 4hs","Administración – Secretariado / Administración de Empresas
Administración – Secretariado / Auxiliar Administrativo
Administración – Secretariado / Facturación / Cobros / Pagos
Administración – Secretariado / Administración Contable y Financiera
","
Conocimientos: 
Administración Contable y Financiera
Atención Telefónica y/o Recepción
Auxiliar Administrativo
Caja y/o Facturación
Cuentas Corrientes
Venta en mostrador
Atención al Cliente
Auxiliar Contable
e-commerce
Estudio Mínimo Necesario: Secundaria Completa
Edad: Desde 30 Hasta 40 Años
Sexo: Femenino
","www.buscojobs.com.uy/administrativa-contable-con-manejo-de-caja-ID-173679",2019-10-11,"ADMINISTRATIVA CONTABLE ( CON MANEJO DE CAJA)",2019-10-18 23:28:31,"23:28:31","viernes","montevideo","montevideo"
"(Confidencial)","Administración Contable y Financiera",1,"Completa","BUSCAMOS una persona comprometida, con ganas de crecimiento que realice las siguientes tareas Ingreso de compras al sistema, Pago a Proveedores, conciliación de cuentas corrientes de proveedores, elaboración, de listas de precios, informes semanales vtas. vs compras , ventas, costo de ventas, margenes, control de entrada de mercadería, evaluación de precios buscamos una persona con experiencia en cargos similares,excluyente Cargo de Confianza del Directorestara a su cargo el cumplimiento de metas de marguen facturacion y reportes horario Lunes a Sábado de 8 a 16  Sueldo +, comisión por productividad + canasta de alimentos Importante distribuidora de frutas y verduras con mas de 200 clientes entre ellos hoteles, restaurantes, cruceros y grandes superficiesCON EXPERIENCIA EN CARGOS SIMILARES EXCLUYENTE","Administración – Secretariado / Administración Contable y Financiera
Contabilidad – Auditoría – Finanzas / Contaduría
Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
Supermercados – Autoservices / Supervisión
","
Conocimientos: 
Auxiliar Contable
Estudio Mínimo Necesario: Terciario Incompleto
Edad: Desde 25 Hasta 40 Años
Sexo: Femenino
","www.buscojobs.com.uy/administrativa-encargada-pago-proveedores-ID-173784",2019-10-14,"Administrativa/encargada pago proveedores	",2019-10-18 23:28:31,"23:28:31","lunes","montevideo","montevideo"
