"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"¿Estudiante de ingeniería en sistemas o  informática?","www.buscojobs.com.uy/estudiante-de-ingenieria-en-sistemas-o-informatica-ID-165637",2019-02-20 23:52:00,"Farmashop","Carrasco","Montevideo","Administración de Base de datos",NA,"Indiferente","¡Este gran equipo te está buscando Auditor TI!Postulate si!Si tienes al menos  2° año aprobado en Ingeniería en Sistemas o  Informática. Valoramos si tienes experiencia sobre el análisis de grandes volúmenes de datos y sistemas de gestiónValoramos si tienes conocimientos de buenas prácticas y marcos de trabajo (ITIL, COBIT, PMP)Si tienes disponibilidad para trabajar en la zona de carrasco¿Cuáles van a ser tus responsabilidades?Ejecutar auditoría de sistemas aplicativos y de tecnología informática en todas las áreas de la compañíaColaborar con auditorías operativas donde sea necesario relevar aspectos técnicos. Contribuir en la configuración de la automatización de controles y análisis predictivo para procesos de auditorías continua. Colaborar en proyectos con foco en la detección de riesgos para determinar y configurar los controles necesarios.¿Por qué trabajar con nosotros? Somos la compañía líder en nuestro rubro y en continuo crecimiento.Un equipo conformado por jóvenes que nos caracterizamos por ser innovadores. ¡Si estás buscando desafíos para crecer profesionalmente este es tu lugar!¡Somos Farmashop y tenemos un montón de beneficios re copados!","Tecnologías de la Información / Administración de Base de datos
									
										Tecnologías de la Información / Calidad de Sistemas
									
										Tecnologías de la Información / Gestión de Proyectos
									
										Tecnologías de la Información / Seguridad Informática
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Auditoría de Sistemas
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"AUXILIAR DE VENTAS Y/O DEPOSITO PARA LOCAL COMERCIAL","www.buscojobs.com.uy/auxiliar-de-ventas-yo-deposito-para-local-comercial-ID-165582",2019-02-20 23:52:00,"(Confidencial)",NA,"Montevideo","Atención al Cliente",6,"Completa","Auxiliar de Ventas y/o deposito para tiendas en shoppings de Montevideo y Canelones y tiendas en zona centrica.TAREAS: Asistir a ventas, realización de inventarios, stocks y orden del deposito.Mayor de 18 años y menor de 25 años.Enviar CV con foto y aspiraciones.","Atención al Cliente / Atención al Cliente
									
										Atención al Cliente / Recepción
									
										Atención al Cliente / Telefonísta
									
										Comercio – Mercadeo – Ventas / Análisis de Negocios
									
										Comercio – Mercadeo – Ventas / Automotores
									
										Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Comercio – Mercadeo – Ventas / Comercio Exterior/Aduanas
									
										Comercio – Mercadeo – Ventas / Desarrollo de Negocios
									
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
									
										Comercio – Mercadeo – Ventas / Encargado de Local
									
										Comercio – Mercadeo – Ventas / Inmobiliarias
									
										Comercio – Mercadeo – Ventas / Merchandiser
									
										Comercio – Mercadeo – Ventas / Supervisión de Equipos
									
										Comercio – Mercadeo – Ventas / Venta Agroindustria
									
										Comercio – Mercadeo – Ventas / Venta de Indumentaria
									
										Comercio – Mercadeo – Ventas / Venta de Insumos Industriales
									
										Comercio – Mercadeo – Ventas / Venta de Insumos Informáticos
									
										Comercio – Mercadeo – Ventas / Venta de Insumos Salud
									
										Comercio – Mercadeo – Ventas / Venta de Servicios
									
										Distribución – Logística – Almacenamiento / Almacén / Depósito / Stock
									
										Distribución – Logística – Almacenamiento / Compras / Proveedores
									
										Distribución – Logística – Almacenamiento / Distribución / Logística / Abastecimiento
									
										Distribución – Logística – Almacenamiento / Transporte / Carga
									
										Comercio – Mercadeo – Ventas / Venta por Catálogo
									
										Atención al Cliente / Caja
									
										Comercio – Mercadeo – Ventas / Venta de Servicios Financieros
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Venta de productos en general
									
										Venta al por Menor
									
										Atención de Postventa
									
										Stocks e inventarios de mercaderías
									
										Logística de ventas
									
										Venta a Empresas
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 20 Hasta 25 Años
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Administrativo","www.buscojobs.com.uy/administrativo-ID-165636",2019-02-20 23:52:00,"DCA Contadores y Asociados","Montevideo","Montevideo","Administración Contable y Financiera",2,"Completa","DCA selecciona Administrativos para trabajar de forma tercerizada en importante Ente Público, la persona seleccionada se encargará de  la registración de las acciones realizadas en el Sistema de Gestión Comercial, análisis de procesamiento de la información comercial, entre otros. La búsqueda se orienta hacia candidatos cursando facultad de CEA o Derecho.Se valora manejo acreditado de herramientas informáticas. Es excluyente contar con experiencia laboral de al menos un año en OSE, acreditada mediante carta laboral.","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Analista Gestión Estratégica","www.buscojobs.com.uy/analista-gestion-estrategica-ID-165634",2019-02-20 23:52:00,"ITC S.A.","Montevideo","Montevideo","Consultoría",1,"Completa","Apoyar en actividades del equipo de Planificación Estratégica.Actividades: Elaboración de documentos (documentos de Word, presentaciones, etc.)Participar y colaborar en las distintas dinámicas de trabajo (talleres, reuniones de trabajo, etc.)Búsqueda y análisis de información relativa al negocio del cliente.Formación: Estudiante Avanzado o de los primeros años, Egresado recientemente o formación terciaria en el área de Administración, Economía o Gestión Empresarial. Conocimientos: Manejo de herramientas informáticasBuen manejo de herramientas audiovisualesSe valorará experiencia en tareas de documentación y formación en gestión de proyectos","Tecnologías de la Información / Consultoría
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración de Empresas
									
										Economista
									
										Administración Pública
									
										Economía
									
										Administración
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Agrimensor / Topógrafo","www.buscojobs.com.uy/agrimensor-topografo-ID-165635",2019-02-20 23:52:00,"BERKES","Montevideo","Montevideo","Construcción",NA,"Completa","DESCRIPCIÓN DEL PUESTOUbicar la obra que se va a construir en base a referencias de coordenadas, y verificar que las medidas se vayan cumpliendo de acuerdo a los planos.Facilitar información al Capataz de obra para seguir trabajando y marcar ejes para seguir avanzando en los trabajos.Recabar información digital de la Obra por medio del Jefe de Obra: planos, memorias, para comenzar a preparar el trabajo de campo.Elaborar un sistema de coordenadas de referencia para realizar el trabajo en la Obra.Marcar lugares de trabajo y derivar la información al Capataz para realizar las tareas, planificando con el Capataz y el Jefe de Obra de acuerdo a las necesidades que este le marca.Ejecutar y controlar, una vez que el trabajo se empieza, las Obras realizadas y hacer los ajustes que considera necesarios, de acuerdo al sistema de coordenadas que elaboró.Mantener informado al Jefe de Obra de los avances realizados. Planificar trabajos adicionales en caso de ser necesario.Realizar, eventualmente asesoramientos a Oficina Técnica para presupuestación ante clientes.Controlar la realización de trabajos que no estaban estipulados en el Proyecto tales como movimientos de suelos, nivelación de terrenos, entre otros, para facilitar la realización de la obra. REQUISITOSBuscamos profesionales con formación en agrimensura o topografía, que cuenten con experiencia comprobable en obras.Se trata de una posición temporal por 2 meses con horario completo (7 a 17 hs)Será valorado contar con equipamiento  BENEFICIOSTe proponemos formar parte de una organización, que cuenta con proyectos en Uruguay y en el exterior, en la que podrás desarrollar y construir tu carrera. En Berkes promovemos un ambiente de responsabilidad y compromiso en el que te invitamos a dar lo mejor y a disfrutar de los resultados.","Construcción – Arquitectura / Construcción
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Agrimensura
									
										Topografía
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"FRONTEND DEVELOPER","www.buscojobs.com.uy/frontend-developer-ID-165633",2019-02-20 23:52:00,"(Confidencial)","Montevideo","Montevideo","Programación",4,"Completa","Somos una empresa que ayudamos a nuestros clientes a construir o mejorar sus procesos utilizando Cloud Computing como tecnología principal y Scrum como metodología ágil.Orientamos la búsqueda a desarrolladores con al menos un año de experiencia en ASP.Net, además de las habilidades de backend buscamos un perfil que sea capaz de interpretar los diseños desarrollados por nuestro equipo UX y tener una muy buena habilidad en JavaScript y experiencia con frameworks web y Angular.Si bien la experiencia es valiosa, también estamos interesados en la actitud, capacidad para resolver problemas, interés para mantenerse al día, auto-mejora, excelentes habilidades de comunicación.Trabajará con UX / diseñadores visuales, desarrolladores web y directores de proyectos, buscamos a alguien con propia iniciativa y capaz de entregar proyectos a tiempo. Ofrecemos un ambiente de trabajo divertido y relajado además de la oportunidad de aprender tecnologías de vanguardia.Idiomas: Español e Ingles (nivel medio o superior)Función Principal: Frontend DeveloperExperiencia mínima de 1 año.Indispensables para postularse:•	Experiencia en desarrollo Web con ASP.NET  MVC, C#, •	JavaScript, HTML5 y CSS3•	Angular JS y Angular 4•	React JSDeseables (pero no excluyentes): •	Experiencia en desarrollo con Bootstrap •	SQL (Desarrollo de Store Procedures, Tablas, Índices, diseño de bases de datos.), •	Conocimiento de patrones de diseño de software.•	Conocimiento en Azure•	Desarrollo en D3.JS•	Conocimiento Adobe Illustrator•	Conocimiento Adobe PhotoshopReserva en el proceso de seleccion","Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								JavaScript
									
										ASP.NET
									
										Asp.NET MVC 4+
									
										AngularJs 1.X
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 20 Hasta 35 Años
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"BENEFITS DATA SOURCE (BDS) ANALYST","www.buscojobs.com.uy/benefits-data-source-bds-analyst-ID-165629",2019-02-20 23:52:00,"Willis Towers Watson ","Montevideo","Montevideo","Administración de Empresas",3,"Completa","Willis Towers Watson (NASDAQ: WLTW) is a leading global advisory, broking and solutions company that helps clients around the world turn risk into a path for growth.  With roots dating to 1828, Willis Towers Watson has 40,000 employees serving more than 140 countries.Our Research and Innovation Center (RIC) is an internal research unit whose mission is to help develop the firm’s capabilities to serve clients with leading-edge thinking, data and knowledge resources. Benefits Data Source (BDS), which sits within RIC, is a global leader in helping our clients with their benchmarking needs as it relates to employee benefits. The BDS team’s objectives are to (i) lead product and intellectual capital development; (ii) maintain a market-leading global benefits benchmarking proposition; and (iii) support local and global efforts of participating stakeholders.As part of the BDS team, you will contribute to a number of activities to support our global benefits database:•	Actively participate in the data collection and processing focusing on particular countries in Latin America and Western Europe.•	Contribute to the delivery of our various benchmarking solutions and research-based initiatives.•	Support our global benefits survey database activities.You will have the opportunity to:•	Develop technical knowledge of benefits plans around the world.•	Develop data management, support management, and project management skills.We are offering a full-time position (40 hours a week plus lunch time).Knowledge, Skills & Experience•	Must have excellent attention to detail and commitment to excellence.•	Ability to perform in a structured environment with process driven workflows, maintaining focus.•	Fluent English, both written and spoken (will be tested). Other language skills would be highly advantageous.•	Must have experience working with Microsoft Office tools, in particular with Excel.•	Must be comfortable working in teams.•	Ability to use initiative and proactivity.•	Previous working experience is highly preferred.","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Auxiliar Administrativo
									
										Administración – Secretariado / Administración Contable y Financiera
									
										Administración – Secretariado / Secretaría
									
										Oficios – Servicios Varios / Data Entry / Digitador / Dactilografía
									
										Oficios – Servicios Varios / Traducciones
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración Contable y Financiera
									
										Digitación y/o Ingreso de Datos
									
										Análisis de Datos
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 70 Años
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Jefe de Embotellado para Planta Coca-Cola FEMSA","www.buscojobs.com.uy/jefe-de-embotellado-para-planta-coca-cola-femsa-ID-165631",2019-02-20 23:52:00,"Coca-Cola FEMSA de Uruguay","Montevideo","Montevideo","Producción",1,"Completa","Coca-Cola FEMSA de Uruguayse encuentra en la búsqueda de:Jefe de EmbotelladoNuestra búsqueda se orienta a graduados de las carreras de Ingeniero Industrial, Mecánico, Electromecánico, Química, Alimentos ó carreras afines que cuenten con experiencia previa en tareas similares, en líneas de producción y la conducción de un equipo de trabajo técnico.¿Cuáles son sus principales tareas?:Liderar equipos de trabajo de líneas de embotellado cuyo objetivo principal es garantizar el cumplimiento del plan de producción, cumplimiento con las eficiencias y productividades definidas en los objetivos, teniendo un foco muy fuerte en el concepto de ahorro de mermas y desperdicios durante la producción.A su vez será responsable directo por el cumplimiento de procedimientos y procesos, debiendo para ello auditar las operaciones del personal a su cargo., como así también por el uso de recursos: personas, materiales y equipos. Asegurando el cumplimiento de los requisitos legales, corporativos y de los sistemas de gestión¿Cuáles son los requisitos de la posición?:•	Graduado de las siguientes carreras: Ingeniero Industrial, Mecánico, Electromecánico, Química, Alimentos ó carreras afines.•	Experiencia mínima previa de 2 años en posiciones similares de embotellado y líneas de producción.•	Conocimiento de SAP y Excel (deseable)•	Conocimientos de PLC, protocolos de comunicación industrial y materiales plásticos. (No excluyente).•	Conocimiento de normas Normas de inocuidad / HACCP / 5 S / Six sigma / SMED / TPM (No excluyente).•	Disponibilidad para realizar turnos rotativos.•	Conocimientos básicos de organización y método aplicado a áreas industriales (deseable)•	Inglés intermedio para el relacionamiento con proveedores internacionales.Es una excelente oportunidad para profesionales jóvenes que quieran desarrollarse en una empresa de Primer Nivel, reconocida internacionalmente.Te ofrecemos interesantes condiciones de contratación, paquete de beneficios, comedor en planta.","Industria – Producción / Producción
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Gestión de Producción
									
										SAP R/3 Manufacturing
									
										Microsoft Excel
									
										Gestión de Producción
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Completo
							
							
							Edad: Desde 25 Hasta 40 Años
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Desarrollador de aplicaciones Web y Móvil","www.buscojobs.com.uy/desarrollador-de-aplicaciones-web-y-movil-ID-165627",2019-02-20 23:52:00,"Telemax","Montevideo","Montevideo","Programación",1,"Completa","Desarrollo de aplicaciones Web y móviles utilizando las últimas tecnologías del mercado.Buscamos desarrolladores que conozcan y les interese profundizar conocimientos en Internet, nos apasiona el aprendizaje continuo y buscamos mentes alineadas a la nuestra.-Requisitos-Excluyente: •	Experiencia mínima de 2 años en desarrollo de aplicaciones web en PHP/MySQL.•	Experiencia mínima de 2 años en desarrollo de aplicaciones móviles para iOS y Android.•	Capaz de integrar servicios web externos JSON, XML, RSS.-Requisitos deseables, no excluyentes-Lenguajes: Javascript, HTML5, CSS, Angular, NodeJS, React, Ruby Base de datos: MySQL, PostgreSQL Herramientas de Devops: Jenkins, Circle CI, unit testing, seleniumSomos una empresa dedicada al desarrollo de aplicaciones web y móviles, enfocada en Startups y clientes en Uruguay. Nos especializamos en proyectos de Internet de aplicaciones de Servicios.-OFRECEMOS-EstabilidadExcelente ambiente laboralFlexibilidad de horario para permitir continuación de estudios Capacitación y aprendizaje continuo.IMPORTANTE: Los interesados deberán enviar su currículum actualizado, mencionando además el interés por el puesto.-Nivel de Estudio-Estudiantes avanzados de Ingeniería en computación.-Sueldo-Indicar aspiraciones salariales, el sueldo será acorde a la experiencia.-Horario-8 horas diarias de lunes a viernes.","Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
										Tecnologías de la Información / Aplicaciones para Celular
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Testing Unitario
									
										Ruby
									
										CSS (Cascading Style Sheets)
									
										HTML
									
										JavaScript
									
										PHP
									
										XML
									
										MySQL
									
										PostgreSQL
									
										Android
									
										JSON
									
										iOS
									
										Node.js
									
										AngularJs 1.X
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
"Auxiliar de Limpieza para Empresa-Zona Casavalle excluyente","www.buscojobs.com.uy/auxiliar-de-limpieza-para-empresa-zona-casavalle-excluyente-ID-165628",2019-02-20 23:52:00,"Grupo Humano Consultores","Montevideo","Montevideo","Auxiliar de Servicios",NA,"Medio turno mañana","La persona realizará tareas de limpieza en Empresa ubicada en Calle Antigua Continuación Colman (CASAVALLE) RESIDIR EN LA ZONA EXCLUYENTE. Trabajo 4 horas de lunes a viernes, disponibilidad en la mañana.","Oficios – Servicios Varios / Auxiliar de Servicios
									
										Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Limpieza y Lavandería
									
										Limpieza en General
									
								Estudio Mínimo Necesario: Ciclo Básico Incompleto
							
							
							
							
								
							
						

						
					
					
				",2019-02-20,"miércoles"
