"puesto","ID","fechaScraping","empresa","barrioCiudad","dpto","area","puestos","jornada","detalles","subareas","requisitos","fpub","dia"
"Ejecutivo Comercial Corporativo","www.buscojobs.com.uy/ejecutivo-comercial-corporativo-ID-164246",2019-01-07 17:57:56,"Randstad Uruguay ","Montevideo","Montevideo","Comercial / Ventas",NA,"Completa","Para reconocida Empresa multinacional, líder en seguros buscamos: Ejecutivo Comercial, para realizar venta de seguros a nivel corporativo.Nos orientamos a candidatos con fuerte experiencia realizando ventas corporativas, que tenga la proactividad deseable par generar prospects nuevos. Buscamos un perfil serio, con destacadas habilidades comerciales, que busquen estabilidad y nuevos desafíos laborales. Las oficinas están ubicadas en el centro y el horario de trabajo será de lunes a viernes de 9 a 18 hs.Se ofrece buen sueldo, beneficios y atractivas comisiones.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Análisis comercial
									
										Prospección de clientes
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Técnico de Mantenimiento","www.buscojobs.com.uy/tecnico-de-mantenimiento-ID-164245",2019-01-07 17:57:56,"Randstad Uruguay ","Canelones","Canelones","Mantenimiento General",1,"Completa","Para nuestro importante cliente multinacional del rubro industria nos encontramos en la búsqueda de perfiles con experiencia de 3 años en el rubro de mantenimiento y con estudios en el rubro mecánico y/o eléctrico.Las tareas a desempeñar son:Instalar, mantener, ajustar, diagnosticar y buscara soluciones en el área.Mantenimiento preventivo para asegurar que el equipamiento de la planta continué funcionando de forma adecuada.Reparación, de la maquinaria y equipamiento.Soporte de equipamiento en planta y todas las necesidades de mantenimiento edilicio.Diagnosticar cualquier problema de mantenimiento y determinar como corregirlo.Desempeñar todo tipo de mantenimiento en el predio.","Mantenimiento General / Mantenimiento General
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electricidad
									
										Mantenimiento Industrial
									
										Mantenimiento General
									
										Mecánica
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Responsable de logística","www.buscojobs.com.uy/responsable-de-logistica-ID-164243",2019-01-07 17:57:56,"DCA Contadores y Asociados","Montevideo","Montevideo","Administración de Empresas",1,"Completa","La búsqueda se orienta hacia personas que tengan formación universitaria en Comercio Exterior, transporte internacional o carreras afines al cargo a ocupar y cuenten con experiencia en cargos similares de al menos dos años. Es excluyente que posea excelente nivel de inglés y manejo avanzado de Excel. Se valorará que sepa francés y cuente con conocimientos de SAP.Se detallan a continuación las tareas a realizar:- Coordinar y controlar el proceso de adquisiciones internacionales cursadas por operaciones, ejecutivos de cuenta, soporte comercial y ventas para los países de la región.- Elaborar cotizaciones de ventas de repuestos de acuerdo con las solicitudes de clientes de la región.- Trasladar a los clientes cotizaciones de reparación de materiales elaboradas por la casa matriz.- Importar y exportar repuestos, materiales, herramientas y aeronaves entre los países de la región y la casa matriz.- Entregar a contabilidad gastos incurridos en cada orden de compra por cliente.- Tramitar y dar seguimiento a reclamos bajo garantía.Será necesario que la persona cuente con disponibilidad para viajar al exterior dos o tres veces en el año.","Administración – Secretariado / Administración de Empresas
									
										Comercio – Mercadeo – Ventas / Comercio Exterior/Aduanas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Logística de ventas
									
										Comercio Internacional
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Anfitriones de Cruceros Temporada 2019","www.buscojobs.com.uy/anfitriones-de-cruceros-temporada-2019-ID-164240",2019-01-07 17:57:56,"Job Btl",NA,"Montevideo","Atención al Cliente",10,"Indiferente","Seleccionamos promotoras y promotores de excelente presencia para participar en acción puntual en Montevideo de Enero a Abril 2018 como anfitriones de Cruceros.Requisitos:•	Mayores de 18 años•	Excelente trato y simpatía• Inglés (excluyente con certificación) • Portugués• Se valorará estudios en TurismoPostularse a través de Buscojobs.","Atención al Cliente / Atención al Cliente
									
										Turismo – Hotelería – Gastronomía / Gastronomía
									
										Turismo – Hotelería – Gastronomía / Turismo
									
										Turismo – Hotelería – Gastronomía / Atención al Viajero
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Atención al Viajero
									
								Idiomas: 
							
							Inglés
								
								Portugués
								
							Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 18 Hasta 28 Años
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Oficial Electricista","www.buscojobs.com.uy/oficial-electricista-ID-164195",2019-01-07 17:57:56,"(Confidencial)",NA,"Montevideo","Automatismos",1,"Completa","Orientamos la búsqueda a egresados de la Tecnicatura en electricidad (UTU o similar). Será excluyente contar con experiencia laboral en industria no menor a 5 años.Integrara nuestro equipo de Mantenimiento eléctrico tanto preventivo , correctivo y predictivo de la organización.Deberá ser una persona proactiva, practica, analítica y con vocación de trabajo en equipo.Propuesta:Excelente oportunidad para ingresar a una empresa de reconocida trayectoria de manera estable, ofreciendo esta una excelente ambiente laboral, oportunidad de crecimiento y remuneración acorde al cargo.Se solicita adjuntar escolaridad que compruebe datos del CV.","Industria – Producción / Automatismos
									
										Industria – Producción / Mantenimiento Industrial
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Electricidad
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							Edad: Desde 30 Hasta 45 Años
							
							
							
								Sexo: Masculino
							
						

						
					
					
				",2019-01-07,"lunes"
"Desarrollador PHP full stack","www.buscojobs.com.uy/desarrollador-php-full-stack-ID-164238",2019-01-07 17:57:56,"Wurth","BarrosBlancos","Canelones","Business Intelligence (BI) / DataWarehousing",1,"Completa","En Wurth nos encontramos en la búsqueda de Desarrollador PHP full stack.Algunas de tus principales responsabilidades serán:-	Realizar el mantenimiento correctivo y evolutivo de las aplicaciones         existentes-	Participar en el desarrollo de nuevas aplicaciones-	Brindar soporte al cliente interno        Tenemos un desafío para quienes:-	Persiguen continuamente la perfección y la excelencia en la         realización de su trabajo-	Están dispuestos a dar el máximo, buscando siempre soluciones         alternativas para el        cliente interno-	Se esfuerzan y comprometen con su desarrollo y formación como         profesionales.-	Disfrutan del trabajo basado en la confianza y el respeto mutuo.Se requiere conocimiento y experiencia comprobable en:•	Desarrollo de backends PHP (orientado a objetos) utilizando         frameworks MVC (Zend, Symfony, etc).•	Bases de datos relacionales (MySQL).•	Tecnologías web: HTML5, CSS y Javascript (jQuery y AngularJS).•	Comprensión de inglés técnico.¿Te interesa el desafío? Postúlate!","Tecnologías de la Información / Business Intelligence (BI) / DataWarehousing
									
										Tecnologías de la Información / Programación
									
										Tecnologías de la Información / Desarrollo
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Soporte a Sistemas de Ofimática
									
										Programación
									
										Base de datos
									
								Idiomas: 
							
							Inglés
								
							Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 21 Hasta 55 Años
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Asistente Comercial - Multinacional de origen francés","www.buscojobs.com.uy/asistente-comercial-multinacional-de-origen-frances-ID-164234",2019-01-07 17:57:56,"Randstad Uruguay ","Montevideo","Montevideo","Administración Contable y Financiera",NA,"Completa","Para nuestro importante cliente del rubro industria nos encontramos en la búsqueda de perfiles con experiencia de  2 a 3 años en tareas de comercialización de productos industrialesLas tareas a realizar son :Preparación y armado de presupuesto y su post seguimientoControl de contratos con clientesControl de stockAtención a clientesComplilacion de informes que luego se elevan a la gerencia comercialLos candidatos deberán contar con estudios relacionados a nivel terciario en Administración de empresa y/o Marketing.Horarios de Lunes a Viernes .","Administración – Secretariado / Administración Contable y Financiera
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Coordinación de fuerza de ventas
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"ANALISTA DE RRHH","www.buscojobs.com.uy/analista-de-rrhh-ID-164229",2019-01-07 17:57:56,"(Confidencial)",NA,"Montevideo","Administración de Personal",1,"Completa","Empresa nacional de vanguardia, rubro indumentaria femenina y accesorios; selecciona ANALISTA DE RRHH.La propuesta consiste en formar parte de un excelente equipo de trabajo joven, activo y dinámico.Buscamos a una persona con capacitación y experiencia en puestos similares. La empresa actualmente cuenta con más de 400 empleados.La posición requiere:- Elaborar y controlar el proceso de reclutamiento, selección e inducción, con el fin de asegurar la elección de los candidatos.-Llevar a cabo el proceso de selección de personal.-Proyectar y coordinar programas de capacitación y entrenamiento para los empleados, a través de la detección de necesidades de adiestramiento con cursos, talleres y otros, con el objetivo de asegurar el máximo aprovechamiento del talento humano.-Estar actualizado en lo referente al marco legal laboral.-Garantizar la buena comunicación entre los niveles de organización, con el objetivo de mantener un ambiente de trabajo y proporcionar la mayor productividad a la empresa.Competencias valoradas:-Respeto-Trabajo en equipo-Buena comunicación-Adaptabilidad al cambio y a la dinámica de trabajo-Confidencialidad-Manejo efectivo del tiempo-Responsabilidad-Orientación a los resultados","Recursos Humanos / Administración de Personal
									
										Recursos Humanos / Capacitación de Personal
									
										Recursos Humanos / Evaluación de Personal
									
										Recursos Humanos / Pruebas Psicotécnicas
									
										Recursos Humanos / Selección de Personal
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración de Personal
									
										Selección y contratación de personal
									
										Recursos humanos
									
								Estudio Mínimo Necesario: Terciario Incompleto
							
							
							Edad: Desde 24 Hasta 38 Años
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Comprador","www.buscojobs.com.uy/comprador-ID-164233",2019-01-07 17:57:56,"(Confidencial)",NA,"Montevideo","Administración de Empresas",NA,"Completa","Reconocida Empresa selecciona Comprador para incorporarse a su departamento Comercial.Objetivos de la posición: Garantizar la optimización de los surtidos de mercadería. Negociar los costos y maximizar los niveles de renta.Analizar los procesos productivos y políticas para alcanzar los objetivos de venta y renta.  Participar en la definición de políticas de comunicación. Gestionar nuevas oportunidades de negocio.Requisitos de la posición:Egresado de la Licenciatura en Administración de Empresas o Ingeniería en Alimentos. Experiencia laboral mayor a 2 años en procesos de compras, administración de negocios o análisis de similares responsabilidades, en Empresas de gran porte en procesos productivos. Te proponemos sumarte a una empresa en plena expansión, reconocida como un excelente lugar para trabajar y con posibilidades de crecimiento profesional.","Administración – Secretariado / Administración de Empresas
									
										Administración – Secretariado / Gestión de Operaciones
									
										Oportunidad de Negocio / Oportunidad de Negocio
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Administración de Empresas
									
										Análisis comercial
									
										Análisis de Mercado
									
										Gestión de Compras
									
								Estudio Mínimo Necesario: Terciario Completo
							
							
							Edad: Desde 18 Hasta 70 Años
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
"Ejecutivo de venta telefónica - Portugués","www.buscojobs.com.uy/ejecutivo-de-venta-telefonica-portugues-ID-164227",2019-01-07 17:57:56,"RCI Latinoamerica S.A.","Zonamérica","Montevideo","Comercial / Ventas",NA,"Indiferente","Você quer trabalhar na empresa líder ao nível mundial em Intercâmbio de Férias?Você quer formar parte da companhia que ajuda a mais de 3.7 milhões de associados em todo o mundo a viver as suas férias de Sonho?Venha! Junte-se a nossa equipe!Estamos selecionando pessoas para a vaga de Guia de Férias.A vaga :Reporta a equipe de Team Leaders e tem como principais responsabilidades:- Prestar um serviço de classe mundial aos associados, garantindo a máxima satisfação dos mesmos e atingindo os objetivos de vendas pessoais e grupais.- Estar em contato com os associados por médio da gestão de chamadas telefônicas de saída (Outbound) e entrada (Inbound) para oferecer-lhes os diferentes produtos de férias e dar atendimento as suas necessidades relacionadas ao gerenciamento da sua filiação RCI®.- Cumprir e promover ativamente os pilares fundamentais da cultura da empresa.Requisitos:- Procuramos pessoas com perfil inovador, enérgicas, dinâmicas, com gosto pelos desafios e marcada orientação para o cliente.- É requisito indispensável contar com um excelente nível de comunicação em português, perfil de serviço e potencial para vendas telefônicas.- Serão valoradas ter experiência prévia em Vendas ou Serviço ao Cliente (não excludente)A Empresa:Oferecemos a possibilidade de que você pertença a uma empresa multinacional líder ao nível mundial, com excelentes possibilidades de comissões por vendas, um ambiente laboral dinâmico, benefícios, capacitação constante, equilíbrio entre vida/trabalho e possibilidades de desenvolvimento.","Comercio – Mercadeo – Ventas / Comercial / Ventas
									
										Comercio – Mercadeo – Ventas / Ejecutivo de Cuentas
									
										Teletrabajo – Call Center / Call Center
									
										Teletrabajo – Call Center / Telemarketing
									
										Turismo – Hotelería – Gastronomía / Atención al Viajero
									
										Turismo – Hotelería – Gastronomía / Reservas
									
								","
					
						
							
							
							
							Conocimientos: 
							
								Microsoft Office
									
								Estudio Mínimo Necesario: Secundaria Completa
							
							
							
							
								
							
						

						
					
					
				",2019-01-07,"lunes"
