"empresa","area","n_puestos","jornada","detalles","subareas","requisitos","ID","fecha_pub","puesto","fecha_scraping","h_pub","dia_pub","barrio_ciudad","dpto"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 17 hs sem.) del Departamento de Romanística y Español delInstituto de Lingüística, desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/75-19-prof-adj-romanistica-y-espanol-ID-173727",2019-10-11,"Prof. Adj. Romanística Y Español",2019-11-10 21:25:59,"21:25:59",NA,"montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Asistente (Esc. G, Gr. 2, 20 h sem.) del Departamento de Enseñanza y Aprendizaje del Instituto deEducación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/76-19-asistente-ensenanza-aprendizaje-ID-173728",2019-10-11,"Asistente Enseñanza & Aprendizaje",2019-11-10 21:25:59,"21:25:59",NA,"montevideo","montevideo"
"Universidad De La República - Facultad De Humanidades Y Ciencias De La Educación","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Un (1) cargo de Profesor Adjunto (Esc. G, Gr. 3, 10 hs. sem.) del Departamento de Enseñanza y Aprendizaje delInstituto de Educación desde la toma de posesión y por el período reglamentario.Lugar de Recepción de Consultas:concursosfhuce@gmail.comTeléfono de Consultas:2400 2899","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/77-19-prof-adj-ensenanza-aprendizaje-ID-173726",2019-10-11,"Prof. Adj. Enseñanza & Aprendizaje",2019-11-10 21:25:59,"21:25:59",NA,"montevideo","montevideo"
"Banco De Seguros Del Estado","Cargos Estatales",NA,NA,"Descripción de la oferta de trabajo en Uruguay. Abogados AranceladosLugar de Recepción de Consultas:documentacionconcursos@bse.com.uyTeléfono de Consultas:1998 int. 1167","Cargos Estatales / Cargos Estatales
","
","www.buscojobs.com.uy/abogados-arancelados-ID-174237",2019-10-27,"Abogados Arancelados",2019-11-10 21:25:59,"21:25:59",NA,"montevideo","montevideo"
