"link","puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"/anuncio/abogado-g6quz","ABOGADO","Estudio juridico","Profesional","Legal","Hace 3 semanas "," Junior en el área laboral","montevideo",2018-12-27 01:41:26,"
            Junior en el área laboral        ","
                    ",NA
"/anuncio/abogado-junior-49tr4","ABOGADO JUNIOR","ADVICE","Profesional","Legal","Hace 1 semana ","Objetivos de la posición: Trabajará junto al equipo legal y contable de la casa matriz del grupo en lo referente a temas administrativos y legales. Dará so ...","montevideo",2018-12-27 01:41:26,"
            Buscamos:
Profesional egresado de la carrera de Abogacía.
Deberá contar con conocimientos de francés e inglés avanzados (excluyente).
Se valora experiencia laboral en tareas administrativas y legales.
Es importante que cuente con pasaporte europeo.        ","
            Objetivos de la posición:
Trabajará junto al equipo legal y contable de la casa matriz del grupo en lo referente a temas administrativos y legales.
Dará soporte al equipo en Luxemburgo y tendrá contacto directo con Uruguay y Argentina. 
La posición implica la radicación en Luxemburgo por al menos 2 años. Inicialmente recibirá un entrenamiento en Uruguay.        ","
                Universitario en derecho.Postgrado en derecho.                Experiencia de 1 año en el área de Legal.                                Idioma Inglés a avanzado.Idioma Francés a avanzado."
"/anuncio/abogado-junior-6jq43","ABOGADO JUNIOR","ADVICE","Profesional","Legal","Hace 1 mes ","Tendrá como principal objetivo desempeñarse en el área corporativa. Asistirá en los deals en los que esté involucrado. Colaborará en actividades de asesora ...","montevideo",2018-12-27 01:41:26,"
            Para reconocido Estudio de Profesionales
Profesionales egresados de la carrera de Abogacía. 
Experiencia mínima de tres años, valorándose especialmente el trabajo previo en Estudios o Consultoras.
Manejo avanzado de idioma inglés (excluyente).
Deberá contar con muy buen promedio de escolaridad.        ","
            Tendrá como principal objetivo desempeñarse en el área corporativa.
Asistirá en los deals en los que esté involucrado.
Colaborará en actividades de asesoramiento a clientes en materia legal.        ","
                Universitario en derecho.                Experiencia de 3 años en el área de Legal.                                Idioma Inglés a avanzado."
"/anuncio/abogado-junior-br2qj","ABOGADO JUNIOR","ADVICE","Profesional","Legal","Hace 2 semanas ","Para empresa multinacional con sede en Luxemburgo. Profesional egresado de la carrera de Abogacía. Deberá contar con conocimientos de francés e inglés ava ...","montevideo",2018-12-27 01:41:26,"
            Trabajará junto al equipo legal y contable de la casa matriz del grupo en lo referente a temas administrativos y legales.
Dará soporte al equipo en Luxemburgo y tendrá contacto directo con Uruguay y Argentina. 
La posición implica la radicación en Luxemburgo por al menos 2 años. Inicialmente recibirá un entrenamiento en Uruguay.        ","
            Para empresa multinacional con sede en Luxemburgo.
Profesional egresado de la carrera de Abogacía.
Deberá contar con conocimientos de francés e inglés avanzados. 
Se valora experiencia laboral en tareas administrativas y legales.
Es importante que cuente con pasaporte europeo.        ",NA
"/anuncio/acomodador-de-autos-ps4hh","ACOMODADOR DE AUTOS","Importante empresa","Peon","Servicios - Oficios","Hace 4 semanas ","Pistero para estacionamiento, libreta de conducer vigente, disponibilidad horaria diurna. Edad enter 25 y 35 años y experiencia comprobable en el rubro. Co ...","montevideo",2018-12-27 01:41:26,"
            Estacionar los vehiculos de los clientes que llegan y se van .        ","
            Pistero para estacionamiento, libreta de conducer vigente, disponibilidad horaria diurna. Edad enter 25 y 35 años y experiencia comprobable en el rubro. Cosntancia de domicilio y certificado de Buena conducta y carnet de salud vigente        ","
                                Experiencia de 2 años en el área de Servicios - oficios.                                Idioma Español a intermedio."
"/anuncio/acompanante-39vzh","ACOMPAÑANTE",NA,"Auxiliar","Salud","Hace 2 semanas "," Señora jubilada del interior que quiera vivir en Montevideo con señora adulto mayor.","montevideo",2018-12-27 01:41:26,"
            Señora jubilada del interior que quiera vivir en Montevideo con señora adulto mayor.        ","
                    ",NA
"/anuncio/acompanante-de-reparto-c-libreta-profesional-camion-jap8s","ACOMPAÑANTE DE REPARTO C/ LIBRETA PROFESIONAL CAMIÓN","Importante empresa","Peon","Producción","Hace 1 mes ","Buscamos un acompañante de Reparto para Empresa del Rubro Alimentos con experiencia (excluyente) en manejo de camión (Categoría C o D), para realizar tarea ...","montevideo",2018-12-27 01:41:26,"
            * Control de Mercaderías.
* Carga y descarga.
* Acompañante de Chofer con eventual manejo del Camión.
* Fundamental tener Libreta Categoría C o D para manejo de Camión.        ","
            Buscamos un acompañante de Reparto para Empresa del Rubro Alimentos con experiencia (excluyente) en manejo de camión (Categoría C o D), para realizar tareas de reparto, carga y descarga y cubrir manejo del camión ocasionalmente.
* Persona proactiva, responsable y con experiencia en traslado de mercaderías.
* Disponibilidad horaria.        ","
                Ciclo básico en otras industrias.                Experiencia de 2 años en el área de Logística - distribución."
"/anuncio/acompanante-en-domicilio-para-senora-jbrtr","ACOMPAÑANTE EN DOMICILIO PARA SEÑORA","Particular","Auxiliar","Salud","Hace 4 días ","Acompañante en domicilio para señora mayor que no camina, para tareas de higiene personal, limpieza sencilla, ayuda en movimientos, etc. Puntualidad. Se bu ...","montevideo",2018-12-27 01:41:26,"
            Puntualidad. Se busca preferentemente mujer entre 35 y 50 años, con conocimientos o nociones en área de la salud (higiene, dar medicamentos, etc.). 
El horario de trabajo será para los días sábados y domingos por la tarde.        ","
            Acompañante en domicilio para señora mayor que no camina, para tareas de higiene personal, limpieza sencilla, ayuda en movimientos, etc.        ",NA
"/anuncio/acompanante-en-domicilio-vq388","ACOMPAÑANTE EN DOMICILIO","Birsul","Auxiliar","Salud","Hace 1 mes ","Acompañante en domicilio de persona mayor, para tareas domésticas (cocina, limpieza, etc.) Puntualidad, buena presencia, buen trato personal. Se busca pref ...","montevideo",2018-12-27 01:41:26,"
            Puntualidad, buena presencia, buen trato personal.
Se busca preferentemente mujer venezolana, entre 30 y 45 años, con conocimientos en área de la salud.        ","
            Acompañante en domicilio de persona mayor, para tareas domésticas (cocina, limpieza, etc.)        ",NA
"/anuncio/acompanante-t3h32","ACOMPAÑANTE.","Gente Servicio de Acompañantes","Auxiliar","Salud","Hace 4 semanas ","Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia no menor a tres meses. ACOMPAÑANTE para empresa de cuidado de enfermos con domi ...","montevideo",2018-12-27 01:41:26,"
            ACOMPAÑANTE para empresa de cuidado de enfermos con domicilio en Las Piedras, La Paz, Progreso o Colón. Ingreso Inmediato.        ","
            Compañía de adulto mayor en sanatorio, con buenas referencias y experiencia no menor a tres meses.        ","
                                Experiencia de 3 meses en el área de Salud.Experiencia de 3 meses en el área de Salud."
