"link","puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"/anuncio/1-2-oficial-55rvq","1/2 OFICIAL","Importante empresa","Técnico / Especialista","Construcción - Arquitectura","Hace 3 semanas ","acorde al cargo acorde al cargo","montevideo",2019-06-17 17:38:12,"
            acorde al cargo        ","
            acorde al cargo        ","
                Terciario no universitario en ingeniería eléctrica."
"/anuncio/abitab-cajera-6d7vd","ABITAB CAJERA",NA,"Auxiliar","Ventas - Comercial","Hace 1 mes ","Cajera en ABITAB de lunes a viernes de 8:30 a 17:30 hs EXPERIENCIA, RESPONSABILIDAD,  Y DISPONIBILIDAD. resposabilidad inherente al cargo.","montevideo",2019-06-17 17:38:12,"
            resposabilidad inherente al cargo.        ","
            Cajera en ABITAB de lunes a viernes de 8:30 a 17:30 hs
EXPERIENCIA, RESPONSABILIDAD,  Y DISPONIBILIDAD.        ",NA
"/anuncio/account-manager-bqndm","ACCOUNT MANAGER","Importante empresa","Gerente","Finanzas - Contabilidad - Auditoria","Hace 5 días ","Estamos buscando a una persona con marcado perfil comercial, tendrá como desafío fidelizar y generar nuevos clientes. Buscamos personas con formación terci ...","montevideo",2019-06-17 17:38:12,"
            Fidelizar y generar nuevos clientes        ","
            Estamos buscando a una persona con marcado perfil comercial, tendrá como desafío fidelizar y generar nuevos clientes. Buscamos personas con formación terciaria en carreras tales como  Ingeniería, Arquitectura y Administración, con experiencia en venta técnica o consultiva en la industria de la construcción.        ","
                Universitario en ingeniería industrial.Universitario en ventas.Universitario en arquitectura y construcción.                Experiencia de 1 año en el área de Construcción - arquitectura."
"/anuncio/acompanante-de-caballeros-eaar2","ACOMPAÑANTE DE CABALLEROS","Importante empresa","Auxiliar","Salud","Hace 2 semanas ","Acompañante de caballeros,masajes eróticos. Etc Acompañar y complacer al cliente.","montevideo",2019-06-17 17:38:12,"
            Acompañar y complacer al cliente.        ","
            Acompañante de caballeros,masajes eróticos. Etc        ",NA
"/anuncio/acompanante-de-reparto-c-libreta-profesional-camion-259qq","ACOMPAÑANTE DE REPARTO C/ LIBRETA PROFESIONAL CAMIÓN","Importante empresa","Peon","Producción","Hace 1 mes ","Buscamos un acompañante de Reparto para Empresa del Rubro Alimentos con experiencia (excluyente) en manejo de camión (Categoría C o D), para realizar tarea ...","montevideo",2019-06-17 17:38:12,"
            * Control de Mercaderías.
* Carga y descarga.
* Acompañante de Chofer con eventual manejo del Camión.
* Fundamental tener Libreta Categoría C o D para manejo de Camión.        ","
            Buscamos un acompañante de Reparto para Empresa del Rubro Alimentos con experiencia (excluyente) en manejo de camión (Categoría C o D), para realizar tareas de reparto, carga y descarga y cubrir manejo del camión ocasionalmente.
* Persona proactiva, responsable y con experiencia en traslado de mercaderías.
* Disponibilidad horaria.        ","
                                Experiencia de 2 años en el área de Logística - distribución.Experiencia de 4 años en el área de Logística - distribución."
"/anuncio/acompanante-terapeutico-para-adultos-mayores-7sa99","ACOMPAÑANTE TERAPEÚTICO PARA ADULTOS MAYORES.","Importante residencial.","Profesional","Salud","Hace 1 semana ","Seleccionamos un profesional para trabajar en el área de adultos mayores con nivel de dependencia severa. Buscamos incorporar un profesional que pueda acom ...","montevideo",2019-06-17 17:38:12,"
            El objetivo central del rol es:
- Diagnóstico de oportunidades de mejora, atendiendo a las características de los residentes y su ambiente.
- Estimulación cognitiva a través del uso de diferentes estrategias de intervención, grupales y/o individuales.
- Aplicación de técnicas y herramientas que favorezcan el día a día del residente.
- Diseñar planes de prevención, atendiendo a las particularidades de cada residente, para prever posibles emergentes.
Se garantiza absoluta reserva en el manejo de la información recibida.        ","
            Seleccionamos un profesional para trabajar en el área de adultos mayores con nivel de dependencia severa. Buscamos incorporar un profesional que pueda acompañarnos en la reestructura del área, atendiendo a cambios tanto funcionales y a nivel de procesos, como ambientales y físicos.
Orientamos nuestra búsqueda hacia profesionales psicólogos, terapeutas ocupacionales y/o psicopedagogos, que cuenten con experiencias de trabajo en el campo del adulto mayor, específicamente en adultos mayores con dependencia severa.        ","
                Universitario en psicología clínica.Universitario en psicología educativa.                Experiencia de 2 años en el área de Salud."
"/anuncio/acompanante-u3p4q","ACOMPAÑANTE","deslindar","Auxiliar","Salud","Hace 4 semanas ","Acompañante  exclusiva Acompañante entre 18  a  25","montevideo",2019-06-17 17:38:12,"
            Acompañante entre 18  a  25        ","
            Acompañante  exclusiva        ",NA
"/anuncio/acompanante-y-empleada-domestica-con-cama-q24mm","ACOMPAÑANTE Y EMPLEADA DOMESTICA CON CAMA","Margarita Gaudin","Auxiliar","Servicios - Oficios","Hace 1 mes ","Se busca empleada Domestica con cama para acompañar a persona mayor Auto valida. Las tareas serán mantener limpia la casa, cocinar y otras que sean necesar ...","montevideo",2019-06-17 17:38:12,"
            Las tareas serán mantener limpia la casa, cocinar y otras que sean necesarias.        ","
            Se busca empleada Domestica con cama para acompañar a persona mayor Auto valida.
Las tareas serán mantener limpia la casa, cocinar y otras que sean necesarias.",NA
"/anuncio/acompanantes-9yphv","ACOMPAÑANTES",NA,"Auxiliar","Salud","Hace 3 días "," Con experiencia, carne de salud y disponibilidad horaria para Montevideo.","montevideo",2019-06-17 17:38:12,"
            Con experiencia, carne de salud y disponibilidad horaria para Montevideo.        ","
                    ",NA
"/anuncio/administracion-y-ventas-up2ag","ADMINISTRACIÓN Y VENTAS",NA,"Supervisor / Encargado","Administración - Secretariado","Hace 2 semanas "," Ideal estudiante","montevideo",2019-06-17 17:38:12,"
            Ideal estudiante        ","
                    ",NA
