"link","puesto","empresa","nivel","area","fecha","detalle","dpto","fecha_scraping","Responsabilidades","Funciones","Requisitos"
"/anuncio/5-auxiliares-de-venta-y-5-volanteros-pr3t2","5 AUXILIARES DE VENTA Y 5 VOLANTEROS",NA,"Auxiliar","Hotelería - Gastronomía - Turismo","Hace 2 semanas "," 5 auxiliares de ventas y 5 volanteros.","montevideo",2019-02-20 00:14:17,"
            5 auxiliares de ventas y 5 volanteros.        ","
                    ",NA
"/anuncio/aasasasa-njbz8","DOCENTE ÁREA RECURSOS HUMANOS","Instituto Europa - Centro de Formación Profesional y Capacitación.","Analista","Marketing - Publicidad","Hace 1 mes ","Somos un instituto con sede en Salinas, Canelones. Llamado a interesados en presentar Currículum PARA DICTAR CLASES en cursos, talleres y capacitaciones en ...","canelones",2019-02-20 00:14:17,"
            Ambos sexos sin límite de edad.
Requisito excluyente tener experiencia en docencia.
Preferentemente viva en zona de Costa de Oro / Ciudad de la Costa / Pando.","
            Somos un instituto con sede en Salinas, Canelones.
Llamado a interesados en presentar Currículum PARA DICTAR CLASES en cursos, talleres y capacitaciones en Recursos Humanos:
Tanto en el área de Organización y Gestión (planificación, selección, motivación, evaluación) como el área de Administración (relaciones laborales, nóminas, liquidación de sueldos, etc.)        ",NA
"/anuncio/abogado-a-para-cubrir-licencia-por-un-periodo-de-6-meses-pd2my","ABOGADO/A PARA CUBRIR LICENCIA POR UN PERIODO DE 6 MESES.","Importante empresa","Profesional","Legal","Hace 1 mes ","Abogado/a para cubrir licencia por un periodo de 6 meses con la posibilidad de formar parte del equipo de forma permanente. Dentro de las responsabilidades ...","montevideo",2019-02-20 00:14:17,"
            Es una oportunidad para ingresar a un equipo de trabajo y adquirir experiencia en el área jurídica.
Los interesados deberán de adjuntar aspiraciones salariales de no ser así serán descartados.
Jornada laboral de lunes a viernes, 30 horas semanales.        ","
            Abogado/a para cubrir licencia por un periodo de 6 meses con la posibilidad de formar parte del equipo de forma permanente.
Dentro de las responsabilidades del cargo se encuentra la realización de demandas, cubrir audiencias, procuracion poder judicial y entes públicos.        ","
                Universitario en derecho.                Experiencia de 1 año en el área de Legal."
"/anuncio/abogado-o-estudiante-avanzado-pjaep","ABOGADO O ESTUDIANTE AVANZADO","Estudio Juridico","Profesional","Legal","Hace 2 semanas ","Abogado o estudiante avanzado para tareas de procuración. Part time Tareas de procuración, y organización de la oficina","montevideo",2019-02-20 00:14:17,"
            Tareas de procuración, y organización de la oficina        ","
            Abogado o estudiante avanzado para tareas de procuración.
Part time        ","
                Universitario en derecho.                                Manejo de programas:Word a avanzado."
"/anuncio/acompanante-6bzzm","ACOMPAÑANTE","Residencial san expedito","Asistente","Salud","Hace 1 semana ","• el personal deberá estar todo el tiempo a disposición de los residentes. • aseos diarios, cambios de sábanas, y alimentación según el turno del personal. ...","montevideo",2019-02-20 00:14:17,"
            • el personal será responsable de los residentes dentro de su turno.
• el personal será responsable de usar correctamente los materiales disponibles.
• estricto control y supervisión a la hora de organizar medicaciones. 
• mantener siempre un hambiente agradable ya que se está trabajando con personas adultas.        ","
            • el personal deberá estar todo el tiempo a disposición de los residentes.
• aseos diarios, cambios de sábanas, y alimentación según el turno del personal. 
• dar parte diario de la situación dentro del residencial para mayor control, dirigiéndose siempre a un superior.        ","
                Formación profesional básica en servicios de salud.                Experiencia de 2 años en el área de Salud.                                Idioma Español a avanzado."
"/anuncio/acompanante-6sh4p","ACOMPAÑANTE",NA,"Auxiliar","Salud","Hace 4 semanas "," ACOMPAÑANTES con  experiencia para Montevideo","montevideo",2019-02-20 00:14:17,"
            ACOMPAÑANTES con  experiencia para Montevideo        ","
                    ",NA
"/anuncio/acompanante-chofer-administrtivo-vs-eqgv2","ACOMPAÑANTE-CHOFER-ADMINISTRTIVO-VS","MARIANELLA CABALLERO","Auxiliar","Producción","Hace 3 semanas ","SE OFRECE SRA. DE 50 AÑOS  CON REFERENCIAS, PARA ADMINISTRACION-CUIDAR ADULTOS-CHOFER-LIMPIEZA SOY RESPONSABLE PARA CUALQUIER TAREA QUE SE ME ASIGNE","montevideo",2019-02-20 00:14:17,"
            SOY RESPONSABLE PARA CUALQUIER TAREA QUE SE ME ASIGNE        ","
            SE OFRECE SRA. DE 50 AÑOS  CON REFERENCIAS, PARA ADMINISTRACION-CUIDAR ADULTOS-CHOFER-LIMPIEZA        ","
                                Experiencia de 5 años a más en el área de Otra.                                Idioma Español a avanzado."
"/anuncio/acompanante-de-bus-a4tpy","ACOMPAÑANTE DE BUS",NA,"Peon","Servicios - Oficios","Hace 4 días "," Para Bus escolar. ","montevideo",2019-02-20 00:14:17,"
            Para Bus escolar.","
                    ",NA
"/anuncio/acompanante-de-enfermos-femenina-para-montevideo-5t2us","ACOMPAÑANTE DE ENFERMOS FEMENINA PARA MONTEVIDEO","IMPORTANTE EMPRESA DE SERVICIOS","Auxiliar","Salud","Hace 2 semanas "," Se requiere:  Edad: 25 a 60 años.  Disponibilidad horaria.  Excelente presencia.  Se ofrece:  Excelente remuneración.  Estabilidad laboral.   ...","montevideo",2019-02-20 00:14:17,"
            Se requiere:
Edad: 25 a 60 años.
Disponibilidad horaria.
Excelente presencia.
Se ofrece:
Excelente remuneración.
Estabilidad laboral.
Boletos gratuitos.","
                    ",NA
"/anuncio/acompanante-en-domicilio-para-senora-jbrtr","ACOMPAÑANTE EN DOMICILIO PARA SEÑORA","Particular","Auxiliar","Salud","Hace 1 mes ","Acompañante en domicilio para señora mayor que no camina, para tareas de higiene personal, limpieza sencilla, ayuda en movimientos, etc. Puntualidad. Se bu ...","montevideo",2019-02-20 00:14:17,"
            Puntualidad. Se busca preferentemente mujer entre 35 y 50 años, con conocimientos o nociones en área de la salud (higiene, dar medicamentos, etc.). 
El horario de trabajo será para los días sábados y domingos por la tarde.        ","
            Acompañante en domicilio para señora mayor que no camina, para tareas de higiene personal, limpieza sencilla, ayuda en movimientos, etc.        ",NA
